"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","typeStatus","infraspecificEpithet","previousCatalogNumber","sex"
"1","2021-04-05 14:33:45-03","UNESC","CRI","6547","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(Berg.) Legrand & Kausel","Dolores Bosa","1999","10","17","Dolores Bosa; Magali Romagna","1999","10","17","Brasil","Santa Catarina","Morro Grande","-49.721111","-28.801111","49º43'16''W","28º48'4''S","CRI005079","CRI005079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885661","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand",NA,NA,NA,NA,"H. M. de Souza","1965","07",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00885661","NY00885661_01","Magnoliophyta","Myrtales","s.n.","South America","Rodovia Matão-Nova Europa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005279' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533251","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand","L. H. Soares-Silva",NA,NA,NA,"E. M. Francisco","1998","10","08","Brazil","Paraná","Sao Jerônimo da Serra","-50.7408","-23.7278",NA,NA,"NY00533251","NY00533251_01","Magnoliophyta","Myrtales","23727","South America","Local: Entrada para Vila Nova. Cidade: Sao Jerônimo da Serra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590707' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","885660","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand","M. Sobral",NA,NA,NA,"M. Sobral","1983","08",NA,"Brazil","Rio Grande do Sul","Viamao","-51.0231","-30.0811",NA,NA,"NY00885660","NY00885660_01","Magnoliophyta","Myrtales","2467","South America","Itapuã. Em dunas próximas a Lagoa dos Patos.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005278' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00907882","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand","S. F. Smith",NA,NA,NA,"A. Macedo","1988","08","08","Brazil","Minas Gerais","Campina Verde","-49.4864","-19.5358",NA,NA,"NY00907882","NY00907882_01","Magnoliophyta","Myrtales","5437","South America","Faz. Sao José do Lajeado. Campina Verde","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989436' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00907884","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"A. Macedo","1950","08","21","Brazil","Minas Gerais","Ituiutaba","-49.465","-18.9692",NA,NA,"NY00907884","NY00907884_01","Magnoliophyta","Myrtales","2518","South America","S. Vicente","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989440' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00907883","PreservedSpecimen","Plantae","Myrtaceae","Hexachlamys","edulis","Hexachlamys edulis","(O.Berg) Kausel & D.Legrand","C. M. D. E. Legrand",NA,NA,NA,"A. Macedo","1948","08","07","Brazil","Minas Gerais","Ituiutaba","-49.465","-18.9692",NA,NA,"NY00907883","NY00907883_01","Magnoliophyta","Myrtales","1159","South America","Ituiutaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989438' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:09:35-03","UNESP-IBB","BOTU","23048","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","myrcianthes","Eugenia myrcianthes","Nied.",NA,NA,NA,NA,"Amaral Jr., A.","2000","10","31","Brasil","São Paulo","Presidente Epitácio","-52.054722","-21.723056","52°03'17w","21°43'23s","BOTU023048",NA,NA,NA,"696",NA,NA,NA,"Árvore de 6 m de altura, frutos amarelos, pendurada no barranco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","28765","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","myrcianthes","Eugenia myrcianthes","Nied.","Valduga, G.","2012","06","28","Sartori, M.","2007","11","16","Brasil","Rio Grande do Sul","Mostardas",NA,NA,"9999","9999","BOTU028765",NA,NA,NA,"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","26649","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","myrcianthes","Eugenia myrcianthes","Nied.","Maruyama, A.S.","2012","03","27","Souza, V.C.","1994","10",NA,"Brasil","São Paulo","Paulo de Faria",NA,NA,"9999","9999","BOTU026649",NA,NA,NA,"12311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
