"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","order","identifiedBy","yearIdentified","recordNumber","continentOcean","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2013-10-30 18:44:55-02","MNHN","RECOLNAT_MNHN_P","P02286042","PreservedSpecimen","Malvaceae","Sterculia","rigidifolia","Sterculia rigidifolia","Ducke","isotype","Ducke, A.","25100","1929","11","19","Brésil","Rio Negro super (civ. Amazonas) supra ostium flum. Curicuriary, loco Yucabi, silva non inundabili","hb","I.B.V.; Herbario <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02286042' target='other'> <mi>dwc_moreinfo</mi></a>","P02286042","P02286042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-10 20:46:31-03","INPA","INPA","128556","S","Malvaceae","Sterculia","rigidifolia","Sterculia rigidifolia","Ducke",NA,"Hill, SR",NA,"1983","07","15","Brasil","Rio Parauari, black water, tributary of the rio Maués-Açu, at Agua Mineral",NA,NA,"INPA0128556","INPA0128556 INPA0128556_e INPA0128556_e1","Plantae","Dicotyledon Com-Clade","Malvales","Coêlho, A","1999","13104","Southern America","Amazonas","-57.933333","-4.8","-57.933333","-4.8",NA,NA
"3","2020-09-12 05:00:02-03","US","US","1617712","PreservedSpecimen","Sterculiaceae","Sterculia","rigidifolia","Sterculia rigidifolia","Ducke","Isotype","A. Ducke",NA,"1929","11","19","Brazil","Rio Negro.",NA,NA,"US00512610","US00512610_01","Plantae",NA,"Malvales",NA,NA,"25100","South America - Neotropics","Amazonas",NA,NA,NA,NA,"Dicotyledonae","1"
