"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:20-03","E","E","277658","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","Fiebrig, K.","5060","1905","03","22","E. Tropical South America","PY","North Paraguay","Between Rio Apa and Rio Aquidaban","herbarium specimen of unspecif","BGBASE:327179","<a href=http://data.rbge.org.uk/herb/E00277658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:20-03","E","E","277659","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","Fiebrig, K.","5060",NA,NA,NA,"E. Tropical South America","PY",NA,"Between Rio Apa and Rio Aquidaban","herbarium specimen of unspecif","BGBASE:327178","<a href=http://data.rbge.org.uk/herb/E00277659 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","273500","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","gardneriana","Lucuma gardneriana","G. Gardner","2228",NA,NA,NA,"South America","Brazil","Piauí",NA,"sheet",NA,"Comm. 1841 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273500","Magnoliophyta","Ericales","A.DC.","isotype","NY00273500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375397","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","lanceolata","Lucuma lanceolata","A. F. M. Glaziou","14057A",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375397","Magnoliophyta","Ericales","Raunk.","isotype","NY00375397_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375396","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","R. M. Harley","16222","1974","02","19","South America","Brazil","Bahia","Serra de Itiuba about 6km E. of Itiuba, on granitic hillside with caatinga vegetation and small river with gallery forest","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375396","Magnoliophyta","Ericales","(A.DC.) Radlk.",NA,"NY00375396_01","T. D. Pennington","-39.8","-10.68","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375393","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","R. de Lemos Fróes","19990","1942","12","19","South America","Brazil","Bahia","Queimadas, rio Paraguassú","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375393","Magnoliophyta","Ericales","(A.DC.) Radlk.",NA,"NY00375393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375461","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","B. Rambo","37978","1948","11","14","South America","Brazil","Rio Grande do Sul","Ad flumen; Guaiba","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375461","Magnoliophyta","Ericales","(A.DC.) Radlk.",NA,"NY00375461_01","T. D. Pennington","-51.325","-30.1142",NA,NA,"Guaíba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","547748","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","R. C. Forzza","1348","1999","04","25","South America","Brazil","Bahia","Gruta dos Brejoes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547748","Magnoliophyta","Ericales","(A.DC.) Radlk.",NA,"NY00547748_01","A. Alves-Araújo","-41.1558","-11.5503",NA,NA,"Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00859747","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","A. F. M. Glaziou","15195","1884","02","01","South America","Brazil","Minas Gerais","Brésil, Minas.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859747","Magnoliophyta","Ericales","(A.DC.) Radlk.",NA,"NY00859747_01","C. Baehni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 12:21:00-03","NY","NYBG","375464","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana","F. Biganzoli","441","1998","09","30","South America","Argentina","Misiones","Parque Provincial Teyu Cuaré, Paraje Payal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375464",NA,"Ericales",NA,NA,NA,"G. Irrazabal",NA,NA,NA,NA,"San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
