"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","locality","identifiedBy","yearIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","285446","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Aptandropsis","discophora","Aptandropsis discophora","Ducke","isotype","W. A. Ducke","631","1940","11","21","South America","Brazil","Amazonas","São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00285446","NY00285446_01","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02265490","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer",NA,"I. L. do Amaral","1707","1984","03","16","South America","Brazil","Amazonas","Barcelos","-63.316667","0.816667",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2426120' target='other'> <mi>dwc_moreinfo</mi></a>","NY02265490","NY02265490_01",NA,"03 Km S da Serra Central da Serra Aracá e 8 Km E do rio Javari",NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:46:19-03","EAO","IAN","10035a","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Olacaceae","Aptandropsis","discophora","Aptandropsis discophora","Ducke",NA,"Ducke, A","631","1940","11","21","Southern America","Brasil","Amazonas","São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329",NA,"SLEUMER (1984:81) citou: Type. Brazil. Amazonas: São Paulo de Olivença, 21 Nov 1940 (fl), Ducke 631 (holotype, IAN; isotypes, F, L, MG, MO, NY, P, R, RB 52223, US).; Arbor media floribus virilibus.","IAN10035a","IAN10035a IAN10035a_e","auto","In silva minus dousa (catinga) terris altis arenosis.","Sleumer, HO","1981",NA,NA,NA,NA
"4","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L 0038989","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1931","10","10","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200038989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0038989","NL-L0038989",NA,"BrasilAmazonasSao Paulo de OlivencaRio Solimoes",NA,NA,"Magnoliopsidae","481926",NA,NA
"5","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L 0038990","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1941","11","21","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200038990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0038990","NL-L0038990",NA,"BrasilAmazonasSao Paulo de Olivenca","Sleumer HO",NA,"Magnoliopsidae","383977",NA,NA
"6","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L.1087371","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1931","10","10","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1087371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1087371","NL-L1087371",NA,"BrasilAmazonasSao Paulo de OlivencaRio Solimoes",NA,NA,"Magnoliopsidae",NA,NA,NA
"7","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L.1087372","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1931","10","10","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1087372 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1087372","NL-L1087372",NA,"BrasilAmazonasSao Paulo de OlivencaRio Solimoes",NA,NA,"Magnoliopsidae",NA,NA,NA
"8","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L.1087373","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1931","10","10","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1087373 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1087373","NL-L1087373",NA,"BrasilAmazonasSao Paulo de OlivencaRio Solimoes",NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 10:28:03-03","NBC","NL-BOTANY","L.1134639","PreservedSpecimen","Plantae",NA,"Santalales","Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","isotype","Ducke A",NA,"1931","10","10","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1134639 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1134639","NL-L1134639",NA,"BrasilAmazonasSao Paulo de OlivencaRio Solimoes",NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2016-02-02 14:38:41-02","BGBM","B","B 10 0248610","S","Plantae",NA,NA,"Olacaceae","Heisteria","amazonica","Heisteria amazonica","Sleumer","holotype","A. Ducke","HJBR 24970","1931","10","10","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"Jardim Botanico do Rio de Janeiro, Herbario no. 24970 <a href=http://herbarium.bgbm.org/object/B100248610 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100248610","B100248610",NA,"Saõ Paulo de Olivença; Rio Solimões; civ. Amazonas; silva terris altis.",NA,NA,NA,NA,NA,NA
