"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","barcode","imagecode","relatedCatalogItem","monthIdentified","dayIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","typeStatus","fieldNumber","preparationType","individualCount","sex"
"1","2019-10-09 11:10:51-03","UFBA","ALCB","040050","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","dusenii","Mikania dusenii","B.L. Rob.","Cristóbal, CL","1998","Arbo, MM; Schinini, A; Maruñak, V; Paniagua, RE","7927","1998","08","26","Southern America","Argentina","Corrientes","Dep. Mercedes","Macrosistema Ibera, Laguna Itati, Isla Ombuzal. Interior de la isla","-58.1","-28.7","-58.1","-28.7","Capítulos blanco-cremoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3747279","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1959","03","24","Southern America","Argentina",NA,NA,"Estancia 'Santa Maria'. Dep. Mburucuyá. Prov. Corriemtes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3747279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-L3747279","NL-L3747279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3747280","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1959","03","24","Southern America","Argentina",NA,NA,"Estancia 'Santa Maria'. Dep. Mburucuyá. Prov. Corriemtes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3747280 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-L3747280","NL-L3747280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3747281","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1964","02","27","Southern America","Argentina",NA,NA,"Paso Pucú. Dep. Concepión Prov. Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3747281 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-L3747281","NL-L3747281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3750225","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1961","04","30","Southern America","Paraguay",NA,NA,"Estancia 'La Soledad', Santiago. Dep. Misiones.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3750225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-L3750225","NL-L3750225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3758416","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1988","04","05","Southern America","Argentina",NA,NA,"Carambola. Dep. Concepción Prov. Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3758416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-L3758416","NL-L3758416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:50:25-03","NBC","NL-BOTANY","U.1136405","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1967","03","25","Southern America","Argentina","Entre Rios",NA,"Prov, Entre Rios, Dep. Federacion, Ea. 'Buena Esperanza'.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-U1136405","NL-U1136405","U 0119537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:50:25-03","NBC","NL-BOTANY","WAG.1230238","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1961","04","30","Southern America","Paraguay",NA,NA,"Estancia 'La Soledad', Santiago. Dep. Misiones.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1230238 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-WAG1230238","NL-WAG1230238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:50:25-03","NBC","NL-BOTANY","WAG.1230239","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1988","04","05","Southern America","Argentina",NA,NA,"Carambola. Dep. Concepción Prov. Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1230239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-WAG1230239","NL-WAG1230239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:50:25-03","NBC","NL-BOTANY","WAG.1230240","PreservedSpecimen","Plantae",NA,"Compositae","Mikania","dusenii","Mikania dusenii","B.L.Rob.",NA,NA,"Pedersen TM",NA,"1959","03","24","Southern America","Argentina",NA,NA,"Estancia 'Santa Maria'. Dep. Mburucuyá. Prov. Corriemtes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1230240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Asterales","NL-WAG1230240","NL-WAG1230240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
