"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","day"
"1","2019-11-21 10:13:37-03","IBt","SP","31691","S","Plantae","Orchidaceae","Octomeria","estrellensis","Octomeria estrellensis","Hoehne","Hoehne, FC","1938","Syntype","Justen, A","Spannagel382","1934","03","Brasil","Rio de Janeiro","Petrópolis","Serra da Estrela","-43.1786003112793","-22.5049991607666","36524","SP002276","SP002276","auto",NA,NA,NA
"2","2019-11-21 10:13:37-03","IBt","SP","489091","S","Plantae","Orchidaceae","Octomeria","estrellensis","Octomeria estrellensis","Hoehne","Zandoná, LR","2016",NA,"Zandoná, LR; Zandoná, AGM","s.n.","2016","02","Brasil","São Paulo","Miracatu","Legado das Águas, Trilha do Poço Cambuci","-47.4599990844727","-24.2800006866455","43974",NA,NA,"auto","02","23","23"
"3","2019-11-21 10:13:37-03","IBt","SP","34351","S","Plantae","Orchidaceae","Octomeria","estrellensis","Octomeria estrellensis","Hoehne","Hoehne, FC","1938","Syntype","Handro, O","s.n.","1935","10","Brasil","São Paulo","Santo André","Serra de Paranapiacaba, Cultivada no Jardim Botânico de São Paulo","-46.5299987792969","-23.6599998474121","27258","SP002277","SP002277","auto",NA,NA,"01"
