"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","stateProvince","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:25:20-03","UNESC","CRI","2725","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","A. Burkart","Reitz; Klein","9980","1960","10","06","Brasil","Brasil","Monte crista, garuva.","-48.638333","-26.310556","48º38'18''W","26º18'38''S","20","20","CRI003118","CRI003118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","8432","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Vanilde Citadini- Zanette","Mainara F. Cascaes",NA,"2007","10","03","Brasil","Maracajá","Parque ecológico do Maracajá.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI003114","CRI003114","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","6335","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel",NA,"Jacira Silvana; R. dos Santos, V. C. Zanette, Z. P. Topanotti",NA,"1998","07","22","Brasil","Criciúma","Bairro Mina União.","-49.370278","-28.678333","49º22'13''W","28º40'42''S","46","46","CRI003163","CRI003163","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:20-03","UNESC","CRI","8812","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel",NA,NA,NA,NA,NA,NA,"Brasil","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI003160","CRI003160","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:20-03","UNESC","CRI","1122","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Daniel de Barcellos Falkenberg","Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI003162","CRI003162","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:20-03","UNESC","CRI","14337","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1261","2017","10","20","Brasil","Turvo",NA,"-49.680556","-28.894444","49º40'50''W","28º53'40''S","270","270","CRI013525","CRI013525","Santa Catarina","2017","10","20","fruto imaturo Habitat: interior da U.A. Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:20-03","UNESC","CRI","1055","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1333","1991","10","24","Brasil","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI003161","CRI003161","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:32-03","UNESC","CRI","845","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Vanilde Citadini- Zanette","Paulo Brack",NA,"1991","10","24","Brasil","Maracajá","Mata BR 101.","-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12","CRI003159","CRI003159","Santa Catarina",NA,NA,NA,"Habitat: beira da mata Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:32-03","UNESC","CRI","4860","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel",NA,"Clair Maria Martinello","1","1995","09","02","Brasil","Criciúma","Parque Ecológico Municipal José Milanese - Mina União.","-49.431944","-28.69","49º25'55''W","28º41'24''S","58","58","CRI003115","CRI003115","Santa Catarina",NA,NA,NA,"Habitat: lado da trilha, dentro da mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:32-03","UNESC","CRI","1264","PreservedSpecimen","Plantae","Fabaceae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel","Vanilde Citadini- Zanette","J. J. Zocche",NA,"1992","09","24","Brasil","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI003116","CRI003116","Santa Catarina",NA,NA,NA,"Habitat: beira da mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
