"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01143016","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","W. A. Egler","46479","1961","08","17","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143016","NY01143016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01143011","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","J. M. Pires","52659","1962","08","29","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143011","NY01143011_01","Colonia do Torrao.","-51.25","2.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01143006","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","F. E. L. de Miranda","351","1983","09","01","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1312041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143006","NY01143006_01","Desmatamento da margem direita.","-49.802752","-3.856206","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01143013","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","D. C. Daly","1167","1981","11","01","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588168' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143013","NY01143013_01","Approx. 18 km from Tucurui; 16 km S on old BR-422, then 2 km W on overgrown logging road.","-49.6735668","-3.9092619","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01143015","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","J. M. Pires","51552","1961","10","08","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143015","NY01143015_01","Rio Araguari; at mouth of Anicahy, above Camp 14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01143007","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","M. G. da Silva","5326","1980","04","02","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143007","NY01143007_01","5 Km margem direita do Rio Tocantins","-49.6725","-3.76611","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01143010","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","G. T. Prance","25747","1977","11","25","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588144' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143010","NY01143010_01","BR 163, Cuiabá-Santarém Highway. Km 1417, 3 km N of Rio Itapacurá.","-55.955362","-4.6520881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01143018","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.",NA,"C. S. Rosário","657",NA,NA,NA,"South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143018","NY01143018_01","Área sob influência da Barragem da U. H. T. Margem direita do Rio Tocantins. Área de estudos: Botânica/Ecologica.","-49.6456879","-3.8316804","Tucuruí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01143014","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","J. M. Pires","51334","1961","09","29","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588171' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143014","NY01143014_01","Rio Amaparí entre campo 11 e campo 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01143012","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","micropetala","Trichilia micropetala","T.D.Penn.","T. D. Pennington","J. M. Pires","51223","1961","09","26","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1588165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01143012","NY01143012_01","Rio Araguarí.","-51.067071","0.8500789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
