"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","520489","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","paulina","Leandra paulina","DC.","G. G. Hatschbach","6551","1959","11","27","South America","Brazil","Paraná","Arapoti","Barra Rio da Perdizes","-49.8267","-24.1581","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520489","NY00520489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909088","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","paulina","Leandra paulina","DC.","H. S. Irwin","25775","1970","01","31","South America","Brazil","Minas Gerais","Patrocínio","Ca. 12 km N. of Patrocínio","-46.9925","-18.9439","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909088","NY00909088_01","M. Reginato","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","520488","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","paulina","Leandra paulina","DC.","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520488","NY00520488_01","C. A. Cogniaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909075","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","paulina","Leandra paulina","DC.","H. S. Irwin","12693","1966","02","12","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909075","NY00909075_01","M. Reginato","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:24-03","EAO","IAN","6278","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Leandra","paulina","Leandra paulina","DC.","Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN006278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:24-03","EAO","IAN","93390","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Leandra","paulina","Leandra paulina","DC.","Glaziou, AFM","21411",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN093390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:13:28-03","ESALQ","ESA","63590","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","paulina","Leandra paulina","(Schrank et Mart.) DC.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063590","ESA063590",NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:13:28-03","ESALQ","ESA","63589","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","paulina","Leandra paulina","(Schrank et Mart.) DC.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA063589","ESA063589",NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:13:28-03","ESALQ","ESA","26493","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","paulina","Leandra paulina","(Schrank et Mart.) DC.","Souza, V.C. et al.","2350.0","1993","02","17",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA026493","ESA026493","Goldenberg, R.",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:31:36-03","MN","R","10146","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","paulina","Leandra paulina","DC.","Glaziou, A.F.M.","21411","1890","11","22",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010146","R000010146_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
