"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","monthIdentified","continentOcean","class","order","dayIdentified","relatedCatalogItem"
"1","2020-11-04 11:13:04-03","ESALQ","ESA","131486","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Souza, V.C.","2013","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36689.0","2013","02","23","Brasil","São Paulo","Guaratinguetá","Fragmento 33 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa. Área alagável.","-22.7939","-45.287","-22.7939","-45.287","558","558","Árvore","ESA131486",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:13:04-03","ESALQ","ESA","10624","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa",NA,"Cruz, F. R.","2007","Barreto, K.D. et al.","746.0","1993","06","17","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA010624","44778","ESA010624","auto",NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:13:04-03","ESALQ","ESA","10153","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa",NA,"Cruz, F. R.","2007","Barreto, K.D. et al.","26.0","1993","02","05","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA010153","44778","ESA010153","auto",NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:27:03-03","UNICAMP","UEC","14933","S","Plantae","Magnoliopsida","Sterculiaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Cruz, FR","2008","Semir, J","s.n.","1976","02","04","Brazil","São Paulo","Campinas","Fazenda Santa Elisa","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,NA,"UEC108342","23900",NA,"auto","03",NA,NA,NA,NA,NA
"5","2021-03-01 16:42:07-03","UNICAMP","UEC","14931","S","Plantae","Magnoliopsida","Sterculiaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Cruz, FR","2007","Taroda, N","s.n.","1975","11","27","Brazil","São Paulo","Campinas","Fazenda Santa Elisa","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Árvore. 7m. Inflorescência: cacho grande, flores ferrugíneas. Flores femininas no ápice da inflorescência.","UEC108343","23900",NA,"auto","06",NA,NA,NA,NA,NA
"6","2021-03-01 16:42:07-03","UNICAMP","UEC","14930","S","Plantae","Magnoliopsida","Sterculiaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Taroda, N",NA,"Taroda, N","2184","1976","04","01","Brazil","São Paulo","Campinas","Fazenda Santa Elisa, Instituto Agronômico de Campinas.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Árvore de 6m +/-. Flores de coloração ferruginea externamente, amarelo-esverdeado internamente.","UEC108340","23900",NA,"auto",NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:37:56-03","UFMG","BHCB","50252","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Lombardi, JA; et al.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Campus da UFMG","-43.966667","-19.866667","-43.966667","-19.866667",NA,NA,"Cultivada. Arvoreta não ramificada, ca. 3 m. PLANTAS DA ARBORIZAÇÃO DO CAMPUS DA UFMG. Folhas cartáceas, cálice externamente amarelo-ferrugíneo, internamente com centro vermelho e ápice dos lobos amarelos, estilet amarelo",NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"8","2020-06-22 14:18:45-03","UNESP-IBILCE","SJRP","18639","PreservedSpecimen","Plantae","Tracheophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","C.L. Cristobal",NA,"L.P. de Queiroz",NA,NA,NA,NA,"Brasil","Bahia","Formosa do Rio Preto","ca. 22 km W da BR 135","-45.1930999755859","-11.0482997894287",NA,NA,NA,NA,"Árvore 9 m, folhas viscosas, membranáceas, frutos separados;",NA,"155006",NA,"auto",NA,"América do Sul","Magnoliopsida","Malvales",NA,NA
"9","2020-08-26 16:11:55-03","UNESP-IBILCE","SJRP","17586","PreservedSpecimen","Plantae","Tracheophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","N.T. Ranga","2015","Kämpf, Eliana",NA,NA,NA,NA,"Brasil","São Paulo","Piracicaba","Parque da ESALQ","-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,NA,"44778",NA,"auto",NA,"América do Sul","Magnoliopsida","Malvales",NA,NA
"10","2020-08-26 16:11:55-03","UNESP-IBILCE","SJRP","17557","PreservedSpecimen","Plantae","Tracheophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Catharino, E.L.M.",NA,NA,NA,NA,"Brasil","São Paulo","Piracicaba","Parque da ESALQ","-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,NA,"44778",NA,"auto",NA,"América do Sul","Magnoliopsida","Malvales",NA,NA
