"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","dayIdentified","coordinatePrecision","geoFlag","continentOcean","locality","sex"
"1","2021-03-01 11:55:13-03","UFPE","UFP","32495","PreservedSpecimen","Plantae","Pales","Bromeliaceae","Neoregelia","pernambucana","Neoregelia pernambucana","Leme & J.A. Siqueira-Filho","Siqueira-Filho, JA","1999","12","paratype","Siqueira-Filho, JA","1009","1999","12","13","Brasil","Pernambuco","Jaqueira","-35.833611","-8.7105","-35.833611","-8.7105","700","700","Espécie ornamental, epífita no dossel da mata ou sub-bosque. Folhas verdes máculas verde-escuras e mais internas avermelhadas. Inflorescência congesta e imersa no tanque que armazena quantidade razoável de água. Flores alvas e suavemen","UFP032495","UFP032495",NA,NA,NA,NA,NA,NA
"2","2021-03-01 11:55:13-03","UFPE","UFP","41585","PreservedSpecimen","Plantae","Pales","Bromeliaceae","Neoregelia","pernambucana","Neoregelia pernambucana","Leme & J.A. Siqueira-Filho","Siqueira-Filho, JA","2005","06",NA,"Siqueira-Filho, JA; Oliveira, JB; Cabral, JS; Leite, MS","1510","2005","06","02","Brasil","Alagoas","Ibateguara","-35.9393997192383","-8.97249984741211",NA,NA,NA,NA,"Epífita encontrada tombada no interior da mata na margem de um riacho. Folhas de 0,97-1,08m x 9-10cm e bainha de 16-25 x 14-19,5cm, verdes com grandes máculas vermelhadas no ápice e várias máculas menores dispostas irregularmente ao lo","UFP041585",NA,"02","16798","auto",NA,NA,NA
"3","2021-03-01 11:55:13-03","UFPE","UFP","32494","PreservedSpecimen","Plantae","Pales","Bromeliaceae","Neoregelia","pernambucana","Neoregelia pernambucana","Leme & J.A. Siqueira-Filho","Siqueira-Filho, JA","1999","07","holotype","Siqueira-Filho, JA","1000","1998","08","26","Brasil","Pernambuco","Jaqueira","-35.7933006286621","-8.72667026519775",NA,NA,NA,NA,"Espécie onrnamental, epífita no dossel da mata ou sub-bosque. folhas verdes com máculas verde-escuras e mais internas avermelhadas. infloreescência congesta e imersa no tanque que acumula quantidade considerável de água. Flores alvas e","UFP032494","UFP032494",NA,"11830","auto",NA,NA,NA
"4","2021-04-05 12:31:14-03","UNIVASF","HVASF","1692","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Neoregelia","pernambucana","Neoregelia pernambucana","Leme & J.A.Siqueira","J.A. Siqueira Filho","2005","06",NA,"J.A. Siqueira Filho","1510","2005","06","02","Brasil","Alagoas","Ibateguara",NA,NA,"9999.000000","9999.000000","509","509","Epífita encontrada tombada no interior da mata na margem de um riacho. Folhas de 0,87-1,08m x 9-10cm e bainha de 16-25 x 14-19,5cm, verdes com grandes máculas avermelhadas no ápice e várias máculas menores dispostas irregularmente ao longo de sua extensão.","HVASF001692",NA,"02",NA,NA,"América do Sul","Usina Serra Grande, Engenho Coimbra, Mata do Varjão","U"
