"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","eventTime","fieldNumber","sex"
"1","2021-04-05 14:24:48-03","UNESC","CRI","9507","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","H. F. Uller","2010","08","19","H.F. Uller","186","2010","08","19","Brasil","Santa Catarina","Gaspar","Arraial.","-48.9425","-26.866944","48º56'33''W","26º52'1''S","81","81","Floresta Ombrófila Densa","CRI000256","CRI000256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","9508","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Stival-Santos","2010","03","18","A. Stival-Santos; E. Legal & S. Silveira","1510","2010","01","27","Brasil","Santa Catarina","Angelina","Coqueiral.","-49.049722","-27.54","49º2'59''W","27º32'24''S","835","835","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arbórea","CRI000255","CRI000255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","5180","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; V. Boff & A. Gozçe.","2333","1996","09","19","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"Habito: árvore","CRI000285","CRI000285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:48-03","UNESC","CRI","1304","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","J. J. Zocche",NA,NA,NA,"J. J. Zocche",NA,"1992","07","28","Brasil","Santa Catarina","Forquilhinha",NA,"-49.4725","-28.748056","49º28'21''W","28º44'53''S","25","25",NA,"CRI000286","CRI000286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","8612","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Marcos Sobral","1997","07","15","Clair Maria Martinello",NA,"1997","08","15","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.553056","-27.318611","48º33'11''W","27º19'7''S",NA,NA,NA,"CRI000263","CRI000263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","9552","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. A. de Oliveira","2010","03","19","M. Verdi; N. L. de Souza e G. Klemz","3541","2010","02","01","Brasil","Santa Catarina","Cocal do Sul","Linha Cabral.","-49.315556","-28.617778","49º18'56''W","28º37'4''S","61","61","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI000262","CRI000262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:48-03","UNESC","CRI","7963","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","2007","09","07","Beatriz Wessler; Bruna Alberton",NA,"2007","09","06","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46",NA,"CRI000271","CRI000271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:13-03","UNESC","CRI","11611","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Guilherme Alves Elias","2015","12","19","Guilherme Alves Elias; Robson dos Santos & Peterson T. Padilha","20","2015","12","19","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,"Floresta Ombrófila Densa de Terras Baixas","CRI008280","CRI008280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:13-03","UNESC","CRI","1303","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo Jose Zocche",NA,"1992","07","28","Brasil","Santa Catarina","Forquilhinha",NA,"-49.474444","-28.747778","49º28'28''W","28º44'52''S","28","28","Habitat: caatinga Habito: trepadeira","CRI000287","CRI000287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:13-03","UNESC","CRI","13843","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Fabio Longen","2018","06","02","Alexandre Medeiros","1077","2018","06","02","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.593333","-27.006944","48º35'36''W","27º0'25''S",NA,NA,"Frutos negros. Habito: Arbóreo","CRI012454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
