"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:18-03","E","E","198786","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","Pennington, T.D.; Daza, A.","17513","2003","02","10","W. Tropical South America","PE","herbarium specimen of unspecif","BGBASE:208354","<a href=http://data.rbge.org.uk/herb/E00198786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:18-03","E","E","451350","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","Ratter, J.A. & Ramos, P.C.M.","516","1967","07","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:463201","<a href=http://data.rbge.org.uk/herb/E00451350 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00451350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","869625","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","S. R. Lowrie","222","1980","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869625","Magnoliophyta","Malvales","Aubl.","P. A. Fryxell","Acre","Rio Branco","Boca do Acre-Rio Branco road, 14km from Rio Branco","-67.7","-10.02","NY00869625_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","869619","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","K. Kainer","36","1989","09","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869619","Magnoliophyta","Malvales","Aubl.","D. C. Daly","Acre","Xapuri","Ser. Cachoeira, Col. Retiro, Sucam 34c1, 500 m N of house","-68.5042","-10.6519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2207742","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","J. M. Pires","52286","1962","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341804' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207742","Magnoliophyta","Malvales","Aubl.",NA,"Amapá",NA,"Coastal Region; road to Amapa, km 134, Agua Azul",NA,NA,"NY02207742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","869627","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","B. A. Krukoff","5291",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34051' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869627","Magnoliophyta","Malvales","Aubl.","B. A. Krukoff","Acre",NA,"Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00869627_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996356","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","G. G. Hatschbach","36009","1975","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996356","Magnoliophyta","Malvales","Aubl.","H. L. Setser","Mato Grosso do Sul","Coxim","Taquari. Margens do Rio Taquari.","-54.7597","-18.5069","NY00996356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00750353","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","L. O. A. Teixeira","712","1982","05","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879047' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750353","Magnoliophyta","Malvales","Aubl.","W. Meijer","Rondônia","Santa Barbara","Rodovia BR 364, km 120","-63.12","-9.17","NY00750353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778006","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","M. R. de V. Barbosa","2547","2002","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778006","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Alagoas","Murici","E. E. Murici-Fazenda Bananeiras, no caminho entre a porteira e a vila de moradores","-35.8892","-9.2492","NY00778006_01","343","343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2207710","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","I. L. do Amaral","1148","1983","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341771' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207710","Magnoliophyta","Malvales","Aubl.",NA,"Pará","Itaituba","Estrada Santarém-Cuiabá, BR 163, km 886 a km 881, Serra do Cachimbo","-54.95","-8.75","NY02207710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
