"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","barcode","typeStatus","continentOcean","imagecode","class"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","553","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis","Mez","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Bruno Rezende Silva; Angelo S. Garcia","2000","07","23","Brasil","Rio de Janeiro","Niterói","Bairro Itacotiara, Alto Mourão","-43.1035995483398","-22.88330078125","14785","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:08-03","MN","R","212701","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis","Mez",NA,NA,NA,"França, C.R.P.","2007","09","04","Brasil","Rio de Janeiro","Rio de Janeiro","4 metros acima do solo, a direita da base da via Escadinha do Jacô, na face sul do morro do Pão de Açúcar.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","25","R010010949",NA,NA,NA,NA
"3","2021-02-07 08:35:08-03","MN","R","212704","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis","Mez",NA,NA,NA,"França, C.R.P.","2007","08","01","Brasil","Rio de Janeiro","Rio de Janeiro","A 50 metros de altura do solo, acima de um grande platô entre as bases das vias Alfredo Maciel e Ás de Espadas, na face sul do morro do Pão de Açúcar.","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","19","R010010948",NA,NA,NA,NA
"4","2016-02-02 14:37:51-02","BGBM","B","B 10 0243392","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis","Mez",NA,NA,NA,"A. F. M. Glaziou","1887",NA,NA,"Brazil",NA,NA,"Rio Janeiro et Minas.",NA,NA,NA,NA,"Herbarium Ign. Urban <a href=http://herbarium.bgbm.org/object/B100243392 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,"16466","B100243392","holotype","Middle and South America","B100243392",NA
"5","2019-09-04 18:17:45-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis",NA,NA,NA,NA,"A. Glaziou","1885","8","30","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"16466",NA,"Isotype","South America",NA,"Monocotyledoneae"
"6","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","botafogensis","Vriesea botafogensis","Mez",NA,NA,NA,"Glaziou, AFM",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae prov. Rio de Janeiro ad Botafogo",NA,NA,NA,NA,"Floret Augusto. (V. s. in herb. Berol.)",NA,"16466",NA,NA,"Southern America",NA,NA
