"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","eventTime","sex"
"1","2021-04-05 14:33:34-03","UNESC","CRI","8324","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","Alain Chautems","2020","05","01","Rafael Martins","2009","09","09","Brasil","Santa Catarina","Araranguá","Sanga do Veado.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","CRI003214","CRI003214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1608","S","Plantae","Gesneriaceae","Sinningia","sceptrum","Sinningia sceptrum","(Mart.) Wiehler","Carlos A. Ferreira Jr.","2012","12","26","Carlos Alberto F. Jr.;","2011","12","27","Brasil","Minas Gerais","Caeté","Morro do Serrote, próximo ao campão","-43.6697006225586","-19.8799991607666","43°40'27","19°53'14",NA,NA,"Magnoliophyta","Lamiales","CAF354","22051","931","931","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","312624","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","paludosum","Corytholoma paludosum","Rusby",NA,NA,NA,NA,"O. E. White","1921","10","25","Bolivia",NA,NA,"Vic. Reyes",NA,NA,NA,NA,"NY00312624","NY00312624_01","Magnoliophyta","Lamiales","534",NA,"304.8","304.8",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210244' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"holotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","312623","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","paludosum","Corytholoma paludosum","Rusby",NA,NA,NA,NA,"O. E. White","1921","09","13","Bolivia",NA,NA,"[Ixim..]",NA,NA,NA,NA,"NY00312623","NY00312623_01","Magnoliophyta","Lamiales","1111",NA,"457.2","457.2",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=210243' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"holotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 13:20:00-03","NY","NYBG","02065602","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","sceptrum","Corytholoma sceptrum arenosa","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,"[From protologue: In arenosis salsi pr. Arroyo Primero Apa., Febr.]",NA,NA,NA,NA,"NY02065602","NY02065602_01","Magnoliophyta","Lamiales","8491",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2226317' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"isolectotype","South America","sheet","arenosa",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02065601","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","sceptrum","Corytholoma sceptrum arenosa","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,"[From protologue: in arenosis pr. Rosario, Jan.]",NA,NA,NA,NA,"NY02065601","NY02065601_01","Magnoliophyta","Lamiales","6022",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2226498' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"syntype","South America","sheet","arenosa",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929917","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1972","01","19","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 21 km E. of Pirenópolis.","-48.75395","-15.85",NA,NA,"NY00929917","NY00929917_01","Magnoliophyta","Lamiales","34600",NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999351' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929927","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"T. B. Cavalcanti","1985","11","23","Brazil","Minas Gerais","Diamantina","Diamantina, estrada para São João da Chapada, perto de Sopa.","-43.6003","-18.2494",NA,NA,"NY00929927","NY00929927_01","Magnoliophyta","Lamiales","CFCR8621",NA,"1200","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999388' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","442079","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"G. G. Hatschbach","1969","11","16","Brazil","Paraná","Faxinal","Faxinalzinho","-51.3192","-24.0006",NA,NA,"NY00442079","NY00442079_01","Magnoliophyta","Lamiales","22884",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709055' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929928","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"A. Chautems","1983","03","19","Brazil","Minas Gerais","Jaboticatubas","Route Belo Horizonte - Conceição do Mato Dentro/Serra do Cipo. Km 137.","-43.7447","-19.5136",NA,NA,"NY00929928","NY00929928_01","Magnoliophyta","Lamiales","27",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999391' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
