"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","locality","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:33:57-03","UNESC","CRI","2573","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.","L. B. Smith","L. B. Smith; R. M. Klein","1975","02","12","Brasil","Santa Catarina","Lages","-50.326389","-27.816389","50º19'35''W","27º48'59''S","918","918","CRI007010","CRI007010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:40-03","E","E","514151","PreservedSpecimen","Plantae","Gramineae","Panicum","millegrana","Panicum millegrana",NA,NA,"Pedersen, Troels Myndel","1958","03","01","AR","Provincia de Corrientes",NA,NA,NA,NA,NA,NA,NA,"E00514151",NA,"4818","Temperate South America","Dep. Mburucuyá; Estancia San Juan","herbarium specimen of unspecif","BGBASE:534802","<a href=http://data.rbge.org.uk/herb/E00514151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00864139","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.","S. A. Renvoize","G. G. Hatschbach","1993","02","11","Brazil","Mato Grosso do Sul",NA,NA,NA,NA,NA,NA,NA,"NY00864139","NY00864139_01","58910","South America","Rod. BR-419, 15 km N de Nioaque","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954636' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1166599","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.",NA,"G. A. Black",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"NY01166599","NY01166599_01","47-1866","South America",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400353' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00864113","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.","S. A. Renvoize","G. G. Hatschbach","1983","02","12","Brazil","Mato Grosso do Sul","Ponta Porã","-55.7256","-22.5361",NA,NA,"650","650","NY00864113","NY00864113_01","46148","South America","Ponto Alto","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954635' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","652682","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.","S. A. Renvoize","G. G. Hatschbach","1975","01","02","Brazil","Paraná","Palmeira","-50.0064","-25.4294",NA,NA,NA,NA,"NY00652682","NY00652682_01","35890","South America","Corrego da Anta","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769007' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","652677","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.",NA,"W. D. Clayton","1965","02","08","Brazil","São Paulo","Paraguaçú Paulista","-50.8","-22.53",NA,NA,"450","450","NY00652677","NY00652677_01","4578","South America","Fazenda of Sr Lauro Toledo (1 km W of Rio Sao Mateus)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769017' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","652680","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.",NA,"W. D. Clayton","1965","01","25","Brazil","Paraná","Colombo","-49.2242","-25.2919",NA,NA,NA,NA,"NY00652680","NY00652680_01","4350","South America","Bacaitara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769020' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","652687","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.","J. R. Swallen","L. B. Smith","1957","02","04","Brazil","Santa Catarina","Porto Uniao","-51.0781","-26.2383",NA,NA,"750","750","NY00652687","NY00652687_01","10774","South America","Between Fazenda Frei Rogério and Rio Pintado, southeast of Pôrto Uniao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769001' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","652676","PreservedSpecimen","Plantae","Poaceae","Panicum","millegrana","Panicum millegrana","Poir.",NA,"W. D. Clayton","1965","02","04","Brazil","São Paulo","Itapetininga","-47.97","-23.58",NA,NA,"600","600","NY00652676","NY00652676_01","4508","South America","Sorocaba to Itapetininga","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=769016' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
