"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","continentOcean","imagecode"
"1","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13050","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Zappi, D.C. & Taylor, N. P.","1990","Eggli, U.","1117","1988","08","07","Brasil","Minas Gerais","Francisco Dumont","-44.2341995239258","-17.3150005340576","45152","720","720","Häufig. Schöne Säulen, meistens von nahe der Basis her verzweigt, Epidermis blaugrau bereift, junge Triebe stark bedornt, alte Triebe nahezu dornenlos. Blüten starr-fleischig, inner weiss, Filamente w","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14066","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Zappi, D.C. & Taylor, N. P.","1990","Zappi, D.C.","s.n.","1990","06","17","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,"Plantas pouco ramificadas, até 3m compr. Cladódios azul-claro, 6-7,5cm diam., aréolas inermes. Botões florais azul-escuros.","auto","06","17","Serra do Cabral",NA,NA,NA,NA,NA,NA
"3","2019-11-13 11:17:18-03","USP","SPF","80868","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Anônimo",NA,"Harley, RM","24908","1988","10","12","Brasil","Minas Gerais","Buenópolis","-44.25","-17.883333",NA,"950","950",NA,NA,NA,NA,"Serra do Cabral","-44.25","-17.883333","SPF00080868",NA,NA,NA
"4","2019-11-13 11:17:18-03","USP","SPF","80869","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Anônimo",NA,"Harley, RM","24990","1988","10","13","Brasil","Minas Gerais","Buenópolis","-44.25","-17.883333",NA,"1100","1200",NA,NA,NA,NA,"Serra do Cabral","-44.25","-17.883333","SPF00080869",NA,NA,NA
"5","2019-11-13 11:17:18-03","USP","SPF","80967","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Anônimo",NA,"Eggli, U","1117","1988","08","07","Brasil","Minas Gerais","Francisco Dumont","-44.2341995239258","-17.3150005340576","45152",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"SPF00080967",NA,NA,NA
"6","2019-11-13 11:17:18-03","USP","SPF","123537","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Soffiatti, P","1997","Soffiatti, P","24","1997","07","30","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"SPF00123537",NA,NA,NA
"7","2019-11-13 11:17:18-03","USP","SPF","123536","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Soffiatti, P","1997","Soffiatti, P","23","1997","07","30","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"SPF00123536",NA,NA,NA
"8","2019-11-13 11:17:18-03","USP","SPF","123535","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Soffiatti, P","1997","Soffiatti, P","22","1997","07","30","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"auto",NA,NA,NA,NA,NA,"SPF00123535",NA,NA,NA
"9","2019-11-13 11:17:18-03","USP","SPF","84987","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Pirani, JR",NA,"Pirani, JR","CFCR13235","1990","06","17","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"auto",NA,NA,"Serra do Cabral",NA,NA,"SPF00084987",NA,NA,NA
"10","2020-04-29 16:29:40-03","UFVJM","HDJF","5280","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb. & Voll) Zappi & N.P.Taylor","Soffiatti, P","2017","Fantinati, MR; Soffiatti, P","162","2017","01","14","Brasil","Minas Gerais","Joaquim Felício","-44.178333","-17.757833",NA,"720","720",NA,NA,"01","14","Cachoeira do Buqueirão (propriedade particular).","-44.178333","-17.757833","HDJF005280","Dicotyledoneae","Southern America","HDJF005280_01"
"11","2020-09-22 13:46:00-03","USP","SPFW","817","PreservedSpecimen","Plantae","Cactaceae","Cipocereus","bradei","Cipocereus bradei","(Backeb.;Voll) Zappi;N.P.Taylor","P. Soffiatti",NA,"Soffiatti, P.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","37503",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
