"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","623365","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","J. R. Pirani","A. M. B. Iseppon","s.n.","1993","02","02","South America","Brazil","São Paulo","Bertioga","Rodovia Bertioga-Suzano, sentido continente, km 5.","-46.1383","-23.8544","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623365","NY00623365_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684806","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","W. Hoehne","W. Hoehne","4012","1960","01","27","South America","Brazil","São Paulo","Sao Paulo","Agua Funda. Na entrada do Jardim Botânico de São Paulo","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684806","NY00684806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684799","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","L. Riedel","23","1823","01",NA,"South America","Brazil","Rio de Janeiro",NA,"In sylv. Mandiocca",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684799","NY00684799_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684796","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","Collector unspecified","116","1832",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Collector possibly L. Riedel <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684796","NY00684796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","684798","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","A. F. M. Glaziou","2547",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","Reçu le 21 Mai 1881 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880162' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684798","NY00684798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684790","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi",NA,"L. Riedel","116","1831","12",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684790","NY00684790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","684800","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","L. Riedel","19","1824","02",NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","Dupl. 19; Riedel 2922 aff. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684800","NY00684800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","684804","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","J. B. A. Guillemin","201","1839","12",NA,"South America","Brazil","Rio de Janeiro",NA,"Brasil Meridional. Jardim Bot.",NA,NA,"sheet","This is a duplicate sheet of Guillemin 201, det. R. S. Cowan Two dates on sheet, printed date is 1839, hand written date is 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684804","NY00684804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684794","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","L. Riedel","2475","1822",NA,NA,"South America","Brazil",NA,NA,"Minas Campos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684794","NY00684794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","684802","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","langsdorffii","Swartzia langsdorffii","Raddi","R. S. Cowan","H. N. Whitford","25","1918","06","18","South America","Brazil","Rio de Janeiro",NA,"Botanical Gardens",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=881114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684802","NY00684802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
