"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","645815","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck ex DC.) Ralf Bauer","O. E. White","1497","1921","03","11","South America","Bolivia","Rosario Hacienda, NE of Rayal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645815","NY00645815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02713590","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck ex DC.) Ralf Bauer","D. M. Torres","90","2013","11","28","South America","Brazil","Jaci-Paraná: Módulo Novo-T3 /P 5000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3034045' target='other'> <mi>dwc_moreinfo</mi></a>","NY02713590","NY02713590_01","D. M. Torres; D. Nascimento","Rondônia","Porto Velho","-64.3786","-9.4006","118","118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645814","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck ex DC.) Ralf Bauer","J. N. Rose","20272","1915","07","17","South America","Brazil","Island of Coco, Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645814","NY00645814_01",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685958","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck ex DC.) Ralf Bauer","J. N. Rose","19813","1915","06","08","South America","Brazil","Itumirim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685958","NY00685958_01 NY00685958_02 NY00685958_03","R. Bauer","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3904629","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","M. Menacho","38","1992","03",NA,"South America","Bolivia","Plaza 24 de Septiembre Ciudad de Santa Cruz de la Sierra","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187554' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904629",NA,NA,"Santa Cruz","Andrés Ibáñez","-63.2","-17.77","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01112664","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","W. W. Thomas","12564","2001","10","23","South America","Brazil","Serra do Castanhao, 14.5 km S of Jequié on BR 116 to road (at Churrascaria Corujao), then 7.2 km W","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=240576' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112664","NY01112664_01","M. W. Kimnach","Bahia","Jequié","-40.1911","-13.942033","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3904621","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","E. P. Killip","28903","1929","09","01","South America","Peru","Lower Río Huallaga below Yurimaguas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187546' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904621","NY03904621_01",NA,"Loreto",NA,"-76.179661","-5.754807","135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","03904534","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","H. Johnson","s.n.",NA,NA,NA,"South America","Peru","Tingo Maria in valley of the Huallaga River, cultivated at UCBG","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4183780' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904534","NY03904534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02210908","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","D. C. Daly","1356","1981","11","15","South America","Brazil","Approx. 25km from Tucurui, SW on new road serving fazendas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345420' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210908","NY02210908_01",NA,"Pará",NA,"-49.7234774","-3.9700079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3904630","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","M. H. Nee","35917","1988","01","13","South America","Bolivia","12 km. E of center of Santa Cruz, on road to Cotoca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187555' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904630","NY03904630_01",NA,"Santa Cruz","Andrés Ibáñez","-63.07","-17.77","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","03904619","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","R. S. Williams","881","1901","09","27","South America","Bolivia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187500' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904619","NY03904619_01",NA,NA,NA,NA,NA,"488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3904625","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","S. T. McDaniel","23613","1980","05","13","South America","Peru","Río Momón from mouth to Balcón, riverine forest","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4187550' target='other'> <mi>dwc_moreinfo</mi></a>","NY03904625","NY03904625_01",NA,"Loreto","Maynas",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02210909","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) A.Berger ex Werderm.","M. L. Alencar","326","1979","07","02","South America","Brazil","Slopes of Serra de Jacumim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345421' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210909","NY02210909_01",NA,"Amazonas",NA,"-65.53","-0.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:29:42-03","UFRJ","RFA","43089","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","V. Demuner","211","1999","11","02",NA,"Brasil","Propriedade de Domingos Demuner.",NA,"Planta sobre rochas, com flores de sépalas verdes e retas brancas. Frutos quando maduros ficam com casca cor coxa, várias sementinhas pretas.","RFA47423",NA,"W.C. Cardoso","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"2019","04","08","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:19:15-03","UFRJ","RFA","22643","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","C.M. Rizzini","451","1988","12","06",NA,"Brasil","Barra de Maricá. Área B2.",NA,"Fruto imaturo verde","RFA18620",NA,"M. Machado","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:19:15-03","UFRJ","RFA","22538","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","C.M. Rizzini","446","1988","10","25",NA,"Brasil","Barra de Maricá. Área C1. Área de moitas.",NA,"Flores brancas","RFA18553",NA,"M. Machado","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-13 09:19:15-03","UFRJ","RFA","22618","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","C.M. Rizzini","448","1988","11","21",NA,"Brasil","Barra de Maricá. picada da Aeronáutica",NA,"Fruto verde com espinhosa vermelhos","RFA18588",NA,"M. Machado","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:15-03","UFRJ","RFA","22214","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","Cézio Pereira","s.n.","1988","09","26",NA,"Brasil","Barra de Maricá",NA,"Epífita. Flores final de setembro/outubro. Tépalos brancos, brácteas esverdeadas. Caule triangular com espinhos curtos. Brácteas inferiores da flor com ápice lilás. ovário com espinhos lilás.","RFA18345",NA,"M. Machado","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-13 09:19:15-03","UFRJ","RFA","22215","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","Cézio Pereira","s.n.","1988","10","03",NA,"Brasil","Barra de Maricá. Lagoa - Canal",NA,"Frequente em toda a área. Epífita. Tépalos externos esverdeados, internos brancos. Ovário espinescente. Caule triangular","RFA18346",NA,"M. Machado","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2013","09","18","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:36:21-03","EAO","IAN","165572","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Duyck ex DC.) Bauer","Kahn, F; Moussa, F","2800","1990","10",NA,"Southern America","Peru","Vallé de l'Utcubamba, route de Chachapoyas à Pedro Ruiz, Km 20 à Km 30.",NA,"Liane, tiges triangularis; calice verdâtre (grenat à la pointe, vert foncé du milie à la base), parfois rosàtre; corolle ivoire; androceé jaunâtre jaunâtre, anthers verdâtres. Style ivoire.","IAN165572",NA,"Zappi, DC","Bongora","Amazonas",NA,NA,NA,NA,"2017","08","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-08 21:31:57-03","UFBA","ALCB","02915","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","Pinto, GCP","s/n","1973","03","30","Southern America","Brasil","Av. do Contorno, na encosta da Montanha, logo após o túnel do Campo Grande.",NA,NA,NA,NA,"Taylor, NP; Zappi, D","Bahia",NA,NA,NA,NA,NA,"1992","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:12:21-03","UFBA","ALCB","135800","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","Moreira, DM; Vitório, CDP; Simões, SS","261","2017","10","19","Southern America","Brasil","Serra da Copioba.",NA,"Erva escandente.","ALCB065502","ALCB065502",NA,"Bahia","São Filipe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 08:54:43-03","NBC","NL-BOTANY","U.1180151","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Lem.) Cogn.","Lindeman JC; Haas JH de",NA,"1967","01","20","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180151","NL-U1180151","Bauer R","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0070261",NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:26:43-03","MN","R","146487","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Cardoso, J.","416","1984","11","02",NA,"Brasil",NA,NA,NA,"R010023369,R010023370,R010023371","R010023369 R010023370 R010023371","Almeida, M.C.","Rio de Janeiro",NA,NA,NA,NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:26:43-03","MN","R","208567","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Costa, A.; Konno, T.; França, C.; Alcantara, V.; Pederneiras, L. & Silva, A.M.","838","2007","10","16",NA,"Brasil","Logomar",NA,NA,"R010023365,R010023366","R010023365 R010023366","Almeida, M.C.","Rio de Janeiro","Macaé","-41.696667","-27.299167",NA,NA,"2014",NA,NA,NA,NA,NA,NA,"41°41'48''W","27°17'57''S",NA,NA,NA,NA
