"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1128143","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","G. C. G. Argent","6564","1967","09","30","South America","Brazil","Mato Grosso","Base Camp.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275623' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128143","NY01128143_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1128013","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","L. Emygdio de Mello Filho","3304","1972","07","13","South America","Brazil","Minas Gerais","Gandarela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274344' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128013","NY01128013_01","K. Yamamoto","1570","1570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1128145","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","G. C. G. Argent","6668","1968","08","17","South America","Brazil","Mato Grosso","R.3. First interfluve c. 4 km. N of Base Camp.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275625' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128145","NY01128145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1128140","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","J. A. Ratter","R.192","1967","07","27","South America","Brazil","Mato Grosso","c. 1.5 km W. of Xavantina.","-52.33","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275620' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128140","NY01128140_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1127962","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","P. Claussen","122",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272452' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127962","NY01127962_01","K. Yamamoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1128022","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","P. Claussen","64",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274353' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128022","NY01128022_01","K. Yamamoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","642176","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","W. Ganev","1083","1992","09","12","South America","Brazil","Bahia","Caminho engenho-Tromba, á beira do Riacho, próximo a casa de Niquinha","-41.78","-13.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642176","NY00642176_01","K. Yamamoto","1000","1000","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00972564","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata persistens","(A.St.-Hil.) Engl.","H. L. de M. Barreto","19252","1934","05","06","South America","Brazil","Minas Gerais","Serra da Piedade.","-43.675674","-19.822323","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972564","NY00972564_01",NA,NA,NA,NA,"persistens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","642177","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata","(Mart. & Nees) Engl.","W. Ganev","2214","1993","09","10","South America","Brazil","Bahia","Jambeiro, próximo a Catolés","-41.85","-13.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642177","NY00642177_01","K. Yamamoto",NA,NA,"Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1128173","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","semiserrata","Ouratea semiserrata persistens","(A.St.-Hil.) Engl.","C. F. P. von Martius","990",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275853' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128173","NY01128173_01",NA,NA,NA,NA,"persistens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
