"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","00940974","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","R. de Mello-Silva","1995","04","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940974","1030","Minas Gerais","Magnoliophyta","Myrtales","Pohl","R. de Mello-Silva","Serra do Cipó, estrada da Usina de força Dr. Pacífico Mascarenhas.","-43.6033","-19.2867","950","950","NY00940974_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00940954","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","E. P. Heringer","1979","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940954","17429","Minas Gerais","Magnoliophyta","Myrtales","Pohl","M. L. Kawasaki","Entre Brasilia e Joao Pinheiro",NA,NA,NA,NA,"NY00940954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00862936","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. R. Pirani","1998","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862936","3890","Minas Gerais","Magnoliophyta","Myrtales","Pohl","K. Yamamoto","Serra do Cabral, estrada no alto da Serra","-44.18","-17.8733","950","950","NY00862936_01","Buenópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","818103","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","B. Maguire","1963","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818103","57155","Distrito Federal","Magnoliophyta","Myrtales","Pohl","H. Balslev","Between Gama and Rio Corumba.","-47.9294","-15.7797",NA,NA,"NY00818103_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00940955","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. P. P. Carauta","1981","12","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940955","4038","Minas Gerais","Magnoliophyta","Myrtales","Pohl","M. C. Vianna","Monte Claros, estrada para Fazenda Buriti, cerca de 15 km. da cidade.",NA,NA,NA,NA,"NY00940955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00940961","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","H. S. Irwin","1969","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940961","22983","Minas Gerais","Magnoliophyta","Myrtales","Pohl","H. Balslev","Serra do Espinhaço, ca. 30 km N.E. of Francisco Sá, on road to Salinas","-43.2679","-16.4288","1100","1100","NY00940961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00940969","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. A. Rizzo","1972","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940969","8643","Goiás","Magnoliophyta","Myrtales","Pohl","M. L. Kawasaki","Chapada dos Veadeiros","-47.5097","-14.1325",NA,NA,NA,"Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00940947","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","B. Maguire","1959","12","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940947","44662","Minas Gerais","Magnoliophyta","Myrtales","Pohl",NA,"Serra do Cipó, 3.5 miles from Hotel Chapeu de Sol.",NA,NA,"1128","1128","NY00940947_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01023296","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","A. M. V. de Carvalho","1981","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189546' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023296","980","Bahia","Magnoliophyta","Myrtales","Pohl","O. Kosovsky","Km 232 da rodovia BR 242 para Ibotirama. Pai Inácio.","-41.45","-12.5",NA,NA,"NY01023296_01","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00940959","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","H. S. Irwin","1965","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940959","9249","Distrito Federal","Magnoliophyta","Myrtales","Pohl","H. Balslev","Ca. 5 km N. of Planaltina, on road to São Gabriela","-47.6667","-15.57151","1200","1200","NY00940959_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
