"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","imagecode","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-09-23 10:39:41-03","E","E","514112","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","Cuming, Hugh","1345","Temperate South America","CL","Región V [Valparaíso]","Juan Fernandez","herbarium specimen of unspecif","BGBASE:532644","<a href=http://data.rbge.org.uk/herb/E00514112 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:41-03","E","E","514113","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","Scouler, John",NA,"Temperate South America","CL","Región V [Valparaíso]","Juan Fernandez","herbarium specimen of unspecif","BGBASE:532645","<a href=http://data.rbge.org.uk/herb/E00514113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:41-03","E","E","514110","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","King, Philip Parker (Captain)","1345","Temperate South America","UY","Departamento de Montevideo","Montevideo","herbarium specimen of unspecif","BGBASE:532642","<a href=http://data.rbge.org.uk/herb/E00514110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:41-03","E","E","514111","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","Cuming, Hugh","1345","Temperate South America","CL","Región V [Valparaíso]","Juan Fernandez","herbarium specimen of unspecif","BGBASE:532643","<a href=http://data.rbge.org.uk/herb/E00514111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:41-03","E","E","514114","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","Philippi, Rodulfo A.",NA,"Temperate South America","CL",NA,"Southern Chili; Valdivia","herbarium specimen of unspecif","BGBASE:532646","<a href=http://data.rbge.org.uk/herb/E00514114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00514114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:14-03","EAO","IAN","106492","PreservedSpecimen","Plantae","Poaceae","Polypogon","chilensis","Polypogon chilensis","Sacco, JC da","429","Southern America","Brasil","Rio Grande do Sul","I.A.S. Horto Botânico.",NA,NA,NA,"IAN106492","Monocotiledônea","(Kunth) Pilg.","Nascimento, EAP","2015","07","08","1955","11","18","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:14-03","EAO","IAN","106492","PreservedSpecimen","Plantae","Poaceae","Polypogon","chilensis","Polypogon chilensis","Sacco, JC da","429","Southern America","Brasil","Rio Grande do Sul","I.A.S. Horto Botânico.",NA,NA,NA,"IAN106492","Monocotiledônea","(Kunth) Pilg.","Nascimento, EAP","2015","07","08","1955","11","18","Pelotas","-52.3424987792969","-31.771900177002","51462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:54:14-03","EAO","IAN","65527","PreservedSpecimen","Plantae","Poaceae","Polypogon","chilensis","Polypogon chilensis","Dutra, AP","335","Southern America","Brasil","Rio Grande do Sul","Quinta de S. Miguel.",NA,NA,NA,"IAN065527","Monocotiledônea","(Kunth) Pilg.","Nascimento, EAP","2015","07","08","1925","11",NA,"São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:54:14-03","EAO","IAN","65527","PreservedSpecimen","Plantae","Poaceae","Polypogon","chilensis","Polypogon chilensis","Dutra, AP","335","Southern America","Brasil","Rio Grande do Sul","Quinta de S. Miguel.",NA,NA,NA,"IAN065527","Monocotiledônea","(Kunth) Pilg.","Nascimento, EAP","2015","07","08","1925","11",NA,"São Leopoldo","-51.1472015380859","-29.7602996826172","10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:19:57-03","NBC","NL-BOTANY","AMD.120710","PreservedSpecimen","Plantae","Gramineae","Polypogon","chilensis","Polypogon chilensis","Herter",NA,"Southern America","Uruguay",NA,"Dict. Carrasco, Departamento de Montevideo.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.120710 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD120710",NA,"(Kunth) Pilg.",NA,NA,NA,NA,"1934","11","01",NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","NL-AMD120710",NA,NA,NA,NA,NA,NA
