"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184049","PreservedSpecimen","Plantae","Lycopodiophyta","Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","J. P. Condack","413","2005","06","12","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Vale do Aiuroca. Rio Aiuroca, nas proximidades da cachoeira de mesmo nome.","-44.5633","-22.4961","2400","2400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184049","NY01184049_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685291","PreservedSpecimen","Plantae","Lycopodiophyta","Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","A. C. Brade","18889","1948","02","21","South America","Brazil","Rio de Janeiro","Itatiaia","Planalto, leito do Rib. das Flores.","-44.5631","-22.4961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=888395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685291","NY00685291_01","R. J. Hickey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:41:34-03","NBC","NL-BOTANY","U 0007427","PreservedSpecimen","Plantae",NA,"Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Regnell AF",NA,"1864","12","18","Southern America","Brazil","Minas Gerais",NA,"Prov. Minas Geraes: Caldas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007427",NA,"Fuchs HP","Lycopsida","syntype","44495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:41:34-03","NBC","NL-BOTANY","U 0007428","PreservedSpecimen","Plantae",NA,"Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Regnell AF",NA,"1864","12","18","Southern America","Brazil","Minas Gerais",NA,"Prov. Minas Geraes: Caldas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007428",NA,"Fuchs HP","Lycopsida",NA,"44496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:11:25-03","ESALQ","ESA","117414","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii",NA,"Romão, G.O.; Colletta, G.D.; Latvis, M.; Gissi, D.S.","2712.0","2010","04","01",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Pico da Bandeira. Campo rupestre","-41.8683013916016","-20.4333000183105","2000","2890",NA,"Aquática.","ESA117414",NA,"Paula-Souza, J.",NA,NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:20-02","BGBM","B","B 20 0108156_b","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Mosén","2027","1876","08","20","Middle and South America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"Material of the right capsule (b). <a href=http://herbarium.bgbm.org/object/B200108156 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200108156","B200108156 B200108156_1 B200108156_2",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-02-02 14:38:20-02","BGBM","B","B 20 0108154","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Mosén","2027","1876","01","20","Middle and South America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"vidit U. Weber <a href=http://herbarium.bgbm.org/object/B200108154 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200108154","B200108154","R. J. Hickey",NA,"syntype",NA,NA,NA,"2009","02",NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:38:20-02","BGBM","B","B 20 0108156_a","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","A. F. Regnell",NA,"1864","12",NA,"Middle and South America","Brazil",NA,NA,"Prov. Minas Geraes: Caldas.",NA,NA,NA,NA,NA,"First collection mentioned. Material of the left capsule (a).. <a href=http://herbarium.bgbm.org/object/B200108156 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200108156","B200108156 B200108156_1 B200108156_2",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:20-02","BGBM","B","B 20 0108155","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun ex Kuhn","A. F. Regnell","1506","1874",NA,NA,"Middle and South America","Brazil",NA,NA,"Minas Gerais.",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200108155 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200108155","B200108155","U. Weber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:20-02","BGBM","B","B 20 0108157","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","A. F. Regnell",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,"In rivula ad Caldas prov. Minas Geraes.",NA,NA,NA,NA,NA,"vidit U. Weber <a href=http://herbarium.bgbm.org/object/B200108157 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200108157","B200108157 B200108157_1 B200108157_2 B200108157_3",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
