"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","individualCount","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag"
"1","2020-02-08 09:40:25-03","NBC","NL-BOTANY","L.3724891","PreservedSpecimen","Plantae","Magnoliopsidae","Magnoliales","Annonaceae","Guatteria","emarginata","Guatteria emarginata","Lobão, Maas & Mello-Silva","Maas PJM","isotype","Vervloet RR; Bausen E; Pizziolo W","2003","04","29","Southern America","Brazil","Espírito Santo","Municipio de Santa Teresa, Nova Lombardia, Reserva Biologica Augusto Rischi, Giopabo-Acu, Boeirao, linha de divisa, Marco 53 a 52. Picada.","Topo de morro, dossel 14 m.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3724891 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3724891","NL-L3724891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-09-26 15:20:00-03","MO","MOBOT","101070698","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Guatteria","emarginata","Guatteria emarginata","Lobão, Maas & Mello-Silva",NA,"Holotype","R.R. Vervloet|et al.","2003","4","29","South America","Brazil","Espírito Santo","Nova Lombardia, Reserva Biológica Augusto Ruschi, Goipabo Açu, Boeirão, linha de divisa (marco 53 e 52).",NA,NA,NA,"Vervloet 2316","600.00000000","800.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","20505",NA,"Plantae",NA,NA,"Annonaceae","Guatteria","emarginata","Guatteria emarginata","Lobão, Maas & Mello-Silva","Paul J.M. Maas/04-09-2009","ISOTIPO","R.R. Vervloet; et al","2003","04","29",NA,"Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi - Nova Lombardia","Árvore de 17m, flores de cor verde rosada. Topo de morro dossel 14m.","MBML020505","MBML020505","2316",NA,NA,NA,"Santa Teresa","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,NA,NA
"4","2021-03-15 18:24:26-03","USP","SPF","175821","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Guatteria","emarginata","Guatteria emarginata","Lobão, Maas & Mello-Silva","Lobão, AQ","holotype","Vervloet, RR; Bausen, E; Pizziolo, W","2003","04","29",NA,"Brasil","Espírito Santo","Reserva Biológica Augusto Ruschi, Nova Lombardia. Goipabo-Açu, Boeirão, linha de divisa, Marco 53 a 52. Picada.","Árvore de 17 m, flores de cor verde rosada.; Topo de morro, dossel 14 m.","SPF00175821",NA,"2316",NA,NA,NA,"Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,"2009","01","23813","auto"
