"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","recordNumber","continentOcean","order","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum"
"1","2020-12-04 13:19:14-03","UDESC","LUSC","537","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Neubert, E.E.","Neubert, E.E.","1996","12","12","Brasil","Rio Grande do Sul","São José dos Ausentes","500m após o rio do Marco em direção ao Hotel Fazenda.","-50.0657997131348","-28.7483005523682","42598","LUSC003549","LUSC003549","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:26:49-03","MBM","MBM","1761","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Neubert, E.E.","Hatschbach, G.","1966","12","13","Brazil","Paraná","Palmas","Santo Agostinho","-51.9906005859375","-26.4841995239258","46666","MBM001761","MBM001761","auto","15408","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-07-17 06:52:00-03","MO","MOBOT","2340896","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Izaguirre de Artuccio, P.","Arturo E. Burkart","1931","12","4","Argentina","Buenos Aires",NA,"Delta del Paraná, Canal La Serna",NA,NA,NA,NA,NA,NA,"Burkart 4024","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","2515070","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Izaguirre de Artuccio, P.","R. Brescia",NA,NA,NA,"Uruguay","Cerro Largo",NA,NA,NA,NA,NA,NA,NA,NA,"Brescia 16330","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-08-20 14:56:04-03","UFSC","FLOR","51265","PreservedSpecimen","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Trevisan, R.; et alii","Trevisan, R.","2013","12","07","Brasil","Santa Catarina","Urubici","Parque Nacional (PARNA) São Joaquim.","-49.628889","-28.14",NA,"FLOR0051265",NA,NA,"1380",NA,"Fabales","2013","12","18","49º37'44''W","28º8'24''S","1299","1299","Flores roxas.",NA
"6","2021-02-08 12:41:56-03","UFRGS","ICN","138553","S","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Neubert, EE","Neubert, EE","1996","12","12","Brasil","RS","São José dos Ausentes","500m após o rio do Marco em direção ao Hotel Fazenda","-50.0657997131348","-28.7483005523682","42598","ICN00023251","ICN00023251","auto","165","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Espécie ameaçada de extinção (Criticamente em perigo).","Dicotyledon"
"7","2021-02-08 12:41:56-03","UFRGS","ICN","015516","S","Plantae","Fabaceae","Lathyrus","parodii","Lathyrus parodii","Burkart","Neubert, EE","Dutra, J","1937","01","08","Brasil","RS","Bom Jesus","Fazenda Caraúna","-50.4166984558105","-28.6678009033203","55856","ICN00023250","ICN00023250 ICN00023250_1 ICN00023250_2","auto","1516","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Espécie ameaçada de extinção (Criticamente em perigo).; Entre o capim alto de um banhado.","Dicotyledon"
