"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount","sex"
"1","2020-09-23 10:40:18-03","E","E","66322","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","Killeen, T.J. & Cox, G.","7141","1994","11","19","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:87053","<a href=http://data.rbge.org.uk/herb/E00066322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00066322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00918036","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","E. P. Heringer","16868","1978","03","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918036","Magnoliophyta","Laurales","Nees","R. Callejas Posada","Distrito Federal","Brasília","-47.9294","-15.7797","NY00918036_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00918041","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","J. M. Pires","58062","1964","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918041","Magnoliophyta","Laurales","Nees","R. C. Barneby; C. K. Allen","Distrito Federal","Brasília","-47.9294","-15.7797","NY00918041_01","Brasília, Córrego Vicente Pires. Saida Sul.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00918029","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","G. G. Hatschbach","63420","1995","10","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918029","Magnoliophyta","Laurales","Nees","H. H. van der Werff","Mato Grosso do Sul","Aquidauana","-55.7869","-20.4711","NY00918029_01","Estrada Ecológica, Serra Maracaju.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01172184","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","C. A. Cid Ferreira","8474","1986","11","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1304944' target='other'> <mi>dwc_moreinfo</mi></a>","NY01172184","Magnoliophyta","Laurales","Nees","H. H. van der Werff","Amazonas","Tonantins","-68.1439233","-2.7150365","NY01172184_01","Rio Tonantins, afluente da margem esquerda do rio Solimões, atrás do lugar Uitinga-Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00918049","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","P. Clausen","212","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918049","Magnoliophyta","Laurales","Nees","J. G. Rohwer","Minas Gerais",NA,NA,NA,"NY00918049_01","Brésil (Minas Geraes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00918048","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","P. Clausen","33",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918048","Magnoliophyta","Laurales","Nees","R. C. Barneby; C. K. Allen","Minas Gerais",NA,NA,NA,"NY00918048_01","Brésil (Minas Geraes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00918033","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","E. P. Heringer","4927","1980","05","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918033","Magnoliophyta","Laurales","Nees","R. Callejas Posada","Distrito Federal","Brasília","-47.9294","-15.7797","NY00918033_01","Bacia do Rio São Bartolomeu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00918031","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","H. S. Irwin","17915","1966","06","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918031","Magnoliophyta","Laurales","Nees","R. C. Barneby; C. K. Allen","Goiás","Caiapônia","-51.77","-17.28","NY00918031_01","Ca. 45 km. S. of Caiapônia, road to Jataí. Serra do Caiapó.","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","459981","PreservedSpecimen","Plantae","Lauraceae","Nectandra","cissiflora","Nectandra cissiflora","A. F. M. Glaziou","22047","1896",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=49827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459981","Magnoliophyta","Laurales","Nees","R. C. Barneby; C. K. Allen","Goiás",NA,NA,NA,"NY00459981_01","Brasil, chiefly province of Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
