"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","infraspecificEpithet","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber","eventTime"
"1","2021-04-05 14:25:57-03","UNESC","CRI","9638","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","A. Stival-Santos","2009","05","27","A. Stival-Santos; J. Schmitt & S. Silveira","710","2009","05","27","Brasil","Santa Catarina","Anchieta","Linha Prateleira.","-53.413611","-26.547778","53º24'49''W","26º32'52''S","524","524","Floresta Estacional Decidual Habito: árvore","CRI004940","CRI004940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:57-03","UNESC","CRI","9709","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","A. Stival-Santos",NA,NA,NA,"A. Stival-Santos; H.F. Uller & Simone Silveira","283","2008","12","15","Brasil","Santa Catarina","Celso Ramos","Linha Fabris.","-51.336667","-27.635","51º20'12''W","27º38'6''S","749","749","Floresta Estacional Decidual Habitat: interior da mata","CRI004938","CRI004938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:57-03","UNESC","CRI","7904","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Vanilde Citadini- Zanette","2008","04","29","Jean Gabriel Cemin",NA,"2008","04","28","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,NA,NA,"CRI004935","CRI004935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","8497","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","S. Dreveck","2008","12","12","S. Dreveck; F. E. Carneiro","477","2008","12","12","Brasil","Santa Catarina","Seara",NA,"-52.310278","-27.152778","52º18'37''W","27º9'10''S",NA,NA,NA,"CRI004941","CRI004941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:57-03","UNESC","CRI","4950","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Vanilde Citadini- Zanette","1996","05","08","V. Citadini-Zanette; Galvani & Goulart.","2172","1996","05","08","Brasil","Santa Catarina","Imbituba","Praia do Rosa.","-48.670556","-28.240556","48º40'14''W","28º14'26''S",NA,NA,NA,"CRI004936","CRI004936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:57-03","UNESC","CRI","1258","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Vanilde Citadini-Zanette","1992","07","31","Vanilde Citadini-Zanette; R.B. Negrelle","1502","1992","07","31","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.670556","-26.071667","48º40'14''W","26º4'18''S",NA,NA,NA,"CRI005049","CRI005049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:57-03","UNESC","CRI","10195","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","J. Cordeiro",NA,NA,NA,"M. G. Caxambu","1525","2007","06","29","Brasil","Paraná","Campo Mourão","Parque Estadual Lago Azul (PELA).","-52.32175","-24.103733","52º19'305''W","24º6'224''S","605","605","Habito: árvore","CRI004937","CRI004937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:57-03","UNESC","CRI","6342","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","J. Silvano",NA,NA,NA,"Jacira Silvano; R. dos Santos",NA,"1998","10","16","Brasil","Santa Catarina","Criciúma","B. Mina União.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"Habito: arbórea","CRI004867","CRI004867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:03-03","UNESC","CRI","5483","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Vanilde Citadini-Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; V. Boff","2417","1997","05","03","Brasil","Santa Catarina","Araranguá",NA,"-49.492222","-28.936111","49º29'32''W","28º56'10''S","4","4",NA,"CRI005047","CRI005047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:57-03","UNESC","CRI","9606","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","A. Stival-Santos","2010","01","27","A. Stival-Santos; E. Legal & S. Silveira","1526","2010","01","27","Brasil","Santa Catarina","Angelina","Coqueiral.","-49.049722","-27.54","49º2'59''W","27º32'24''S","835","835","Ecótono Floresta Ombrófila Densa e Floresta Ombrófila Mista Habitat: interior do fragmento Habito: arvoreta","CRI008717","CRI008717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:25:57-03","UNESC","CRI","1420","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Maria Rosalita F. dos Santos","1992","10","06","Maria Rosalita F. dos Santos",NA,"1992","10","06","Brasil","Santa Catarina","Criciúma","Paço Municipal","-49.373333","-28.6725","49º22'24''W","28º40'21''S","40","40",NA,"CRI005048","CRI005048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 15:16:32-03","UNESC","CRI","6006","PreservedSpecimen","Plantae","Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Vanilde Citadini-Zanette","1997","07","25","Vanilde Citadini-Zanette; C. M. Martinello & R. Santos",NA,"1993","05","18","Brasil","Santa Catarina","Orleans","Rio Novo","-49.285278","-28.368333","49º17'7''W","28º22'6''S","280","280","Habito: Arbóreo","CRI005050","CRI005050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
