"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:18-03","E","E","259499","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina","possible type","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:271130","<a href=http://data.rbge.org.uk/herb/E00259499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259543","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","jacobinae","Oreodaphne jacobinae","unspecified kind of","Blanchet, Jacques Samuel","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:271767","<a href=http://data.rbge.org.uk/herb/E00259543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259543","2554","Bahia","Serra Jacobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04073067","PreservedSpecimen","Plantae","Lauraceae","Ocotea","blanchetii","Ocotea blanchetii",NA,"D. Piotto","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671118' target='other'> <mi>dwc_moreinfo</mi></a>","NY04073067","1634","Bahia","Parque Est. Serra do Conduru","Magnoliophyta","Laurales","(Meisn.) Mez","D. Piotto","2010","06","10","Uruçuca","-39.08","-14.42","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 21:41:00-03","NY","NYBG","00918173","PreservedSpecimen","Plantae","Lauraceae","Ocotea","blanchetii","Ocotea blanchetii",NA,"J. E. B. Warming","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918173","s.n.","Minas Gerais","Brasilia. Ad Lagoa Santa","Magnoliophyta","Laurales",NA,"C. C. Mez",NA,NA,NA,"Lagoa Santa","-43.8894","-19.6272",NA,NA,"NY00918173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00918172","PreservedSpecimen","Plantae","Lauraceae","Ocotea","blanchetii","Ocotea blanchetii",NA,"Z. A. Trinta","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918172","819","Minas Gerais","caminho do Aeroporto","Magnoliophyta","Laurales","(Meisn.) Mez",NA,"1964","04","20","Pedra Azul","-41.241281","-16.052938",NA,NA,"NY00918172_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:41:00-03","NY","NYBG","00918174","PreservedSpecimen","Plantae","Lauraceae","Ocotea","blanchetii","Ocotea blanchetii",NA,"L. O. Williams","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918174","7152","Minas Gerais","Pico de Belo Horizonte","Magnoliophyta","Laurales",NA,"C. K. Allen","1945","06","06","Nova Lima","-43.8467","-19.9858","1300","1300","NY00918174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281386","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"P. L. Rodrigues de Moraes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1693783' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281386","2637","Bahia",NA,"Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","P. L. Rodrigues de Moraes","2009","07","09","Morro do Chapéu","-40.8617","-11.6708","965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1146378","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"D. B. O. S. Cardoso","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1337173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146378","1290","Bahia","ARIE Serra do Orobó, Fazenda Monte Verde.","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","D. B. O. S. Cardoso","2006","04","23","Itaberaba","-40.5406","-12.42","638","638","NY01146378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","539614","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"A. M. V. de Carvalho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539614","3037","Bahia","Ca. 8 km na estrada Andarai/Mucuge","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","H. H. van der Werff","1990","04","14","Andaraí","-41.33","-12.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","469378","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"S. A. Mori","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469378","10033","Bahia","Fazenda Juramento, a 6 km ao S de Maracás, pela antiga rodovia para Jequié","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","J. G. Rohwer","1978","04","27","Maracás","-40.4306","-13.4411","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
