"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","eventTime","fieldNumber","individualCount","previousCatalogNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","656488","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","L. de F. de Carvalho","R. Reitz","4938","1952","12","19","South America","Brazil","Santa Catarina","Palhoça","Campo Massiambú.","-48.62515","-27.834087","5","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656488","NY00656488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","656487","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","L. de F. de Carvalho","P. K. H. Dusén","10883","1910","11","29","South America","Brazil","Paraná",NA,"Desvio Ribas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656487","NY00656487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","911250","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","D. Philcox","H. S. Irwin","22543","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911250","NY00911250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","911248","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","J. R. Stehmann","J. R. Stehmann","2241","1997","04","19","South America","Brazil","Minas Gerais",NA,"Santa Bárbara, Serra do Caraça",NA,NA,"1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911248","NY00911248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","911249","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","V. C. Souza","J. R. Pirani","CFSC6905","1981","01","10","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, km 123 ao longo da Rodovia Belo Horizonte-Conceição do Mato Dentro MG-010.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911249","NY00911249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","656486","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","L. de F. de Carvalho","G. G. Hatschbach","15963","1967","02","03","South America","Brazil","Paraná","Curitiba","Rio Iguaçu.","-49.2731","-25.4281",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=463686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656486","NY00656486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","911247","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.","V. C. Souza","J. R. Pirani","CFSC6905","1981","01","10","South America","Brazil","Minas Gerais","Santana do Riacho","Km 123 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00911247","NY00911247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","40397","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.",NA,"Dusén, P.","2433","1903","12","12","Southern America","Brazil","Paraná",NA,"Ponta Grossa",NA,NA,NA,NA,NA,"In uliginosis.","BM000994923",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:35:43-03","NBC","NL-BOTANY","U.1740574","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.",NA,"Pereira BAS",NA,"1982","03","23","Southern America","Brazil",NA,NA,"Distrito Faleral, Lago do Paranoa, confluencia do corrego Mata Gado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1740574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1740574","NL-U1740574","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:35:43-03","NBC","NL-BOTANY","U.1740573","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Schwenckia","curviflora","Schwenckia curviflora","Benth.",NA,"Widgren JF",NA,"1845","01","01","Southern America","Brazil",NA,NA,"Prov. Minas Geraes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1740573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1740573","NL-U1740573","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
