"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","eventTime","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","01096173","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","A. C. Filho","2343","1984","03","29","South America","Brazil","São Paulo","Salesópolis","Biritiba Mirim; Estaçao Biológica de Boracéia","-45.875","-23.642","890","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233745' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096173","NY01096173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:18-03","EAO","IAN","91677","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Pires, JM; Black, GA","6273","1956","12","15","Southern America","Brasil","Pará","Serra do Cachimbo",NA,NA,NA,"425","425",NA,"Arbusto de 1,5m de altura; em igapó de mata.","IAN091677",NA,"Silva, NT da",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:47:18-03","EAO","IAN","135759","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Pires, JM; Silva, NT da","9510","1963","04","30","Southern America","Brasil","Distrito Federal","Brasília","Fundação Zoobotânica, mata ciliar.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Árvore de 4m x 7cm de diâmetro; flores creme-esverdeadas, recoberta por um endumento denso farinaceo-glanduloso, detergente. Pétalas miúdas, estames presos nos lobos sésseis; ovário unilocular, uniovulado.","IAN135759",NA,"Cordeiro, MR","1977","09","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:47:18-03","EAO","IAN","154367","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Pires, JM; Silva, NT da","9510","1963","04","30","Southern America","Brasil","Distrito Federal","Brasília","Fundação Zoobotânica, mata ciliar.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Árvore de 4m x 7cm de diâmetro; flores creme-esverdeadas, recoberta por um endumento denso farinaceo-glanduloso, detergente. Pétalas miúdas, estames presos nos lobos sésseis; ovário unilocular, uniovulado.","IAN154367",NA,"Cordeiro, MR","1977","09","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:47:18-03","EAO","IAN","14628","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Magalhães, MG","3167","1942","07","26","Southern America","Brasil","Minas Gerais","Belo Horizonte","Brejo, Engenho Nogueira.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Arbusto de 2m de altura; flores amareladas, muito frequente.","IAN014628","IAN014628 IAN014628_e",NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:47:18-03","EAO","IAN","102434","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Magalhães, MG","166","1940","06","04","Southern America","Brasil","Minas Gerais","Monte Carmelo","Capão de mato em brejo. Fazenda Quintino.","-47.4986000061035","-18.7247009277344",NA,NA,NA,"Árvore de 4-5m de altura.","IAN102434",NA,NA,NA,NA,"36771","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:03:46-03","NBC","NL-BOTANY","L.2645441","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Unknown",NA,"1875","01","01","Southern America","Brazil",NA,NA,"!",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2645441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2645441","NL-L2645441",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:17:50-03","ESALQ","ESA","107614","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura",NA,"Proença, C.","2576.0","2002","03","17",NA,"Brasil","Goiás","Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,NA,"ESA107614","ESA107614","Proença, C.","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:17:50-03","ESALQ","ESA","20789","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Maestro, A.L. Silveira, A.M.","57.0","1994","10","10",NA,"Brasil","São Paulo","Paulo de Faria",NA,"-49.3800010681152","-20.0300006866455",NA,NA,NA,NA,"ESA020789","ESA020789","Jung-Mendaçolli, S.L.",NA,NA,"29574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:55:35-03","JBP","HPL","2002","S","Plantae",NA,NA,"Myrsinaceae","Rapanea","leuconeura","Rapanea leuconeura","Mez.","R. Tsuji , L.C. Bernacci & E. Franco","623","2004","11","18",NA,"Brasil","MS","Capela","Em beira de estrada de terra em cerradão","-52.979278","-18.563125","804","804",NA,NA,NA,NA,"L.C. Bernacci","2004","11",NA,NA,NA,"18","52° 58' 45,4 W","18° 33' 47,25 S",NA,NA,NA,NA,NA
