"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:39:56-03","E","E","283757","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum","Hatschbach, Gert Gunther","34336","1974","04","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:295070","<a href=http://data.rbge.org.uk/herb/E00283757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00283757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:56-03","E","E","287573","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum","Silva, J.M.","1430","1995","02","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:299605","<a href=http://data.rbge.org.uk/herb/E00287573 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476965","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","meridionale","Hypericum meridionale","G. Tessmann","s.n.","1948","04","06","South America","Brazil","sheet",NA,"Remessa 17; Número 14 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476965","Magnoliophyta","Malpighiales","L.B.Sm.","L. B. Smith","Paraná","Alto da Serra do mar (Corvo) Pr. Br.","NY00476965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476964","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","meridionale","Hypericum meridionale","A. Mattos","s.n.","1955","03","05","South America","Brazil","sheet",NA,"Remessa 17; Número 12 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476964","Magnoliophyta","Malpighiales","L.B.Sm.","L. B. Smith","Paraná","Pr. Br.","NY00476964_01","Piraquara","-49.0631","-25.4419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476966","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","meridionale","Hypericum meridionale","G. G. Hatschbach","Ha.13796","1966","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476966","Magnoliophyta","Malpighiales","L.B.Sm.",NA,"Paraná","Sao Mateus do Sul","NY00476966_01","Sao Mateus do Sul","-50.3828","-25.8744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","476938","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum meridionale","A. Mattos","s.n.","1940","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476938","Magnoliophyta","Malpighiales","L.B.Sm.","N. K. B. Robson","São Paulo","Três Barras","NY00476938_01","Barretos","-48.56","-20.55","meridionale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","476937","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum meridionale","A. Mattos","s.n.","1951","04","18","South America","Brazil","sheet",NA,"Remessa 17; Número 9 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476937","Magnoliophyta","Malpighiales","L.B.Sm.","N. K. B. Robson","Paraná","Lapa Pr. Br","NY00476937_01","Lapa","-49.7156","-25.7697","meridionale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00476930","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum","H. S. Irwin","29373","1971","01","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476930","Magnoliophyta","Malpighiales","A.St.-Hil.","B. Maguire","Minas Gerais","Serra do Espinhaço; lower slopes of Pico de Itacoomí, ca. 2 km south of Ouro Preto","NY00476930_01",NA,NA,NA,NA,"1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","476945","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum sellowianum","L. B. Smith","11002","1957","02","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476945","Magnoliophyta","Malpighiales","(R.Keller) N.Robson","N. K. B. Robson","Santa Catarina","Pinheiral, northeast of Caçador, from turn off 17 km","NY00476945_01","Caçador","-51.0147","-26.7756","sellowianum","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476936","PreservedSpecimen","Plantae","Hypericaceae","Hypericum","rigidum","Hypericum rigidum","R. Kummrow","2206","1983","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476936","Magnoliophyta","Malpighiales","A.St.-Hil.","N. K. B. Robson","Paraná","Ferraria","NY00476936_01","Campo Largo","-49.5281","-25.4586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
