"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","locality","phylum","class","order","continentOcean","coordinatePrecision","geoFlag"
"1","2019-01-25 15:43:48-02","IAC","IAC","2622","S","Plantae","Oxalidaceae","Oxalis","laureola","Oxalis laureola","Progel","A. Gehrt","1939","09","30","J.E. Roumbouts","s/nº","1938","07","19","Brasil","Rio Grande do Sul","Getúlio Vargas","-52.2333","-27.9167","-52.2333","-27.9167","nome popular: azedinha-do-mato",NA,NA,NA,NA,NA,NA,NA
"2","2019-01-25 15:43:48-02","IAC","IAC","3913","S","Plantae","Oxalidaceae","Oxalis","laureola","Oxalis laureola","Progel","A.S. Lima","1940","02","23","A.P. Viégas & J. Kiehl","s/nº","1939","03","28","Brasil","São Paulo","Campinas","-47.0608","-22.9056","-47.0608","-22.9056","nome popular: azedinha-do-mato","Estação Joaquim Egídio",NA,NA,NA,NA,NA,NA
"3","2021-03-04 15:43:35-03","IF","SPSF","00700","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","laureola","Oxalis laureola",NA,NA,NA,NA,NA,"F.Glassauer",NA,"1944","11","01","Brasil","SP","Sao Jose do Rio Pardo","-46.8800010681152","-21.5900001525879",NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"Magnoliophyta","Magnoliopsida","Geraniales","América do Sul","15885","auto"
"4","2021-03-04 15:43:35-03","IF","SPSF","08813","PreservedSpecimen","Plantae","Oxalidaceae","Oxalis","laureola","Oxalis laureola",NA,NA,NA,NA,NA,"O.T. Aguiar & J.A.Pastore",NA,"1984","11","27","Brasil","SP","Teodoro Sampaio","-52.1599998474121","-22.5300006866455",NA,NA,"COLETA: XLS: SPSFAntigo;","P.E.Morro do Diabo","Magnoliophyta","Magnoliopsida","Geraniales","América do Sul","54606","auto"
