"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","locality","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","year","month","day","continentOcean","individualCount","phylum","class","order","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified"
"1","2019-11-06 09:56:21-03","UFOP","OUPR","5796","PreservedSpecimen","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham. & Schltdl.","Damazio, L.B.","Damazio, L.B.","s.n.","Brasil","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:56:21-03","UFOP","OUPR","5797","PreservedSpecimen","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham. & Schltdl.","Magalhães-Gomes, C.T.","s.col.","s.n.","Brasil","Minas Gerais","Capanema","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-01 15:08:16-03","MNHN","RECOLNAT_MNHN_P","P00066707","PreservedSpecimen",NA,"Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.","Martins","Sellow, F.",NA,"Brésil",NA,"s.l.",NA,NA,NA,NA,NA,"lectotype","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00066707' target='other'> <mi>dwc_moreinfo</mi></a>","P00066707","P00066707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-09-05 14:31:00-03","MNHN","RECOLNAT_MNHN_P","P02441096","PreservedSpecimen",NA,"Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.",NA,"Sellow, F.",NA,"Brésil",NA,"s.l.",NA,NA,NA,NA,NA,"isolectotype","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441096' target='other'> <mi>dwc_moreinfo</mi></a>","P02441096","P02441096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287802","PreservedSpecimen",NA,"Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.",NA,"Schwacke",NA,"Brasil",NA,"Serra de Capanema.",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287802' target='other'> <mi>dwc_moreinfo</mi></a>","P05287802","P05287802_01","9439","1893","9","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-04 20:36:58-03","MNHN","RECOLNAT_MNHN_P","P05287803","PreservedSpecimen",NA,"Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.",NA,"Glaziou, A.",NA,"Brasil","Minas Gerais","Perpetua, prés Diamantina.",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05287803' target='other'> <mi>dwc_moreinfo</mi></a>","P05287803","P05287803_01",NA,"1892","4","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-10-19 12:39:00-03","MO","MOBOT","101229330","PreservedSpecimen","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.","fide Rocha et al.","F. Sellow","Sellow s.n.","Brazil",NA,"without locality",NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-07 09:34:13-03","UEFS","HUEFS","116903","PreservedSpecimen","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham.","D.Nunes","Santos, A.K.A.","1061","Brasil","Minas Gerais","Trilha para o Mirante, próximo ao riacho.","Serra do Caraça","-43.501667","-20.103889",NA,NA,NA,NA,"Solo arenoso e úmido com muitas gramíneas e musgos.","HUEFS0116903","HUEFS0116903 HUEFS0116903_e1",NA,"2007","02","12",NA,NA,"Angiospermae","Rosanae","Myrtales","2018","02","43W30'6''","20S6'14''","1310","1310",NA
"9","2019-09-04 18:28:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia",NA,NA,"F. Sellow",NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"Spermatophyta","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-05-06 11:59:18-03","UFU","HUFU","72971","S","Plantae","Melastomataceae","Fritzschia","integrifolia","Fritzschia integrifolia","Cham. & Schltdl.","Romero, R.","Castro, M.; Nakajima, J.N. & Versiane, A.F.A.","287","Brasil","Minas Gerais","RPPN Santuário do Caraça, Trilha subida para o Pico do Sol","Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,"Subarbusto ca. 0,2m de alt. Hipanto vinho, corola roxa e anteras roxas.; Campo Rupestre","HUFU00070114",NA,NA,"2016","10","20",NA,NA,NA,NA,NA,"2016","12",NA,NA,NA,NA,"02"
