"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00956757","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","Y. E. J. Mexia","5474","1930","01","02","South America","Brazil","Minas Gerais","Districto Rio Branco. Fazenda do Bom Jardim; Pedera.","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956757","NY00956757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00592401","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","L. Riedel","2790","1834","11",NA,"South America","Brazil","Minas Gerais","St. Luzia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592401","NY00592401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","592400","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","I. Mimura","1231","1962","01","30","South America","Brazil","São Paulo","Ca. 8,0 lm SW em linha reta da praça principal de Sao José dos Campos",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592400","NY00592400_01","Sao José dos Campos","-45.88","-23.1703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","592399","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","J. Lima dos Santos","325","1935","11","19","South America","Brazil","Rio de Janeiro","Sta Magdalena. Serra da Fumaça",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592399","NY00592399_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956756","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","H. S. Irwin","2062","1958","11","10","South America","Brazil","Minas Gerais","State Agricultural School, Viçosa",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956756","NY00956756_01","Viçosa","-42.868031","-20.7613428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00592402","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H. N. Moldenke","Y. E. J. Mexia","5251","1930","11","04","South America","Brazil","Minas Gerais","Distrito Rio Branco. Fazenda Bom Jardim. Cambusca","720","720","sheet","Photo <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592402","NY00592402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2072126","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"A. Löfgren","100",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02072126","NY02072126_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:18:01-03","UFV","VIC","004599","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke.",NA,"Irwin, H.S.","2062","1958","10","10",NA,"Brasil","Minas Gerais","ESAV",NA,NA,NA,"Tree to 8 m, in secondary forest, red clay soil, Co pale lavendar, common.","VIC004599","VIC004599","Viçosa","-42.8819007873535","-20.7539005279541","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-27 18:05:05-03","UFES","VIES","38155","S","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","Moura, R.","Julkoski, D.","380","2014","11","19",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,"VIES038155","VIES038155","Itarana","-40.875301361084","-19.8738994598389","23320","auto","2015","11","25",NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:30:40-03","MBM","MBM","410237","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Silva, W. da","2","2002","03","19","Southern America","Brazil","Rio de Janeiro","Estrada Barrelão-Reunião.",NA,NA,NA,"Árvore bifurcada, ca. 12 m de altura; madeira escura, casca lisa e escura; folhas concolores cartáceas; frutos imaturos verdes e maduros nigrescentes.","MBM410237","MBM410237","Nova Iguaçu","-43.451099395752","-22.7591991424561","25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:47:22-03","MBM","MBM","228485","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Marquete, R.","1388","1993","12","08","Southern America","Brazil","Rio de Janeiro","Laranjeiras, Cachoeira das Pedras",NA,NA,NA,NA,"MBM228485","MBM228485","Parati","-44.7131004333496","-23.2178001403809","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2013-05-07 06:03:00-03","MO","MOBOT","2271392","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H.N. Moldenke","Ynés Mexia","Mexia 5251","1930","11","4","South America","Brazil","Minas Gerais","Districto Rio Branco. Fazenda Bom Jardim. Cambusca. In open cut-over woods.","720.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA
"13","2013-05-07 06:03:00-03","MO","MOBOT","2901981","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Ynés Mexia","Mexia 5474","1931","1","2","South America","Brazil","Minas Gerais","Districto Rio Branco. Fazenda de Bom Jardim; Pedera; overgrown slope.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","USw15189","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"H. S. Irwin","2062",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
