"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00896377","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","S. de Castro Boechat; H. M. Longhi-Wagner","H. S. Irwin","8041","1965","09","07","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km NE of Brasília","-47.75172","-15.62355","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896377","NY00896377_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:29:10-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus",NA,"Longhi-Wagner, HM; S. de Castro Boechat","Fróes, RL","23625","1948","02","06","Southern America","Brasil","Acre","Rio Branco","Caracarahy","-67.8099975585938","-9.9747200012207",NA,NA,NA,NA,"ALCB017921","ALCB017921","1992","07","178770","auto",NA,NA,NA,NA
"3","2019-02-15 11:48:28-02","IPA","IPA","47743","S","Plantae","Plantae",NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","Costa; Silva, M.B.","Secco, R.; Sperling, C.; Condon, M.; Ribeiro, B.G.; Mesquita, A.; Marinho, L.; Sperling, C.; Condon, M.; Ribeiro, B.G.; Mesquita, A.; Marinho, L.","218","1982","05","17","Southern America","Brasil","Pará","Marabá","Serra Norte, arredores para N l.","-49.1178016662598","-5.36860990524292",NA,NA,NA,"Erva, botões verdes. Transição de campo natural para vegetação de canga.","IPA0047743",NA,"2002","04","262883","auto",NA,NA,NA,NA
"4","2021-03-16 17:54:43-03","UCS","HUCS","47966","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longui-Wagner","Longui-Wagner","Brochado, A.L.","90","1990","10","22",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica IBGE, Cristo Redentor","-47.9296989440918","-15.7797002792358",NA,NA,NA,"ICN 098589; Brejo próximo o córrego Taquara Herbácea, 25 cm , ereta",NA,NA,"1992","07","70570","auto","30",NA,NA,NA
"5","2008-05-27 22:02:00-03","MO","MOBOT","2987120","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","Sonja de Castro Boechat","Howard S. Irwin","Irwin 8041","1965","9","7","South America","Brazil","Distrito Federal",NA,"Chapada da Contagem, ca. 25 km. N.E. of Brasília. Recently burned-over campo.",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-02 16:37:51-03","Cenargen","CEN","85911","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","J. F. M. Valls","Cássia Beatriz Rodrigues Munhoz","8022",NA,NA,NA,NA,"Brasil","GO","CAVALCANTE","Reserva Particular do Patrimônio Natural Serra do Tom","-47.801111","-13.666944",NA,NA,"Exsicatas","Doação do Herbário UB.","CEN00085911","CEN00085911","2016","02",NA,NA,NA,"-47.801111","-13.666944","1"
"7","2019-01-25 15:44:56-02","IAC","IAC","20970","S","Plantae",NA,NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","H.M. Longhi-Wagner","H.F. Leitão Filho","803","1969","05","20",NA,"Brasil","São Paulo","Itu",NA,"-47.2992","-23.2642",NA,NA,NA,NA,NA,NA,"1996","06",NA,NA,"14","-47.2992","-23.2642",NA
"8","2021-02-08 12:54:32-03","UFRGS","ICN","098589","S","Plantae","Monocotyledon",NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","Longhi-Wagner, HM; Boechat, SC","Brochado, AL; Filgueiras, TS","90","1990","10","22","América do Sul","Brasil","DF","Brasília","Reserva Ecológica IBGE, Cristo Redentor","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Herbácea, 25cm, ereta; Brejo próximo ao córrego Taquara",NA,NA,"1992","07","70570","auto","30",NA,NA,NA
"9","2019-11-21 10:16:58-03","IBt","SP","326952","S","Plantae",NA,NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","Filgueiras, TS","Oliveira, FCA; et al.","852","1997","08","14",NA,"Brasil","Goiás","Niquelândia","Fazenda Engenho, ca. 11 km de Niquelândia/Dois Irmãos. Cabeceira do rio Traíras.","-48.423611","-14.674444","680","680",NA,NA,"SP038562","SP038562","1997","08",NA,NA,NA,"-48.423611","-14.674444",NA
"10","2019-11-21 10:16:58-03","IBt","SP","328380","S","Plantae",NA,NA,"Poaceae","Sporobolus","apiculatus","Sporobolus apiculatus","Boechat & Longhi-Wagner","Shirasuna, RT","Aparecida da Silva, M; et al.","3687","1997","12","03",NA,"Brasil","Minas Gerais","Formoso","Parque Nacional Grande Sertão Veredas, Fazenda Mato Grande, próximo à comunidade de Passaginha.","-46.02","-15.316389","855","855",NA,NA,"SP038561","SP038561","2002","10",NA,NA,NA,"-46.02","-15.316389",NA
