"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2016-10-21 18:28:00-02","NY","NYBG","247044","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","magnifica","Billbergia magnifica","type","E. Hassler","8220","1901","12","South America","Paraguay","In regione cursus superioris fluminis Apa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=538067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00247044","NY00247044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","8445","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Hassler, E","8220",NA,NA,NA,"Paraguai",NA,NA,NA,"IAN008445","IAN008445_f","Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:13-03","IAP","PACA-AGP","51158","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Hatschbach, G.","1610","1949","10",NA,"Brasil",NA,NA,"Bracteas rosadas. Botões verdes (pétalas), ápice anilado. Sépalas alvecentes. Androceu e gineceu anilado. Habitat: in silva primaeva ad arbores Fenofase: flor Hábito: epífita Ecossistema: MATA","PACA051158",NA,"Mez.","Liliatae","L. B. Smith","1954","05","17","16","PR","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA
"4","2021-03-16 17:54:13-03","UCS","HUCS","26539","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Silva, J.M.","4160","2004","10",NA,"Brasil","Pacas",NA,"Brácteas rosadas; Espífita, Floresta Atlântica",NA,NA,"Mez",NA,"Gaioto, D.","2004",NA,NA,"26","Paraná","Tunas do Paraná","-49.0858001708984","-24.9743995666504","41885","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:19:20-03","MBM","MBM","59895","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Hatschbach, G.","40362","1977","10","Southern America","Brazil","Caetê",NA,"Epífita.","MBM059895","MBM059895","Mez",NA,"Hatschbach, G.",NA,NA,NA,"06","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","auto",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:19:20-03","MBM","MBM","16278","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Hatschbach, G.","24518","1970","07","Southern America","Brazil","Rio Piedade",NA,"Epífita.","MBM016278","MBM016278","Mez",NA,"Hatschbach, G.",NA,NA,NA,"22","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","auto",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:19:20-03","MBM","MBM","34027","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Hatschbach, G.","1610","1949","10","Southern America","Brazil","Bocaiúva do Sul",NA,"Epífita.","MBM034027","MBM034027","Mez",NA,"Smith, L.B.",NA,NA,NA,"16","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672","61623","auto",NA,NA,NA,NA,NA,NA
"8","2009-08-07 05:41:00-03","MO","MOBOT","2491972","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica",NA,"Émile Hassler","Hassler 8220","1901",NA,"South America","Paraguay","Río Apa",NA,NA,NA,NA,"Mez",NA,"Carl Mez",NA,NA,NA,NA,"Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-08-07 05:41:00-03","MO","MOBOT","2491960","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica acutisepala",NA,"Émile Hassler","Hassler 10726",NA,NA,"South America","Paraguay","Esperanza",NA,NA,NA,NA,"Hassl.",NA,NA,NA,NA,NA,NA,"Amambay",NA,NA,NA,NA,NA,"acutisepala",NA,NA,NA,NA,NA
"10","2009-08-07 05:41:00-03","MO","MOBOT","2491960","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Billbergia","magnifica","Billbergia magnifica acutisepala",NA,"Émile Hassler","Hassler 10726",NA,NA,"South America","Paraguay","Esperanza",NA,NA,NA,NA,"Hassl.",NA,NA,NA,NA,NA,NA,"Amambay",NA,NA,NA,NA,NA,"acutisepala",NA,NA,NA,NA,NA
