"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","dayIdentified","locality","decimalLongitude","decimalLatitude","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","order","preparationType","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","21520","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz","Amaral Jr., A.","1997","07","Martinelli, G.","9838","1984","03","28","Brasil","São Paulo","Bananal","9999","9999","Arbusto 2 m de altura, semi-heliófita, folha discolor, frutos maduros castanho nigrescentes quando imaturos de cor vermelha","BOTU021520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","20702","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz","Amaral Jr., A.","1996","12","Souza, V.C.","8385","1995","03","12","Brasil","Minas Gerais","Santo Antonio do Itambé","9999","9999","Arbusto com ramos prostrados, ca 1 m de altura, flores creme, frutos vermelhos","BOTU020702","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","26736","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz",NA,NA,NA,"Valente, G.E.","529","2000","05","22","Brasil","Minas Gerais","Caraça","9999","9999","Arbusto com ca. De 1,30 m de altura, flor pequenininha de cor branca e fruto imaturo de cor verde","BOTU026736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","19785","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz","Amaral Jr., A.","1995",NA,"Andrade, I.R.","51","1986","12","12","Brasil","Minas Gerais","Caraça","9999","9999","Arbusto 2 m de altura","BOTU019785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31960","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E.Schulz","Taguchi, L.E.","2016","09","Campos, C.J.",NA,"1976","10","15","Brasil","São Paulo","Botucatu","9999","9999",NA,"BOTU031960","20","Rubião Junior.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","19763","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz","Amaral Jr., A.","1995","09","Siqueira, J.","1633","1985","04","15","Brasil","Minas Gerais","Caeté","9999","9999","Arbustivo 1,5 m de altura","BOTU019763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","20647","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz",NA,NA,NA,"Mendonça, J.O.","46","1996","10","11","Brasil","São Paulo","Ubatuba","9999","9999","Arbusto de 1 m de altura","BOTU020647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","19795","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz","Amaral Jr., A.","1995",NA,"Lucca, M.","37","1993","01","05","Brasil","Minas Gerais","Santana do Riacho","9999","9999",NA,"BOTU019795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","19794","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz",NA,NA,NA,"Andrade, P.M.","925","1987","04","08","Brasil","Minas Gerais","Lima Duarte","9999","9999","Frutos vermelhos","BOTU019794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","20470","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","gonocladum","Erythroxylum gonocladum","(Mart.) O.E. Schulz",NA,NA,NA,"Amaral Jr., A.","150293","1993","02","15","Brasil","São Paulo","São Luis Paraitinga","9999","9999","Arbusto 2 m de altura com frutos vermelhos","BOTU020470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
