"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","relatedCatalogItem","monthIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","250719","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","G. Mathieu","not a type","Y. E. J. Mexia","5501","1931","04","01","South America","Brazil","Minas Gerais","Corinto","Districto Corinto. Fazenda do Diamante. Olhos de Agua","-44.4564","-18.3808","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250719","NY00250719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","679948","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","M. Carvalho-Silva",NA,"E. P. Heringer","1027","1979","02","27","South America","Brazil","Distrito Federal","Brasília","Rio Maranhão Via DF-2 Fazenda Maranhão.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=854499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679948","NY00679948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956938","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.",NA,NA,"H. Smith","154",NA,NA,NA,"South America","Brazil","Mato Grosso",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956938","NY00956938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559121","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.",NA,NA,"A. F. M. Glaziou","s.n.","1879","09",NA,"South America","Brazil","São Paulo","Bocaína","Bocaina","-48.5099983215332","-22.1299991607666","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559121","NY00559121_01","18396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00956937","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","M. Carvalho-Silva",NA,"E. P. Heringer","1026","1979","02","27","South America","Brazil","Distrito Federal","Brasília","Rio Maranhão Via DF-2 Fazenda Maranhão.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956937","NY00956937_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956935","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","R. Callejas Posada",NA,"R. P. Belém","14","1964","12","10","South America","Brazil","Distrito Federal","Brasília","Fercal. Região do calcário.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956935","NY00956935_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00559119","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","C. L. F. Ichaso",NA,"H. S. Irwin","12023","1966","01","26","South America","Brazil","Distrito Federal","Brasília","Côrrego Landim, ca. 25 km N of Brasília, D. F.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559119","NY00559119_01",NA,NA,"850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00956936","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","E. F. Guimarães",NA,"L. B. Smith","15026","1965","03","05","South America","Brazil","Distrito Federal","Brasília","Fercal.","-47.88","-15.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1083781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956936","NY00956936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","559122","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.",NA,NA,"J. B. E. Pohl","4795",NA,NA,NA,"South America","Brazil",NA,NA,"Tejuco",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559122","NY00559122_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","679958","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","gardneriana","Peperomia gardneriana","Miq.","C. L. F. Ichaso",NA,"H. S. Irwin","19108","1968","01","24","South America","Brazil","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.6","-15.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=853701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00679958","NY00679958_01",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
