"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","order","individualCount","fieldNumber","relatedCatalogItem"
"1","2020-09-23 10:40:56-03","E","E","2205","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina","isotype","Jameson, William (of Quito)","W. Tropical South America","EC","Forest of Esmeraldos","herbarium specimen of unspecif","BGBASE:12552","<a href=http://data.rbge.org.uk/herb/E00002205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00002205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:56-03","E","E","2204","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina","isotype","Spruce, Richard","W. Tropical South America","PE","Mt. Guayrapurina","herbarium specimen of unspecif","BGBASE:12551","<a href=http://data.rbge.org.uk/herb/E00002204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00002204","Andes Peruviani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02065300","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"N. Trushell","South America","Ecuador","Finca de Weisner","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2129834' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065300","Pastaza","Marchantiophyta","(Sw.) Nees","W. R. Buck","1125","1985","03","19","NY02065300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1748884","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"J. J. Soukup","South America","Peru","Depart. Junin: La Merced. 800 met. alt.","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1960022' target='other'> <mi>dwc_moreinfo</mi></a>","NY01748884",NA,"Marchantiophyta","(Sw.) Nees",NA,"1829","1942","08",NA,"NY01748884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1748880","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"N. Funck","South America","Venezuela",NA,"packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1960018' target='other'> <mi>dwc_moreinfo</mi></a>","NY01748880",NA,"Marchantiophyta","(Sw.) Nees",NA,"s.n.","1905","01","18","NY01748880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1672952","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"C. Vogl","South America","Venezuela","Mounains near Caracas. 1800 m","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1959114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672952",NA,"Marchantiophyta","(Sw.) Nees",NA,"202a","1905","04","23","NY01672952_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1672961","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"S. P. Churchill","South America","Bolivia","Santa Cruz: Florida Region de Tres Cruces, ca. 12 km este-nordeste de Bermejo, cera de antenas. Bosque montano con Cariniana estrel lensis , Chrysophyllum gonocarpum. 1500 m","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1959123' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672961",NA,"Marchantiophyta","(Sw.) Nees",NA,"21310","2002","03","23","NY01672961_01","-63.566667","-18.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1673044","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"J. L. Luteyn","South America","Venezuela","Aragua: La Victoria-Colonia Tovar rd., 11.5 km N of Pie de Cerro. Undisturbed cloud forest along steep slopes. 1950 m.","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1959999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01673044",NA,"Marchantiophyta","(Sw.) Nees",NA,"8284","1982","01","14","NY01673044_01","-67.333333","10.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1673018","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,"W. Jameson","South America","Ecuador","buencos[?]. Andes Quitenses.","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1959973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01673018",NA,"Marchantiophyta","(Sw.) Nees",NA,"368",NA,NA,NA,"NY01673018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1672923","PreservedSpecimen","Plantae","Lejeuneaceae","Bryopteris","filicina","Bryopteris filicina",NA,NA,"South America","Brazil","St. Vincent piu[?] Santos","packeted",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1959085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01672923",NA,"Marchantiophyta","(Sw.) Nees",NA,"s.n.","1897","06",NA,"NY01672923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
