"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","monthIdentified","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","887958","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","O. Poncy","J. M. Pires","51526","1961","10","06","South America","Brazil","Amapá","Rio Araguari: Camp 13.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887958","NY00887958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","887959","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","H. S. Irwin","J. M. Pires","50558","1961","08","28","South America","Brazil","Amapá","Rio Araguari.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887959","NY00887959_01","-51.93","1.67","135","135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2329","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"R. Spruce","s.n.","1850","06",NA,"South America","Brazil","Pará","In vicinibus Santarem","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002329","NY00002329_01","-54.740486","-2.449614",NA,NA,"type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:50-03","UFRJ","RFA","9856","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","A. Burkart","G.G. Hatschbach","22183","1969","09","15",NA,"Brasil","Mato Grosso do Sul","Rio Baia",NA,"Árvore, 8 m Habito: árvore","RFA28533",NA,"-53.2710990905762","-22.2952995300293",NA,NA,NA,"1970","Batayporã","52218","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:39:57-03","EAO","IAN","112191","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Pires, JM","50558","1961","08","28","Southern America","Brasil","Amapá",NA,NA,"Qom. high, 15 cm diam, in bud (green), upland plant.","IAN112191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:09:36-03","NBC","NL-BOTANY","U.1304635","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Ducke A",NA,"1926","09","15","Southern America","Brazil",NA,"Obidos (civ. Pará) art ripes inmirdatas fairas flumimis Curucambá.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304635 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304635","NL-U1304635",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2020-10-20 14:17:27-03","UFOPA","HSTM","5823","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Faria, S.M.; s.c.","1039","1995","10","29",NA,"Brasil","Pará","Porto Trombetas, estrada para Terra Santa.",NA,NA,"HSTM005823","HSTM005823","-56.046389","-1.0525",NA,NA,NA,NA,"Oriximiná",NA,NA,NA,"56º2'47''W","1º3'9''S",NA,NA,NA,NA,NA
"8","2015-11-06 14:45:45-02","MNHN","RECOLNAT_MNHN_P","P01818260","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R.",NA,"1850","7",NA,NA,"Brésil",NA,"Santarem","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818260' target='other'> <mi>dwc_moreinfo</mi></a>","P01818260","P01818260_01",NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,"977",NA,NA,NA,NA
"9","2015-11-06 14:45:45-02","MNHN","RECOLNAT_MNHN_P","P01818261","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R.",NA,"1850","7",NA,NA,"Brésil",NA,"Santarem","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818261' target='other'> <mi>dwc_moreinfo</mi></a>","P01818261","P01818261_01",NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,"977",NA,NA,NA,NA
"10","2015-11-06 14:45:46-02","MNHN","RECOLNAT_MNHN_P","P01818262","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R.",NA,"1850","6",NA,NA,"Brésil",NA,"Santarem","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818262' target='other'> <mi>dwc_moreinfo</mi></a>","P01818262","P01818262_01",NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,"910",NA,NA,NA,NA
"11","2015-11-04 07:22:06-02","MNHN","RECOLNAT_MNHN_P","P01818263","PreservedSpecimen",NA,NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R.",NA,"1850","6",NA,NA,"Brésil",NA,"Santarem","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01818263' target='other'> <mi>dwc_moreinfo</mi></a>","P01818263","P01818263_01",NA,NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,"910",NA,NA,NA,NA
"12","2020-06-01 17:39:00-03","MO","MOBOT","101196112","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Richard Spruce","Spruce 910","1850","6",NA,"South America","Brazil",NA,"Santarem - Igar-de-Mahicá",NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2904833","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Richard Spruce","Spruce 1096","1850","6",NA,"South America","Brazil","Pará","In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","2904993","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","A. Burkart","Gert G. Hatschbach","Hatschbach 22183","1969","9","15","South America","Brazil",NA,"Rio Baia (Mun. Bataiparã) Mato Grosso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-03-24 10:03:00-03","MO","MOBOT","2905097","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"A. Ducke","Ducke 10063","1926","9","15","South America","Brazil","Pará","Obidos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2249594","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce",NA,"R. Spruce","---","1850",NA,NA,"South America - Neotropics","Brazil","Pará","Santarem.",NA,NA,"US00000130","US00000130_01",NA,NA,NA,NA,"Type collection",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA
