"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00981186","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata","(Willd.) H.S.Irwin & Barneby","H. S. Irwin; R. C. Barneby","G. Eiten","5364","1963","08","17","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region, between th Rios Balsas and Parnaíba. Ca. 300 m. S of main house of Fazenda Morros, about 35 km. south of Lorêto","-45.07","-7.38","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981186","NY00981186_01 NY00981186_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 10:27:00-03","NY","NYBG","01776376","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,"R. C. Barneby","T. W. Henkel","2481","1993","08","14","South America","Guyana","Upper Demerara-Berbice",NA,"Berbice savanna near Takama Army Base","-57.95","5.716666667","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2038591' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776376","NY01776376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 19:42:00-03","NY","NYBG","01776318","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,"R. C. Barneby","P. A. Silverstone-Sopkin","3255","1987","06","23","South America","Colombia","Valle del Cauca","Cali","Cali, Universidad del Valle (Meléndez), delante de biblioteca central.",NA,NA,"976",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2035616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776318","NY01776318_01 NY01776318_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 19:42:00-03","NY","NYBG","01776400","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,"R. C. Barneby","G. S. Bunting","10065","1981","07","11","South America","Venezuela","Zulia","Mara","Vía entre Carrasquero y Playa Bonita, en el trayecto entre la carretera Carrasquero-Maracaibo y km 12 hacia Playa Bonita",NA,NA,NA,"50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2048457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776400","NY01776400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01776319","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata","(Willd.) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","E. Forero","947","1974","03","26","South America","Colombia","Chocó",NA,"Río Tolo; Región Guayabal. 5 horas a pie al SE de Acandí.",NA,NA,NA,"50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2035610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776319","NY01776319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 13:30:00-03","NY","NYBG","01776423","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,NA,"M. Ramia","8466","1985","01",NA,"South America","Venezuela","Cojedes",NA,"Entre Tinaquillo y El Tinaco.",NA,NA,"300",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2039905' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776423","NY01776423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 19:42:00-03","NY","NYBG","01776371","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,"R. C. Barneby","J. J. Pipoly","8677","1986","09","21","South America","Guyana","Demerara-Mahaica",NA,"Georgetown; South Rumveldt Park, easternmost extremety, the Houston Estate","-58.15","6.78","1","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2038694' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776371","NY01776371_01 NY01776371_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 13:30:00-03","NY","NYBG","01776379","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata",NA,NA,"F. Ayala","3924","1982","10","20","South America","Peru","Loreto",NA,"Flor de Yarina Río Samiria",NA,NA,"120","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2039861' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776379","NY01776379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01776320","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata","(Willd.) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","O. L. Haught","6735","1949","12","18","South America","Colombia","Magdalena",NA,"Cerrejón.",NA,NA,"100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2035603' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776320","NY01776320_01 NY01776320_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01776341","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","reticulata","Senna reticulata","(Willd.) H.S.Irwin & Barneby","R. C. Barneby; H. S. Irwin","E. Asplund","16507","1955","05","29","South America","Ecuador","Esmeraldas",NA,"Timbre.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2035828' target='other'> <mi>dwc_moreinfo</mi></a>","NY01776341","NY01776341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
