"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","county","coordinatePrecision","imagecode","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01252323","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A. J. M. Leeuwenberg","G. T. Prance","22609","1974","09","02","South America","Brazil","Amazonas","CEPLAC, Manaus","-59.922443","-2.7687452","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01252320","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A. J. M. Leeuwenberg","S. A. Mori","21333","1990","07","08","South America","Brazil","Amazonas","Distrito Agropecuário, Reserve 1501 (Km 41) of the Smithsonian/INPA Biological Dynamics of Forest Fragments Project.","-59.74583","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498000' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252320","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 08:56:00-03","NY","NYBG","1546741","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata",NA,NA,"W. A. Ducke","1290","1943","07","17","South America","Brazil","Amazonas","Rio Taraumá-mirí, silva non inundable prope campinam","-60.0250015258789","-3.10193991661072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1919219' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546741",NA,NA,"isotype","Manaus","138090","NY01546741_01","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01252321","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A. J. M. Leeuwenberg","G. T. Prance","17771","1973","09","11","South America","Brazil","Amazonas","Rio Cuieras, 2 km below mouth of Rio Brancinho","-60.3208","-2.5636","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498002' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01252322","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A. J. M. Leeuwenberg","G. T. Prance","P17521","1973","09","05","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km 69-70","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1498022' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:34:15-03","EAO","IAN","110799","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","Leeuwenberg, AJM","Rodrigues, WA; Pessoal do C.P.F.","1789","1960","09","28","Southern America","Brasil","Amazonas","Estrada Manaus-Itacoatiara, km 32.&nf;Mata de terra firme; solo argiloso.","-60.0250015258789","-3.10193991661072",NA,"Arbusto de 3m. Frutos ainda verdes. Latex alvo, abundante em toda a planta. Madeira amarelada, peso médio, cureza mediana. casca fina, persistente.","IAN110799",NA,NA,"isoparatipo","Manaus","138090",NA,"auto","1992",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:19:03-03","NBC","NL-BOTANY","WAG.1674312","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.",NA,"Cid Ferreira CA; et al.",NA,"1986","09","19","Southern America","Brazil",NA,"Mun. Pres. Figueredo, AM. 08km da Vila Residencial Atroari. Canteiro de obras de Balbina.","-59.75","-1.75",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1674312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1674312",NA,NA,NA,NA,NA,"NL-WAG1674312",NA,NA,"Magnoliopsidae","-59.75","-1.75",NA,NA,NA,NA
"8","2020-02-08 09:19:03-03","NBC","NL-BOTANY","WAG.1674313","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","Leeuwenberg AJM","Mori SA; Cardoso RM; Assunção PACL; Marajó dos Reis L; Bastos NR",NA,"1990","07","08","Southern America","Brazil","Amazonas","Distrito Agropecuário, Reserve 1501 (km 41) of the Smithsonian/INPA Biological Dynamics of Forest Fragments Project.",NA,NA,NA,"Non-flooded moist forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1674313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1674313",NA,NA,"paratype",NA,NA,"NL-WAG1674313",NA,NA,"Magnoliopsidae",NA,NA,"WAG0111378",NA,NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","2816189","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A.J.M. Leeuwenberg","Ghillean T. Prance","Prance 17771","1973","9","11","South America","Brazil","Amazonas","2km below mouth of Rio Branchinho. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-09-01 12:43:00-03","MO","MOBOT","2816243","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A.J.M. Leeuwenberg","Francisco Mello","Mello 4105","1956","8","20","South America","Peru","Amazonas","firme argiloso, mata-virgem. BR 17km 36.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-05-11 14:55:00-03","MO","MOBOT","2816052","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.","A.J.M. Leeuwenberg","William A. Rodrigues","Rodrigues 1789","1960","9","28","South America","Brazil","Amazonas","Estrada manaus-Itacoatiara, km32","-60.0250015258789","-3.10193991661072",NA,NA,NA,NA,NA,NA,"Manaus","138090",NA,"auto",NA,NA,NA,NA,NA,"1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","1907094","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenb.",NA,"A. Ducke","1290","1943","7","17","South America - Neotropics","Brazil","Amazonas","Da Amazonia. Manáus, Rio Tarumá-miri, mata da terra firme perto d'uma campina.",NA,NA,NA,NA,"US03231669",NA,NA,NA,NA,NA,"US03231669_01",NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA
"13","2019-07-09 09:07:32-03","F","FMNH-SEEDPLANTS","V0092427F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata",NA,NA,"A. Ducke","1290","1943","7","17","South America","Brazil","Amazonas","Manaus, Rio Taruma-mirim",NA,NA,NA,NA,"V0092427F",NA,NA,"Isotype",NA,NA,"V0092427F_01",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"14","2019-07-09 09:07:32-03","F","FMNH-SEEDPLANTS","V0092433F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata",NA,NA,"A. Ducke","1290","1943","7","17","South America","Brazil","Amazonas","Manaus, Rio Taruma-mirim",NA,NA,NA,NA,"V0092433F",NA,NA,"Isotype",NA,NA,"V0092433F_01",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"15","2019-06-11 12:56:33-03","F","FMNH-SEEDPLANTS","V0425783F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata",NA,"RRC ID Flag","G. T. Prance","22609","1974","9","2","South America","Brazil","Amazonas",NA,"-63","-5",NA,NA,"V0425783F",NA,NA,NA,NA,NA,"V0425783F_01 V0425783F_02",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"22609",NA
"16","2010-08-16 16:43:20-03","A","HU-HERB","A 00093011","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","cumata","Tabernaemontana cumata","Leeuwenberg",NA,"A. Ducke","1290","1943","7","17","South America","Brazil","Amazonas","Manàos, Rio Tarumà-miri",NA,NA,"Sheet",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1290","undetermined"
