"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","dayIdentified","order","class","individualCount","typeStatus"
"1","2019-10-09 11:10:02-03","UFBA","ALCB","110594","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","Prain","Roque, N","2013","01","Roque, AA; Jardim, AB; Oliveira, ACP","1197","2011","08","08","Southern America","Brasil","Rio Grande do Norte","Itajá","BR 304 sentido Assu/Itajá. Entrada no km 125 para a RN 118 sentido Itajá/São Rafael. Entrada aproximadamente 2,70 km a esquerda em uma propriedade de uma Britadeira","-36.811667","-5.682222","-36.811667","-5.682222","105","105","decumbente. Folhas verde-escuras na face superior e esbranquiçadas na face inferior. Flores roxas, estames amarelos.",NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:10:02-03","UFBA","ALCB","125294","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","Prain","Roque, N","2016","05","Roque, AA; Jardim, AB; Oliveira, ACP","1197","2011","08","08","Southern America","Brasil","Rio Grande do Norte","Itajá","BR-304 sentido Assu/Itajá. Entrada no km 125 para a a RN-118 sentido Itajá/São Rafael. Entrada aproximadamente 2,70 Km a esquerda em uma propriedade de uma Britadeira.","-36.811667","-5.682222","-36.811667","-5.682222","105","105","Era decumbente; folhas verde-escuras na face superior e esbranquiçadas na face inferior. Flores roxas, estames amarelos.",NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:02-03","UFBA","ALCB","135689","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","Prain","Nepomuceno, IV","2017","05","Nepomuceno, IV","65","2017","03","21","Southern America","Brasil","Ceará","Forquilha","Comunidade Setor I, caminho para o açude.","-40.264444","-3.772778","-40.264444","-3.772778",NA,NA,"ca. 7 cm alt. Caules verdes. Folhas papiráceas. Inflorescências lilases.; Período de chuva.","ALCB064472","ALCB064472",NA,NA,NA,NA,NA
"4","2019-02-15 11:34:34-02","IPA","IPA","19698","S","Plantae","Plantae","Asteraceae","Stilpnopappus","rubropappus","Stilpnopappus rubropappus","Soares Nunes","Rita Pereira","1984","06","Academia Brasileira de Ciências","812","1971","05","18","Southern America","Brasil","Pernambuco",NA,"Entre Carnaubeira (Floresta) e Conceição das Crioulas (Salgueiro).",NA,NA,NA,NA,NA,NA,"Planta 15-20cm de altura; flor roxo azulado.; Solo arenoso.","IPA0019698",NA,"19",NA,NA,NA,NA
"5","2021-03-01 16:23:34-03","UNICAMP","UEC","37379","S","Plantae","Magnoliopsida","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar.Nunes) H.Rob.","Monge, M","2015","11","Sarmento, AC","784","1984","07","02",NA,"Brazil","Rio Grande do Norte","Francisco Dantas","Fazenda Jacu, estrada para Porto Alegre.","-38.1","-6.083333","-38.1","-6.083333",NA,NA,"Hemicriptófita herbácea com 5-10 cm de alt. Flores roxo-azuladas.; Estepe Arbórea (Caatinga), Arenoso, Relevo deprimido.","UEC118684","UEC118684",NA,NA,NA,NA,NA
"6","2020-08-31 08:52:50-03","INPA","INPA","143096","S","Plantae","Dicotyledon Asterids","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar.Nunes) H.Rob.","Calago, K","2003","01","Sarmento, AC","784","1984","07","02","Southern America","Brasil","Rio Grande do Norte","Francisco Dantas","Fazenda Jacu, estrada para Portalegra. Veg: Estepe Arbórea (caatinga.) solo: arenoso.","-38.1","-6.083333","-38.1","-6.083333",NA,NA,NA,"INPA0143096","INPA0143096 INPA0143096_e INPA0143096_e1",NA,"Asterales",NA,NA,NA
"7","2021-03-04 11:04:27-03","UFRB","HURB","16345","PreservedSpecimen","Plantae",NA,"Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar.Nunes) H.Rob.",NA,NA,NA,"Roque, A.A.; Jardim, A.B.; Oliveira, A.C.P.","1197","2011","08","08",NA,"Brasil","Rio Grande do Norte","Itajá","Br 304 sentido Assú/Itajá.; Entrada no Km 125 para a RN118 sentido Itajá/São Rafael. Entrada aproximadamente 2,70km a esquerda em uma propriedade de uma britadeira","-36.811667","-5.682222","36º48'42W","5º40'56S","105","105","UFRN 12411.","HURB000016345",NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","3242528","PreservedSpecimen","Plantae",NA,"Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar. Nunes) H. Rob.",NA,NA,NA,"E. P. Heringer, D. Andrada-Lima, J. Sobrinho & A. Sarmento","812","1971","5","18","South America - Neotropics","Brazil","Pernambuco",NA,"Da caatinga Nordestina",NA,NA,NA,NA,NA,NA,NA,"US01636557","US01636557_01",NA,"Asterales","Dicotyledonae","1",NA
"9","2019-10-07 09:11:13-03","UEFS","HUEFS","66677","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar.Nunes) H.Rob.","N.Roque","2003","11","Harley, R.M.","21507","1980","04","18",NA,"Brasil","Bahia","Bom Jesus da Lapa","Basin of the Upper São Francisco River. Just beyond Calderão, ca. 32 km N.E. From Bom Jesus da Lapa.","-43.216667","-13.166667","43W13'","13S10'","500","500","Caatinga with damp, sandy open area","HUEFS0066677",NA,NA,"Asterales","Asteranae",NA,"Isótipo"
"10","2021-02-08 12:35:58-03","UFRGS","ICN","082181","S","Plantae","Dicotyledon","Asteraceae","Caatinganthus","rubropappus","Caatinganthus rubropappus","(Soar.Nunes) H.Rob.","Borges, RAX",NA,NA,"Sarmento, AC","784","1984","07","02","América do Sul","Brasil","RN","Francisco Dantas","Fazenda Jacu, estrada para Portalegre","-38.1","-6.083333","-38.1","-6.083333",NA,NA,"Convênio Projeto RADAMBRASIL/SUDENE; Hemicriptófita herbácea com 5-10cm de altura. Flores roxo-azuladas.; Estepe arbórea (Caatinga), solo arenoso, relevo deprimido",NA,NA,NA,NA,NA,NA,NA
