"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","scientificNameAuthorship","identifiedBy","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","minimumDepthInMeters","typeStatus","dayIdentified"
"1","2016-12-15 15:02:00-02","NY","NYBG","1290470","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides","B. A. Krukoff","7532","1935","12","South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Javary","-68.93558","-3.4590837","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759871' target='other'> <mi>dwc_moreinfo</mi></a>","NY01290470","NY01290470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 09:30:00-02","NY","NYBG","01855967","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","C. Díaz Santibañez","5616","1992","11","South America","Peru","Tumbes","Zarumilla","Matapalo. Parcela V de evaluación permanente.","-80.25916","-3.84138","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2164312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855967","NY01855967_01","parvifolia","(Benth.) Morley","R. D. Stone","05","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-21 09:30:00-02","NY","NYBG","01855964","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","C. Díaz Santibañez","4860","1992","07","South America","Peru","Tumbes","Zarumilla","Distrito Matapalo. Entre P.C. El caucho y P.C. Campoverde. Bosque Nacional de Tumbes. Reserva de Biósfera del Noroeste.","-80.25916","-3.84138","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2164323' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855964","NY01855964_01","parvifolia","(Benth.) Morley","R. D. Stone","15","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 09:30:00-02","NY","NYBG","01855993","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","M. Aguilar","871","1996","08","South America","Peru","Madre de Dios","Tambopata","Santuario Nacional Pampas del Heath, Rio Heath, Pto. San Antonio. Bosque de terraza.","-68.73694","-12.65638","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2164286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01855993","NY01855993_01","parvifolia","(Benth.) Morley","R. D. Stone","29","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","D. A. Neill","6666","1985","08","South America","Ecuador","Pastaza",NA,"Rio Cururay, costado sur, alrededores de la Laguna Garzayacu","-76.65","-1.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522677","NY00522677_01","parvifolia","(Benth.) Morley","T. Morley","20","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","522676","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","G. S. Bunting","7817","1979","08","South America","Venezuela","Zulia","Colón","Alrededores de Casigua El Cubo: sector West-Tarra: en la vecindad del Pozo de gas WT-38 sitio unos 3 km al SO de la alcabala La Redoma)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522676","NY00522676_01","parvifolia","(Benth.) Morley","F. Almeda","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","522679","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","E. H. A. Rodrigues","46","1990","08","South America","Brazil","São Paulo","Jaboticabal","Fazenda Santa Izabel","-48.3197","-21.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522679","NY00522679_01","parvifolia","(Benth.) Morley","E. L. M. Catharino; E. H. A. Rodriguez","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","522678","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parvifolia","J. C. Solomon","14108","1985","08","South America","Bolivia","Santa Cruz","Ichilo","Parque Nacional Amboró, ca. 15 km (SE) up the Rio Pitasama from the Rio Surutú","-63.67","-17.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522678","NY00522678_01","parvifolia","(Benth.) Morley","T. Morley","28","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:44:45-03","EAO","IAN","139768","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides parviflora","Schunke-Vigo, J","3776","1970","02","Southern America","Peru",NA,NA,"Las láminas de las hojas son onduladas brillosas subcoriáceas de color verde intenso. En bosque alto. Camino al Pueblo Viejo de Tocache.",NA,NA,NA,NA,"IAN139768",NA,"parviflora","(Benth.) Morley","Lamlein, SJ","06",NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:04:47-03","NBC","NL-BOTANY","U.1389281","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides myrtilloides","Rodrigues EHA",NA,"1990","08","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1389281 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1389281","NL-U1389281","myrtilloides",NA,"Rodrigues EHA; Catharino ELM","05",NA,NA,NA,"Magnoliopsidae","U 0098227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:04:47-03","NBC","NL-BOTANY","U.1389576","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Mouriri","myrtilloides","Mouriri myrtilloides orinocensis","Breteler FJ",NA,"1965","11","Southern America","Venezuela",NA,NA,"Fed. Terr. of Amazonas. Orinoco R. Isla de Araguao near Isla del Ratón.","-67.766667","5.033333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1389576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1389576","NL-U1389576","orinocensis","Morley",NA,"24",NA,NA,NA,"Magnoliopsidae",NA,"-67.766667","5.033333",NA,NA,NA,NA,NA,NA,NA,NA
