"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","571657","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","R. Kummrow","2715","1985","01","02","South America","Brazil","Paraná","Guaraqueçaba","Rio Muratinho","-48.3289","-25.3069","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571657","NY00571657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778508","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","J. M. A. Braga","7165","2003","01","28","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Campus do Jardim Botânico do Rio de Janeiro. Canteiro 15 C","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778508","NY00778508_01","J. M. A. Braga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571658","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","H. F. Martins","101","1959","12","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Matas da Tijuca, Estrada dos Picos","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571658","NY00571658_01","H. Kennedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","571656","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","G. F. J. Pabst","6803","1962","01","14","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca","-43.28939","-22.947934","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=342412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00571656","NY00571656_01","H. Kennedy","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:37:28-03","NBC","NL-BOTANY","U.1392265","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","Sucre Benjamin D; Martinelli G; Silva JF da",NA,"1973","08","30","Southern America","Brazil",NA,NA,"Brasil, Minas Gerais, Reserva Florestal do Rio Doce, Matas da Lagoa Central, a ± entre 190-200 mam.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1392265 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1392265","NL-U1392265",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:37:28-03","NBC","NL-BOTANY","U.1392266","PreservedSpecimen","Plantae",NA,"Zingiberales","Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","Folli DA",NA,"1993","11","23","Southern America","Brazil",NA,NA,"Reserva Florestal DA C.V.R.D. Esp. Santo Caete coracao. Santo Aceiro com Bragato, Corrego Tamandua.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1392266 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1392266","NL-U1392266",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:13:06-03","ESALQ","ESA","96661","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Köern","Aona, L.Y.S. et al.",NA,"2004","11","27",NA,"Brasil","Minas Gerais","Palmas",NA,NA,NA,NA,NA,"ESA096661","ESA096661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:02:52-03","JBP","HPL","6969","S","Plantae",NA,NA,"Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Koern.","R. Tsuji, H. Lorenzi et al.","1548","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades da cidade subindo em direção a Ipaneminha-ES 19°25'01,7''S 42°38'20,8''W.","-42.5367","-19.4683",NA,NA,NA,NA,"S. Vieira",NA,NA,NA,"2008","11","05","19070","auto",NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:02:52-03","JBP","HPL","4997","S","Plantae",NA,NA,"Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Koern.","E.R. Salviani & H. Lorenzi","1708","2000","10","26",NA,"BRASIL","RJ","Rio de Janeiro","Coletada no Sítio R. Burle Marx.","-43.2075","-22.9028",NA,NA,NA,NA,"S. Vieira",NA,NA,NA,"2004","05","01","57442","auto",NA,NA,NA,NA,NA,NA
"10","2020-10-20 14:17:44-03","UFOPA","HSTM","14158","PreservedSpecimen","Plantae",NA,NA,"Marantaceae","Ischnosiphon","ovatus","Ischnosiphon ovatus","Körn.","Lima, H.C.; Silveira, J.","1185","1979","12","18",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Floresta da Tijuca, próximo ao Horto da prefeitura.","-43.244444","-22.923056",NA,NA,"HSTM014158","HSTM014158",NA,NA,NA,NA,NA,NA,NA,NA,NA,"43º14'40''W","22º55'23''S",NA,NA,NA,NA
