"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","minimumElevationInMeters","individualCount"
"12","2020-12-21 16:32:14-03","MBM","MBM","133712","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A.","Ribas, O.S.; Silva, J.M.; Silva, J.M.","202",NA,NA,NA,"Southern America","Brazil","Paraná","Lapa","Rod. BR-476, 5km a oeste da Lapa","-49.7158012390137","-25.7696990966797",NA,NA,"MBM133712","49965","MBM133712","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:32:14-03","MBM","MBM","395855","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Barboza, E.","Engels, M.E.; Reynald, D.T.; Reynald, D.T.","2006","2013","11","23","Southern America","Brazil","Paraná","Lapa","Rodovia BR 476, Km 210, Passa 2/Pedra Alta","-49.7158012390137","-25.7696990966797",NA,"Caule castanho. Folhas verdes. Flores com cálice verde. Corola com pétalas rosa e nervura central rosa mais ecuro.; Floresta Ombrófila Mista. Em campo.","MBM395855","49965","MBM395855","auto",NA,"2015","02","12",NA,NA,NA
"14","2020-12-21 16:32:14-03","MBM","MBM","8495","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A.","Hatschbach, G.","20154",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Fazenda Padre Inácio","-50.0064010620117","-25.4293994903564",NA,NA,"MBM008495","35166","MBM008495","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:32:14-03","MBM","MBM","221327","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A.","Hatschbach, G.","20154",NA,NA,NA,"Southern America","Brazil","Paraná","Palmeira","Fazenda Padre Inácio","-50.0064010620117","-25.4293994903564",NA,NA,"MBM221327","35166",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:32:14-03","MBM","MBM","271160","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A.","Tessmann, G.","2522","1947","10","17","Southern America","Brazil","Paraná","Palmeira","Fazenda Padre Inácio, Estrada Curitiba - Palmeira, 10km antes de Palmeira.","-50.0064010620117","-25.4293994903564",NA,"Kraut, Stengel schwach holzig, klaut klebrig. Kelch gruen, braeunlich angehaucht, petalen karminlila, roehre oben gelblich (innenseite). Staubbeutel hellbraun.; Campo limpo.","MBM271160","35166","MBM271160","auto",NA,"1964",NA,NA,"ISOTYPE",NA,NA
"17","2015-11-07 03:35:51-02","MNHN","RECOLNAT_MNHN_P","P01901644","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig","Tessmann, G.",NA,"1947","10","17",NA,"Brasil",NA,NA,"Curitiba. Parana. Fazenda Padre Ignacio, estrada Curitiba Palmeira, 10 km. antes de Palmeira",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01901644' target='other'> <mi>dwc_moreinfo</mi></a>","P01901644",NA,"P01901644_01",NA,NA,NA,NA,NA,"holotype",NA,NA
"18","2020-12-11 11:37:18-03","UFMG","BHCB","27475","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-08-31 09:06:05-03","INPA","INPA","172530","S","Plantae","Dicotyledon Com-Clade","Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A","Ribas, OS","203","1989","11","30","Southern America","Brasil","Paraná","Lapa","Rod. BR-476, 5 Km a oeste da Lapa","-49.7158012390137","-25.7696990966797",NA,NA,"INPA0172530","49965","INPA0172530 INPA0172530_e","auto",NA,"1990",NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,"R. Reitz & D. Klein","17405","1965","12","11","South America - Neotropics","Brazil","Paraná","Lapa","Fazendinha","-49.7158012390137","-25.7696990966797",NA,NA,NA,"49965",NA,"auto","Dicotyledonae",NA,NA,NA,NA,"900","1"
"21","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,"G. Hatschbach","15226","1966","11","4","South America - Neotropics","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,NA,NA,"49965",NA,"auto","Dicotyledonae",NA,NA,NA,NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","2705983","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,"G. Hatschbach","20154","1968","10","31","South America - Neotropics","Brazil","Paraná","Palmeira","FRda. Pe. Inacio.","-50.0064010620117","-25.4293994903564",NA,NA,"US01885015","35166","US01885015_01 US01885015_02","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1"
"23","2020-09-12 05:00:02-03","US","US","3147061","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,"G. Hatschbach & O. S. Ribas","52525","1988","11","14","South America - Neotropics","Brazil","Paraná","Lapa","Rio Passa Dois","-49.7158012390137","-25.7696990966797",NA,NA,"US01885014","49965","US01885014_01 US01885014_02","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1"
"24","2019-10-07 09:33:54-03","UEFS","HUEFS","11909","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig",NA,"Ribas, O.S.","203","1989","11","30",NA,"Brasil","Paraná","Lapa",NA,"-49.7158012390137","-25.7696990966797",NA,NA,"HUEFS0011909","49965","HUEFS0011909","auto","Rosanae",NA,NA,NA,NA,NA,NA
"25","2015-03-07 08:23:22-03","F","FMNH-SEEDPLANTS","V0201260F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0201260F",NA,"V0201260F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"26","2015-03-07 08:23:22-03","F","FMNH-SEEDPLANTS","V0201261F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0201261F",NA,"V0201261F_01",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"27","2020-11-04 17:29:36-03","UEM","HUEM","5009","S","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A","O.S.Ribas; J.M.Silva","203","1989","11","30",NA,"Brasil","Paraná","Lapa","Rod. BR-476, 5km a oeste da Lapa","-49.7158012390137","-25.7696990966797",NA,"Xilopodífera; flor lilás; folhas untosas ao tacto; campo limpo, seco; solo arenoso","HUEM000006579","49965","HUEM000006579","auto",NA,"1990",NA,NA,NA,NA,NA
"28","2020-11-12 17:01:33-03","UEL","FUEL","54","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A","Hatschbach, G","20154","1968","11","30",NA,"Brasil","Paraná","Palmeira","Fazenda Pe. Inácio","-50.0064010620117","-25.4293994903564",NA,NA,NA,"35166",NA,"auto",NA,"1969","05",NA,NA,NA,NA
"29","2018-09-18 22:12:31-03","UFMT","UFMT","6022","S","Plantae",NA,NA,"Lythraceae","Cuphea","hatschbachii","Cuphea hatschbachii","Lourteig","Lourteig, A.","Ribas, O.S.; Silva, J.M.","203","1989","11","30",NA,"Brasil","Paraná","Lapa","Rod. BR-476, 5 km a oeste da Lapa.","-49.7158012390137","-25.7696990966797",NA,"Xilopodífera, flor lilás, folhas untuosas ao tacto.; Campo limpo, seco.",NA,"49965",NA,"auto",NA,"1990",NA,NA,NA,NA,NA
