"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00996651","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. A. Kallunki","R. P. Belém","3792","1968","06","30","South America","Brazil","Minas Gerais","Nanuque, ao lado da rod. Teófilo Otoni. Zona calcáreo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996651","NY00996651_01 NY00996651_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","402430","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.",NA,"L. A. Mattos Silva","3445","1996","07","15","South America","Brazil","Bahia","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415). Coletas na Area de Jardinagem, próximo à Torre Centra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402430",NA,"Ilhéus","-39.17","-14.8","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","784828","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.",NA,"R. F. de Oliveira","123","1974","05","03","South America","Brazil","Rio de Janeiro","Guanabara, Rio de Janeiro, R. Sao Miguel, encosta rochosa Morro Borel.","sheet","FEEMA Departamento de Conservaçao Ambiental Tijuca Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02707648","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.",NA,"P. Farág","56","1995","05","26","South America","Brazil","Rio de Janeiro","Mata do centrinho, estrada para a lixeira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991555' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707648","NY02707648_01","Cabo Frio","-42.0186004638672","-22.8794002532959",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402431","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. Semir","L. P. de Queiroz","963","1986","10","04","South America","Brazil","Bahia","Fazenda Recreio. Estrada do Feijao. km 43.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402431",NA,"Ipirá","-38.68","-12.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02862406","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.",NA,"L. Quintanilha","23","2012","05","04","South America","Brazil","Rio de Janeiro","BR 106.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270578' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862406","NY02862406_01","Iguaba Grande","-42.189167","-22.850278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","784845","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. A. Kallunki","R. P. Belém","3821","1968","07","09","South America","Brazil","Espírito Santo","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","784824","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. A. Kallunki","R. S. Pinheiro","1857","1972","07","07","South America","Brazil","Bahia","Rod Santa Inês a Rio Bahia aos 10 km.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","784827","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. A. Kallunki","R. S. Pinheiro","1459","1971","07","08","South America","Brazil","Bahia","Serra da Torre repetidora TV de Jequié.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","784833","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","P. E. Gibbs","N. A. Rosa","2148","1977","06","19","South America","Brazil","Mato Grosso","Margem esquerda do R. Juruena, arredores do acampamento da promisa, terreno de rocha de granito, SC 21 VC.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784833",NA,NA,"-58.3804411","-11.0249185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","784831","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","P. C. Standley","Y. E. J. Mexia","5354","1930","11","25","South America","Brazil","Minas Gerais","Districto Rio Branco. Road to Sao Geraldo; Retiro de Anton Avelino.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784831","NY00784831_01 NY00784831_02",NA,NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","784825","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","J. A. Kallunki","R. P. Belém","3821","1968","07","09","South America","Brazil","Espírito Santo","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","784829","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Ceiba","erianthos","Ceiba erianthos","(Cav.) K.Schum.","P. E. Gibbs","J. G. Kuhlmann","s.n.","1924","06",NA,"South America","Brazil","Rio de Janeiro","Tijuca - Rio de Janeiro.","sheet","Jardim Botânico do Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784829",NA,NA,"-43.274528","-22.95583",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
