"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","decimalLongitude","decimalLatitude","imagecode","identifiedBy","day","county","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude","sex","yearIdentified","monthIdentified","dayIdentified"
"1","2020-09-23 10:43:20-03","E","E","259464","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens","isotype","Spruce, Richard","2504","E. Tropical South America","BR","Amazonas","Prope Panure ad Rio Uaupes. [Near Panure on the Rio Uaupes].","herbarium specimen of unspecif","BGBASE:270840","<a href=http://data.rbge.org.uk/herb/E00259464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273509","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","lucens","Lucuma lucens","isotype","R. Spruce","2504","South America","Brazil","Amazonas","Prope Panuré ad Rio Vaupés","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273509","Magnoliophyta","Ericales","Mart. & Miq.","1852","10","-68.5121369","0.2251762","NY00273509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01212013","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"C. A. Cid Ferreira","3739","South America","Brazil","Amazonas","Novo Japurá. Fronteira de Brasil e Colombia, Vila Bittencourt, rio Apaporis, margem esquerda, igarape Preguiça, proximo ao 3º Beque de Infataria","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212013","Magnoliophyta","Ericales","(Mart. & Miq.) Radlk.","1982","11","-69.4263813","-1.3996708","NY01212013_01","T. D. Pennington","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 03:02:00-03","NY","NYBG","01212014","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"R. de Lemos Fróes","835a","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212014","Magnoliophyta","Ericales",NA,"1942","03",NA,NA,"NY01212014_01 NY01212014_02","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 03:02:00-03","NY","NYBG","01212015","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"R. de Lemos Fróes","835a","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212015","Magnoliophyta","Ericales",NA,"1942","03",NA,NA,"NY01212015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 03:02:00-03","NY","NYBG","01212016","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"R. de Lemos Fróes","532a","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460124' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212016","Magnoliophyta","Ericales",NA,"1942","01",NA,NA,"NY01212016_01","T. D. Pennington","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 03:02:00-03","NY","NYBG","01212017","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"R. de Lemos Fróes","835a","South America","Brazil","Amazonas",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460128' target='other'> <mi>dwc_moreinfo</mi></a>","NY01212017","Magnoliophyta","Ericales",NA,"1942","03",NA,NA,"NY01212017_01","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:31-03","EAO","IAN","32311","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"Fróes, RL","22523","Southern America","Brasil","Amazonas","Rio Negro; Igarapé Castanha. Low land border of river of whitish water.",NA,NA,"Tree, 40ft. 18 green yellowish flowers.","IAN032311","Dicotiledônea",NA,"(Mart. & Miq.) Radlk.","1947","10",NA,NA,"IAN032311 IAN032311_e","Pires, JM","07","Padauary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:31-03","EAO","IAN","36545","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"Fróes, RL","23297","Southern America","Brasil","Amazonas","Rio Negro.",NA,NA,NA,"IAN036545","Dicotiledônea",NA,"(Mart. & Miq.) Radlk.","1948","06",NA,NA,"IAN036545 IAN036545_e","Pires, JM","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:31-03","EAO","IAN","42335","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"Fróes, RL","21611","Southern America","Brasil","Amazonas","Igapó, near Paredão.",NA,NA,"Tree, 7 meters, white green flowers.","IAN042335","Dicotiledônea",NA,"(Mart. & Miq.) Radlk.","1946","10","-60.0250015258789","-3.10193991661072",NA,"Pires, JM",NA,"Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:49:31-03","EAO","IAN","36467","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"Fróes, RL","23211","Southern America","Brasil","Roraima","Border of river low land; high forest.",NA,NA,"Tree, 5 meters.","IAN036467","Dicotiledônea",NA,"(Mart. & Miq.) Radlk.","1948","04","-61.128101348877","1.81611001491547","IAN036467 IAN036467_e","Pires, JM","22","Caracaraí","365858","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-25 17:07:22-03","MNHN","RECOLNAT_MNHN_P","P00647955","PreservedSpecimen",NA,"Sapotaceae","Pouteria","lucens","Pouteria lucens","isotype","Spruce, R.",NA,NA,"Brésil",NA,"Prope Panure ad Rio Maupés","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647955' target='other'> <mi>dwc_moreinfo</mi></a>","P00647955",NA,NA,"(Mart. & Miq.) Radlk.","1852","10",NA,NA,"P00647955_01 P00647955_02",NA,NA,NA,NA,NA,"2504",NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-04 18:11:59-03","MNHN","RECOLNAT_MNHN_P","P00647956","PreservedSpecimen",NA,"Sapotaceae","Pouteria","lucens","Pouteria lucens","isotype","Spruce, R.",NA,NA,"Brésil",NA,"Prope Panure ad Rio Maupés","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647956' target='other'> <mi>dwc_moreinfo</mi></a>","P00647956",NA,NA,"(Mart. & Miq.) Radlk.","1852","10",NA,NA,"P00647956_01",NA,NA,NA,NA,NA,"2504",NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-08-23 08:56:00-03","MO","MOBOT","2159396","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens","Isotype","Richard Spruce","Spruce 2504","South America","Brazil",NA,"Prope Panurè ad Rio Vaupés.",NA,NA,NA,NA,NA,NA,"(Mart. & Miq.) Radlk.","1852","9",NA,NA,NA,"T.D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2009-11-16 09:40:00-02","MO","MOBOT","3414294","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"C.A. Cid Ferreira|et al.","Cid Ferreira 3739","South America","Brazil","Amazonas","Fronteira de Brasil e Colombia, Mpio de Novo Japura, Vila Bittencourt, rio Apaporis, margem esquerda, igarape Preguica, proximo ao 3 Beque de Infantaria.",NA,NA,NA,NA,NA,NA,"(Mart. & Miq.) Radlk.","1982","11","-69.41666","-1.23333",NA,"T. Pennington","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3331104","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","lucens","Pouteria lucens",NA,"C. A. Cid Ferreira & J. Lima","3739","South America - Neotropics","Brazil","Amazonas","Fronteira de Brasil e Colombia, Município de Novo Japurá, Vila Bittencourt, rio Apapóris, margem esquerda, igarapé Preguiça, próximo ao 3° Beque de Infantaria",NA,NA,NA,"US02702126",NA,"Ebenales","(Mart. & Miq.) Radlk.","1982","11","-69.42","-1.23","US02702126_01",NA,"21",NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA,NA,NA
"17","2019-09-04 17:26:06-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Sapotaceae","Lucuma","lucens","Lucuma lucens","Isotype","R. Spruce","2504","South America","Brazil","Amazonas","Rio Vaupés",NA,NA,NA,NA,"Spermatophyta",NA,NA,"1852","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
