"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","625249","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. C. Barneby","A. C. Allem","2280","1978","10","30","South America","Brazil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro.","-55.7869","-20.4711","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625249","NY00625249_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522965","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","A. P. Fortuna Perez","H. S. Irwin","25074","1970","01","22","South America","Brazil","Goiás","Catalão","Contraforte Central, ca. 24 km N.E. of Catalão","-47.78961","-18.01337","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522965","NY01522965_01","crinita","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01093178","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. O. Vanni","T. M. Pedersen","15733","1991","03","19","South America","Brazil","Rio Grande do Sul","Carazinho","Segredo","-52.7864","-28.2842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093178","NY01093178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625250","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. O. Vanni","J. C. Lindeman","1454","1966","03","04","South America","Brazil","Paraná",NA,"At foot of Pico de Cajurú, ca. 15km SE of Jaguariaíva.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625250","NY00625250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625255","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. O. Vanni","L. Riedel","1926","1834","01",NA,"South America","Brazil",NA,NA,"Sr. Carlos.",NA,NA,"sheet","Recd Sept 1892 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625255","NY00625255_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","95108","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina vichadana","Killip ex Mohl","A. P. Fortuna Perez","J. A. Silva","498","1986","07","30","South America","Brazil","Roraima",NA,"Estrada das Confianças l, ll, lll.","-60.67","2.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=540793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095108","NY00095108_01","vichadana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","625251","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. O. Vanni","I. Mimura","215","1962","01","27","South America","Brazil","São Paulo","Sao José dos Campos","Ca. 7.2km SSE em linha reta da praça principal de Sao José dos Campos.","-45.88","-23.1703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625251","NY00625251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-01 12:43:00-02","NY","NYBG","625254","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina",NA,"R. O. Vanni","R. Reiss","148","1935","11","12","South America","Brazil","Paraná","Tibagi","Along river N and S and fields and waste places.","-50.4133","-24.5094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625254","NY00625254_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625252","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","R. O. Vanni","I. Mimura","235","1962","01","30","South America","Brazil","São Paulo","Sao José dos Campos","Ca. 7.3km SSE em linha reta da praça principal de Sao José dos Campos.","-45.88","-23.1703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=424231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625252","NY00625252_01",NA,"620","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1522966","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","A. P. Fortuna Perez","H. S. Irwin","25558","1970","01","28","South America","Brazil","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522966","NY01522966_01","crinita","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","625257","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina pardina","Mohlenbr.","M. B. Ferreira","L. Riedel","1563","1833","11",NA,"South America","Brazil","São Paulo","Taubaté",NA,"-45.5497","-23.0203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625257","NY00625257_01","pardina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:22:00-02","NY","NYBG","623582","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","pardina","Zornia pardina vichadana","Killip ex Mohl","A. P. Fortuna Perez","E. L. Sette Silva","629","1986","08","01","South America","Brazil","Roraima","Bonfim","Margem da estrada para o Cantá.","-60.58","2.83","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=103916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623582","NY00623582_01","vichadana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-08 11:09:00-03","UNESP-IBB","BOTU","14276","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Zornia","pardina","Zornia pardina","Mohlenbr.","Fortuna-Perez, A.P.","Bicudo, L.R.H.","733","1986","03","11",NA,"Brasil","São Paulo","Botucatu",NA,"-48.738611","-22.9",NA,"Quilha verde, alas e estandarte amarelos, estandarte com estrias avermelhadas na base","BOTU014276",NA,NA,NA,NA,"2014","10","48°44'19w","22°54's",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:42:19-03","EAO","IAN","11137","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","Ferreira, MB","Ducke, A","1602","1943","08","26","Southern America","Brasil","Roraima","Boa Vista","Boa Vista, campo alto.","-59.254167","0.737222",NA,"Flor amarela.","IAN011137","IAN011137 IAN011137_e","crinita",NA,NA,"1981","07","-59.254167","0.737222","20",NA,NA,NA,NA,NA,NA,NA
"15","2021-04-08 17:42:19-03","EAO","IAN","70362","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","Ferreira, MB","Black, GA","12545","1951","08","15","Southern America","Brasil","Roraima","Boa Vista","Boa Vista, campo em redor da cidade.","-59.254167","0.737222",NA,NA,"IAN070362",NA,"crinita",NA,NA,"1981","07","-59.254167","0.737222","20",NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:42:19-03","EAO","IAN","70299","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","Ferreira, MB","Black, GA","12479","1951","08","15","Southern America","Brasil","Roraima","Boa Vista","Boa Vista, campo em redor da cidade.","-59.254167","0.737222",NA,"Erva prostrada, flor amarela.","IAN070299",NA,"crinita",NA,NA,"1981","07","-59.254167","0.737222","20",NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:42:19-03","EAO","IAN","70925","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.","Ferreira, MB","Black, GA","13174","1951","09","01","Southern America","Brasil","Roraima",NA,"Rio Branco, campo da Fazenda Capela.","-59.254167","0.737222",NA,"Erva, com flor amarela.","IAN070925",NA,"crinita",NA,NA,"1981","07","-59.254167","0.737222","20",NA,NA,NA,NA,NA,NA,NA
"18","2021-04-08 17:42:19-03","EAO","IAN","138550","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina pardina","Mohlenbr.","Arroyo, MTK","Irwin, HS; Onishi, E","25952","1970","02","04","Southern America","Brasil","Minas Gerais",NA,"Serra da Anta, rocky hillside, recently burned over, mostly with cerrado, ca. 5 km NW. of Paracatú.",NA,NA,NA,"Herb with numerous decumbent, apically ascending, stems, to ca. 30cm long. Corolla yellow-orange, the standard and wings red at base.","IAN138550",NA,"pardina",NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-08 17:42:19-03","EAO","IAN","38644","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina vichadana","Mohlenbr.","Ferreira, MB","Pinkus, AS","20","1938","10","07",NA,"Guiana",NA,NA,"Waramadong, Kamarang River, upper mazaruni District.",NA,NA,NA,NA,"IAN038644","IAN038644 IAN038644_e IAN038644_e1","vichadana","2800","2800","1981","11",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:42:19-03","EAO","IAN","56170","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Zornia","pardina","Zornia pardina vichadana","Mohlenbr.","Mohlenbrock Jr, RH","Pinkus, AS","20","1938","09",NA,NA,"Guiana",NA,NA,"Waramadong, Kamarang River, upper mazaruni District.",NA,NA,NA,"Herb about 2ft. high, in sandy soil; petals yellow.","IAN056170",NA,"vichadana","2800","2800","1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:15:30-03","NBC","NL-BOTANY","L.3897197","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Zornia","pardina","Zornia pardina","Mohlenbr.",NA,"Pedersen TM",NA,"1991","03","19","Southern America","Brazil",NA,NA,"Brasilienses, Segredo, Mun. Carazinho, Rio Grande do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3897197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3897197","NL-L3897197",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"22","2020-02-08 09:15:30-03","NBC","NL-BOTANY","L.2002175","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.",NA,"Pedersen TM",NA,"1986","10","18","Southern America","Paraguay","Amambay",NA,"P.J. Caballero",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2002175 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2002175","NL-L2002175","crinita",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0252720",NA,NA,NA,NA,NA
"23","2020-02-08 09:15:30-03","NBC","NL-BOTANY","WAG.1054094","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Zornia","pardina","Zornia pardina crinita","Mohlenbr.",NA,"Pedersen TM",NA,"1986","10","18","Southern America","Paraguay","Amambay",NA,"P.J. Caballero",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1054094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1054094","NL-WAG1054094","crinita",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:15:30-03","NBC","NL-BOTANY","L.2002177","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Zornia","pardina","Zornia pardina pardina",NA,"Ferreira MB","Herzog T",NA,"1910","12","01","Southern America","Bolivia","Santa Cruz",NA,"Bolivia , In den Hugelcampos von Los Agnais bei Sta. Cruz",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2002177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2002177","NL-L2002177","pardina",NA,NA,"1980","12",NA,NA,"01","Magnoliopsidae","L 0416913",NA,NA,NA,NA,NA
