"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1522367","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","maritima","Myrcia maritima","O.Berg","J. S. Blanchet","3781","South America","Brazil","Bahia","Jacobina","S. Thomé","-40.5182991027832","-11.1806001663208","62396","sheet","[Additional locality information taken from label at P [MNHN-P-P00550522]] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751585' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522367","NY01522367_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:46:02-03","EAO","IAN","112499","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia","maritima","Myrcia maritima","Berg","Legrand, CDR; Lau, L","110373","Southern America","Brasil","Rio de Janeiro","Cabo Frio","Praia do Pontal.","-42.0186004638672","-22.8794002532959","40069",NA,NA,"IAN112499",NA,"auto","Legrand, CDR","1960","05","1953","04","30",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:06-03","UNICAMP","UEC","175003","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","Sanchez, M; Pedroni, F","710",NA,"Brazil","São Paulo","Ubatuba","Picinguaba","-44.812222","-23.311111",NA,NA,"Árvore s/ núm. com 5m de altura, com frutos.; Mata Atlântica de Encosta, Trilha do Corisco.","UEC089578","UEC089578",NA,"Meireles, LD","2013",NA,"1996","09","14","-44.812222","-23.311111","300","300",NA,NA,NA
"4","2021-03-01 16:36:06-03","UNICAMP","UEC","200751","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","Gomes, JAMA; Bernacci, LC; Santos, OA; Santos, S; Benedetti, FJ","402",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela (Parque Estadual da Serra do mar, núcleo Picinguaba).","-45.133953","-23.626383",NA,NA,"Árvore 8m alt., DAP 38.3 cm, vegetativa na ocasião.; Floresta Ombrófila Densa Submontana.","UEC160795","UEC160795",NA,"Monge, M","2017","09","2006","11","09","-45.133953","-23.626383","180","180",NA,NA,NA
"5","2021-03-01 16:36:06-03","UNICAMP","UEC","147694","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","Campos, MCR; Guilherme, FAG; Assis, MA; Mania, L","44",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba/PESM; Trilha da Casa da Farinha; parcela E, subparcela5.","-45.0699996948242","-23.4300003051758","34265",NA,"Indivíduo E0057, altura 7m.","UEC082371","UEC082371","auto","Meireles, LD","2013",NA,"2006","03","27",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:36:06-03","UNICAMP","UEC","173718","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","Sanchez, M; Pedroni, F","347",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-45.0699996948242","-23.4300003051758","34265",NA,"Árvore de 10 metros de altura, botões florais muito pilosos, de cor ferruginea-dourada, pétalas brancas.; Margens do Rio da Fazenda.","UEC089579","UEC089579","auto","Meireles, LD","2013",NA,"1992","11","22",NA,NA,NA,NA,NA,NA,NA
"7","2015-10-04 06:26:12-03","MNHN","RECOLNAT_MNHN_P","P00550522","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","maritima","Myrcia maritima","O.Berg","Blanchet",NA,NA,"Brésil",NA,NA,"Prov. Bahia, Jacobine",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00550522' target='other'> <mi>dwc_moreinfo</mi></a>","P00550522","P00550522_01",NA,NA,NA,NA,"1845",NA,NA,NA,NA,NA,NA,"3781",NA,NA
"8","2020-12-11 11:39:01-03","UFMG","BHCB","168752","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","Furlan, A","1078","Southern America","Brasil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, Trilha para a Rosa do Catarino.&nf;Picinguaba","-45.0699996948242","-23.4300003051758","34265",NA,"Árvore - 12 m de altura. Flores ferrugíneas - estames brancos.; Mata Atlântica","BHCB012874","BHCB012874","auto",NA,"2012",NA,"1989","12","09",NA,NA,NA,NA,NA,"Holotypus",NA
"9","2020-12-11 11:39:26-03","UFMG","BHCB","96489","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","maritima","Myrcia maritima","DC.","Lira, SS","408","Southern America","Brasil","Pernambuco","Tamandaré","Restinga de Ariquindá, Solo areno-argiloso. No interior da restinga.","-35.094167","-8.713611",NA,NA,"Arbusto com ca. 3m de alt.; botões florais marrom claro.","BHCB012982","BHCB012982",NA,NA,"2005",NA,"2002","10","30","-35.094167","-8.713611",NA,NA,NA,NA,NA
"10","2020-11-23 11:38:56-03","IAC","IAC","49047","S","Plantae",NA,NA,"Myrtaceae-2.Myrtoideae","Calyptranthes","maritima","Calyptranthes maritima","Sobral & Bertoncello","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos; S. Santos & F.J. Benedetti","402",NA,"Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080223","-23.373498",NA,NA,"subparcela 12, indivíduo G 267",NA,NA,NA,"L.D. Meireles","2017","09","2006","11","09","-45.080223","-23.373498",NA,NA,NA,NA,"15"
