"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","order","yearIdentified","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","individualCount","monthIdentified","class"
"1","2020-11-04 10:59:57-03","ESALQ","ESA","24732","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","Konno, T.","Harley, R.M. et al.","1994","02","20","Brasil","Bahia","Mucugê","-41.3708000183105","-13.0052995681763","52493","ESA024732","ESA024732","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-22 16:17:30-03","UFPB","JPB","33017","PreservedSpecimen","Plantae","Angiosperma","Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","Rapini, A","Rapini, A","2003","04","19","Brasil","Bahia","Rio de Contas","-41.866667","-13.383333",NA,NA,NA,NA,"Dicotyledon","2003","1057","Southern America","Serra da Mesa, caminho Mato Grosso - Itobira.&nf;Campo rupestre.","-41.866667","-13.383333","1500","1500","; DESC: Trepadeira. Cálice levemente vináceo próximo ao ápice, corola alva, corona vinácea, mais forte internamente, clareando para o ápice.",NA,NA,NA,NA
"3","2020-12-21 16:12:43-03","MBM","MBM","90828","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giulietianum","Metastelma giulietianum","Fontella","Fontella, J.","Hatschbach, G.; Kummrow, R.; Kummrow, R.","1984","06","16","Brazil","Bahia","Mucugê","-41.3708000183105","-13.0052995681763","52493","MBM090828","MBM090828","auto",NA,NA,"47985","Southern America","Mucugê, rodovia para Andaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:12:43-03","MBM","MBM","83209","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giulietianum","Metastelma giulietianum","Fontella","Fontella, J.","Hatschbach, G.","1983","05","16","Brazil","Bahia","Rio de Contas","-41.8114013671875","-13.5789003372192","49773","MBM083209","MBM083209","auto",NA,NA,"46469","Southern America","Rio de Contas, arredores",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2010-09-14 15:50:00-03","MO","MOBOT","1237508","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","J. Fontella P.","José R. Pirani|et al.","1981","7","21","Brazil","Bahia","Mucugê","-41.3708000183105","-13.0052995681763","52493",NA,NA,"auto",NA,NA,"Pirani 1669","South America","Margem da Estrada Andaraí-Mucugê, Estrada Nova â 4 km de Mucugê",NA,NA,NA,NA,NA,"Holotype","1",NA,NA
"6","2021-03-04 11:04:21-03","UFRB","HURB","24655","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","A.Rapini","Ribeiro, P.L.","2019","06","19","Brasil","Bahia","Catoles","-41.865583","-13.300722",NA,"HURB000024655","HURB000024655",NA,NA,"2019","693",NA,"Serra do Sumbaré; Guarda-mor","41º51'56,1W","13º18'2,6S",NA,NA,"trepadeira, botões brancos, folhas aveludadas",NA,NA,"07",NA
"7","2021-03-04 11:04:21-03","UFRB","HURB","24640","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","A.Rapini","Ribeiro, P.L.","2019","06","18","Brasil","Bahia","Rio de Contas","-41.838111","-13.437167",NA,"HURB000024640","HURB000024640",NA,NA,"2019","678",NA,"Mato Grosso; Ponto 2","41º50'17,2W","13º26'13,8S",NA,NA,"trepadeira, látex branco, folhas aveludadas, cártaceas, frutos jovens",NA,NA,"07",NA
"8","2020-09-12 05:00:02-03","US","US","3172522","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella",NA,"G. Hatschbach & R. Kummrow","1984","6","16","Brazil","Bahia",NA,NA,NA,NA,"US03258202","US03258202_01",NA,"Gentianales",NA,"47985","South America - Neotropics","Mucugê, rod. p/Andarai.",NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae"
"9","2019-11-13 11:15:10-03","USP","SPF","94971","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella","Rapini, A","Harley, RM","1994","02","20","Brasil","Bahia","Mucugê","-41.389444","-13.005833",NA,"SPF00094971",NA,NA,NA,"1999","CFCR14293",NA,"3-5 km N da cidade, em direção a Palmeiras. Campo rupestre, próximo ao Rio Moreira.","-41.389444","-13.005833",NA,NA,"Escandente com látex alvo; cálice verde com ápice vináceo; corola creme. Entre rochas.",NA,NA,NA,NA
"10","2019-11-13 11:15:10-03","USP","SPF","18541","PreservedSpecimen","Plantae",NA,"Apocynaceae","Metastelma","giuliettianum","Metastelma giuliettianum","Fontella",NA,"Pirani, JR; Cordeiro, I; Furlan, A; Semir, J; Menezes, NL; et al.","1981","07","21","Brasil","Bahia","Mucugê","-41.3708000183105","-13.0052995681763","52493","SPF00018541",NA,"auto",NA,NA,"CFCR1669",NA,"Margem da Estrada Andaraí-Mucugê, Estrada Nova a 4 km de Mucugê.",NA,NA,NA,NA,"Trepadeira, flores creme, com frutos.","type",NA,NA,NA
