"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","yearIdentified","locality","verbatimLongitude","verbatimLatitude","class","order","relatedCatalogItem","imagecode","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"1","2020-09-23 10:41:04-03","E","E","270711","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J.","804","1992","02","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282539","<a href=http://data.rbge.org.uk/herb/E00270711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:06-03","UFRJ","RFA","10469","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","G.G. Hatschbach","16100","1967","03","08",NA,"Brasil",NA,NA,"Erva, flor alva","RFA44440","L.B.Sm.","G.G. Hatschbach","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:18:25-03","UFBA","ALCB","032188","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J; Poliquesi, CB","804","1992","02","18","Southern America","Brasil",NA,NA,"Flor alva.; Solo rochoso; encosta de colina.",NA,"L.B.Smith.","Hatschbach, G","Paraná","Piên","-49.416667","-26.083333",NA,NA,"Dicotyledon","1992","Rodovia para Campinas.","-49.416667","-26.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:21:48-03","NBC","NL-BOTANY","L.2688984","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach GG",NA,"1960","02","04","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2688984 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2688984","L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Gentianales","L 0352127","NL-L2688984",NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:12:13-03","ESALQ","ESA","13855","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G. ; Silva, J.M.","53603.0","1989","11","08",NA,"Brasil",NA,NA,NA,"ESA013855","L.B. Smith","Hatschbach, G.","Paraná","Pien","-49.42919921875","-26.0981006622314","19924","auto","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,"ESA013855",NA,NA,NA,NA,NA,NA
"6","2016-02-02 14:38:30-02","BGBM","B","B 10 0146098","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro","804",NA,NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100146098 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100146098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100146098",NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:29:58-03","IAP","PACA-AGP","70022","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","D.B. Falkenberg","2644","1985","09","26",NA,"Brasil",NA,NA,"altura 03 m Habitat: cavernas pouco profundas Fenofase: flor branca Hábito: erva","PACA070022","L.B. Sm.","E.B. Miranda","RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","auto","Magnoliophyta","2007","Guaritas.",NA,NA,"Magnoliatae","Gentianales",NA,NA,"12","27",NA,NA,NA,NA
"8","2020-12-20 21:18:06-03","UFV","VIC","5021","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.","16100","1967","03","08",NA,"Brasil",NA,NA,"Erva flor alva, campo pedregosos.","VIC005021","L.B.Sm",NA,"Paraná","Pien","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0025891","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","G. G. Hatschbach; J. Moraes da Silva","53603","1989","11","8",NA,"Brazil",NA,NA,"PMC-SMMA 004; MS 67; flor alvascente, nervuras vinosas.",NA,"L.B. Sm.","F. J. Fernandez Casas","Parana",NA,"-49.421503","-26.096372",NA,NA,"Magnoliophyta",NA,"Pien, rod. para Campinas",NA,NA,NA,"Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:38:24-03","UFJF","CESJ","50872","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","C.B. Poliquesi; E. Barbosa; J. Cordeiro","694","2007","03","06","América do Sul","Brasil",NA,NA,"Erva, 30cm, flor alvacenta. Solo rochoso.","CESJ050872","L.B.Smith","J. Cordeiro","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto","Angiosperma","2007","Pedreira Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
