"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","scientificNameAuthorship","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2016-11-01 12:37:00-02","NY","NYBG","630735","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","M. A. Chase","8024","1924","12","23","South America","Brazil","Bahia","Paripe. Vicinity of Bahia, Bahia","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630735","NY00630735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 11:07:00-02","NY","NYBG","00862562","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","S. L. M. Moore","602","1891",NA,NA,"South America","Brazil","Mato Grosso","Iter Matogrossense",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862562","NY00862562_01","S. de Castro Boechat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1146941","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","R. Spruce","s.n.","1949","11",NA,"South America","Brazil","Pará","In vicinibus Santarem",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400572' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146941","NY01146941_01 NY01146941_02",NA,"(Lam.) Britton, Sterns & Poggenb.","-54.740486","-2.449614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","630737","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. Eiten","3486","1961","12","02","South America","Brazil","São Paulo","By ferry at Pôrto Pulador on the Rio Moji-Guaçu. 8.9 km due NNE of RR station at village of Santa Eudóxia","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630737","NY00630737_01","G. Davidse","(Lam.) Britton, Sterns & Poggenb.","-47.8897","-22.0103","Sao Carlos","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 16:50:00-02","NY","NYBG","884672","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. Gardner","1186","1837",NA,NA,"South America","Brazil","Pernambuco","Brasil. trop.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884672","NY00884672_01","S. de Castro Boechat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00862585","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Illegible collector name","s.n.",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,"sheet","Bongard [Collector's name ?] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862585","NY00862585_01","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1146947","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","16296","1971","11","22","South America","Brazil","Amazonas","Rio Purus between Arumã and Santa Luzia do Sacado.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399912' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146947","NY01146947_01 NY01146947_02",NA,"(Lam.) Britton, Sterns & Poggenb.","-62.2553587","-4.7403974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1146940","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","E. de Oliveira","3421","1965","09","29","South America","Brazil","Pará","Marajõ, Rio Genipapo, margem do igarapé da Faz. Tauá.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400597' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146940","NY01146940_01 NY01146940_02",NA,"(Lam.) Britton, Sterns & Poggenb.","-50.7972222","-3.3722222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1602183","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","R. S. Cowan","1255","1959","03","25","South America","Trinidad and Tobago",NA,"Trinidad. Oropouche Rice Lands.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1903846' target='other'> <mi>dwc_moreinfo</mi></a>","NY01602183","NY01602183_01",NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862586","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","C. E. O. Kuntze","s.n.","1892","08",NA,"South America","Brazil","Mato Grosso do Sul","Mattogrosso. Corumba.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862586","NY00862586_01","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.","-57.6531","-19.0094","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
