"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-04-05 14:33:19-03","UNESC","CRI","15094","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","R. Esteves","F. M. de B. Pereira","42948","2000","06","25","Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo.","-44.685","-22.265556","44º41'6''W","22º15'56''S","1680","1680","Arbusto, 3m de altura, 4cm de DAP, folha verde, flor branca, comum no local.","CRI014504","CRI014504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:15-03","E","E","417097","PreservedSpecimen","Plantae","Compositae","Vernonanthura","petiolaris","Vernonanthura petiolaris",NA,NA,"Gardner, George","478","1905","01","11","BR",NA,NA,"Organ Moutnains",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00417097 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00417097",NA,"unspecified kind of","E. Tropical South America","herbarium specimen of unspecif","BGBASE:446291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779587","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"A. C. Cervi","2366","1986","09","12","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva.","-48.72","-25.42",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779587","NY00779587_01",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","779585","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"S. G. Tressens","6380","1999","09","01","Argentina","Misiones","Guaraní","Predio Guaraní. Camino al ayo. Soberbio.","-54.25","-26.942",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779585",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","779586","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,NA,NA,"1901","05","21","Brazil",NA,NA,"Horto Botanico",NA,NA,NA,NA,NA,NA,"Ex. Herv. Museu Paulista s/no. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779586","NY00779586_01",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779588","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"A. C. Dias","4","1984","10","02","Brazil","São Paulo",NA,"Parque Estadual de Carlos Botelho, Instituto Florestal",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779588","NY00779588_01",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","779589","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"B. C. Kurtz","s.n.","1990","06","25","Brazil","Rio de Janeiro","Nova Friburgo","Reservba Ecologica Municipal de Macae de Cima, Sitio Fazenda Velha, rio Macae.","-42.05","-22",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779589","NY00779589_01",NA,"South America","sheet",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","274618","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris appendiculata","Baker",NA,"A. F. Regnell","Ser. III.655",NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274618","NY00274618_01","isotype","South America","sheet",NA,"Magnoliophyta","Asterales","appendiculata",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:06-03","UFRJ","RFA","24799","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","R. Esteves","F. M. de B. Pereira","ago-17","2000","06","25","Brasil","Minas Gerais","Itamonte","Fazenda Campo Redondo.","-44.701667","-22.265556","44º42'6''W","22º15'56''S","1680","1680","Arbusto, 3m de altura, 4cm de DAP, folha verde, flor branca, comum no local.","RFA37439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:06-03","UFRJ","RFA","22980","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris appendiculata","Baker","Graziela M. Barroso","F. Segadas-Vianna",NA,"1943","06","00","Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,"RFA39159",NA,NA,NA,NA,NA,NA,NA,"appendiculata","1964","09","21","19648","auto",NA,NA,NA
"11","2020-11-13 09:19:06-03","UFRJ","RFA","18421","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","Claudia Schuabb","Cézio Pereira","752","1977","08","13","Brasil","Rio de Janeiro","Itatiaia","Estrada Registro","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Arbusto de flores brancas","RFA15521",NA,NA,NA,NA,NA,NA,NA,NA,"2005","08","19","19648","auto",NA,NA,NA
"12","2020-06-29 11:29:23-03","UFRJ","RFA","12409","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","A.C.S. Fourny; A.C.M. Pereira; F.C. Souza","A.P. Duarte","4846","1959","06","16","Brasil","Rio de Janeiro","Rio de Janeiro","Estrada do Redentor","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"RFA11648",NA,NA,NA,NA,NA,NA,NA,NA,"2005","08","19","57442","auto",NA,NA,NA
"13","2020-11-13 09:19:06-03","UFRJ","RFA","15393","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","A.C.S. Fourny & A.S.M Pereira","P. Occhioni","6194","1974","09","14","Brasil","Rio de Janeiro","Itatiaia","KM 6 e 7 Estr. do Parque.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Arbu Habitat: Capoeira Habito: Arbusto","RFA13401",NA,NA,NA,NA,NA,NA,NA,NA,"2005","08","19","19648","auto",NA,NA,NA
"14","2021-04-08 17:37:11-03","EAO","IAN","8750","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.",NA,"Lhotsky","s.n.","1852",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN008750","IAN008750_f",NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:24:55-03","PUCPR","HUCP","21944","S","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"Selusniaki, M","2187","2008","07","14","Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,"12577","auto",NA,NA,NA
"16","2019-12-04 15:24:55-03","PUCPR","HUCP","13136","S","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Nakajima, JN","Medri, C","s.n.","1998","07","02","Brasil","Paraná","Nova Fátima",NA,"-50.5638999938965","-23.4321994781494",NA,NA,NA,NA,"Nº 23624.","HUCP00008668","HUCP00008668",NA,NA,NA,NA,"Eudicotiledonea",NA,NA,NA,NA,NA,"15159","auto",NA,NA,NA
"17","2020-11-26 18:07:15-03","CPAN-UFMS","COR","12500","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","B. Loeuille","Antônio Furlan, Oswaldo César, Sérgio Nereu Pagano, Ângelo Gilberto Manzatto.",NA,"1998","10","20","Brasil","São Paulo","São Paulo","Clube SESC - Interlagos, regiao metropolitana de São Paulo. Fragmento de Mata Atlântica; ;.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"18","2019-10-09 11:11:33-03","UFBA","ALCB","106102","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Simão-Bianchini, R","Búgola-Silva, F; Yang, AMK; Almeida-Scabbia, RJ","8222","2008","07","03","Brasil","São Paulo","Santo André","Subprefeitura de Paranapiacaba e Parque Andreense, Jardim Clube de Campo","-46.465556","-23.760278","-46.465556","-23.760278",NA,NA,"2,5m alt. Início de formação de botão, até flor aberta, de cor creme. Odor bom.",NA,NA,NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-25 16:50:25-03","UFBA","ALCB","126983","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Caxambu, MG","Caxambu, MG; Silva, AR","1660","2007","08","17","Brasil","Paraná","Campo Mourão","Parque Estadual do Lago Azul (PELA)","-52.318611","-24.105","-52.318611","-24.105",NA,NA,"entre 8-9 m de altura&nf;em pré-floração&nf;heliófita; Relevo: Suave-ondulado","ALCB045528","ALCB045528",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2017","09",NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:11:33-03","UFBA","ALCB","127000","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Caxambu, MG","Siqueira, EL; Gonçalves, DS","601","2012","09","27","Brasil","Paraná","Guarapuava","estrada próxima á Policia Rodoviária Federal","-51.251389","-25.368611","-51.251389","-25.368611",NA,NA,"ca. 5m, Heliófita, capítulos alvos; Relevo: ondulado","ALCB045531","ALCB045531",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2012","10",NA,NA,NA,NA,NA,NA
"21","2019-10-09 11:11:33-03","UFBA","ALCB","128965","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Guimaraes, EF; Mendes, TS","Baez, C; Rosa, P; Moraes, L; Lima, T; Muller, I; Girso","784","2016","08","10","Brasil","Rio de Janeiro","Nova Friburgo","Área de Proteção Ambiental de Macaé de Cima. Sítio Sophronites.","-42.524722","-22.436111","-42.524722","-22.436111","1146","1146","Folhas discolores. Frutos anemocóricos castanhos. heliófitas. Altura: 3 m.; Mata de encosta próxima ao Rio das Flores. Floresta Montana entre trechos de mata secundária e mais preservada.","ALCB046504","ALCB046504",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:11:33-03","UFBA","ALCB","15545","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Caxambu, MG","Caxambu, MG; et al.","3431","2011","09","01","Brasil","Paraná","Luiziana","Estação Ecológica Luiziana.","-52.461667","-24.520556","-52.461667","-24.520556","635","635","ca. 6 m, heliófita. Flores alvas.; Relevo ondulado.","ALCB045197","ALCB045197",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2011","09",NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:11:33-03","UFBA","ALCB","41265","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Caxambu, MG","Siqueira, EL; Sanglard, LA","291","2009","10","01","Brasil","Paraná","Campo Mourão","RPPN Ana Tramujas - Propriedade do Sr. Artur César Vigilato.","-52.433333","-24.2475","-52.433333","-24.2475",NA,NA,"ca. 6 m, heliófita. Flores alvascentas.; Relevo: suave-ondulado.","ALCB045251","ALCB045251",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2009","11",NA,NA,NA,NA,NA,NA
"24","2021-02-08 21:31:51-03","UFBA","ALCB","128109","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.","Caxambu, MG","Iwakura, L","s/n","2011","10","10","Brasil","São Paulo","Mogi das Cruzes","Parque Natural Municipal Francisco Affonso de Mello","-46.1883010864258","-23.5228004455566",NA,NA,NA,NA,"ca. 6 m&nf;heliófita&nf;capítulos de cor creme","ALCB045572","ALCB045572",NA,"Southern America",NA,NA,"Dicotyledon",NA,NA,"2012","02",NA,"28666","auto",NA,NA,NA
"25","2020-02-08 08:52:01-03","NBC","NL-BOTANY","U.1150347","PreservedSpecimen","Plantae","Compositae","Vernonanthura","petiolaris","Vernonanthura petiolaris","(DC.) H.Rob.",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Brazil",NA,NA,"Flora Braziliae Australis, Est. Rio de Janeiro, parque nacional do Itatiaia, near farm at foot of radio station.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1150347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1150347","NL-U1150347",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"26","2020-02-08 08:52:13-03","NBC","NL-BOTANY","L.3644496","PreservedSpecimen","Plantae","Compositae","Vernonia","petiolaris","Vernonia petiolaris","DC.",NA,"Pedersen TM",NA,"1966","06","16","Brazil",NA,NA,"Civ. S. Paulo, Munic. Cubatão: Paranapiacaba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3644496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3644496","NL-L3644496",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"27","2020-02-08 08:52:13-03","NBC","NL-BOTANY","L.3644497","PreservedSpecimen","Plantae","Compositae","Vernonia","petiolaris","Vernonia petiolaris","DC.",NA,"Sellow F",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3644497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3644497","NL-L3644497",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"28","2020-11-04 11:02:44-03","ESALQ","ESA","36730","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","Dematteis, M.","Rotta, E.","79.0","1979","07","11","Brasil","Paraná","Colombo",NA,"-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"ESA036730","ESA036730",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"13536","auto",NA,NA,NA
"29","2020-11-04 11:02:44-03","ESALQ","ESA","19513","PreservedSpecimen","Plantae","Asteraceae","Vernonia","petiolaris","Vernonia petiolaris","DC.","Dematteis, M.","Barreto, K.D. et al.","2613.0","1994","06","28","Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,"ESA019513","ESA019513",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,"30784","auto",NA,NA,NA
