"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","relatedCatalogItem","monthIdentified","dayIdentified","relationshipType","eventTime","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1801307","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D.Legrand","E. de Melo","2522","1998","11","09","South America","Brazil","Paraná","Campina Grande do Sul","BR-116, ca. 67 km N de Curitiba. Represa do Rio Capivari.","-48.8672","-25.1719","815","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2020250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801307","NY01801307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1288059","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D.Legrand","R. Reitz","2255","1954","11","04","South America","Brazil","Santa Catarina","Luiz Alves","Braço Joaquim","-48.941177","-26.748537","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1653406' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288059","NY01288059_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1015853","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D.Legrand","L. B. Smith","15750","1971","12","08","South America","Brazil","Santa Catarina",NA,"Boa Vista: 11 km west of Bella Vista do Sul.",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114891' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015853","NY01015853_01",NA,"L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","8364","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D.Legrand","G.G. Hatschbach; O. Guimarães","15250","1966","11","23",NA,"Brasil","Paraná","Campina Grande do Sul","Sítio do Belizário","-49.0553016662598","-25.3055992126465",NA,NA,"Árvore 10 m de altura; flor alva","RFA46866",NA,NA,"G.G. Hatschbach","55154","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 21:32:50-03","UFBA","ALCB","124718","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D. Legrand","Prieto, PV","s/n","2013","11","03","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","Área de Proteção Ambiental de Macaé de cima, Sítio do Cedro.","-42.440278","-22.366944","865",NA,"ca. 14 m alt. Tronco liso, marrom claro comritidoma esfoliante. Em botão.","ALCB060851",NA,NA,"Tuler, AC",NA,NA,"2014","-42.440278","-22.366944","865",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L 0009539","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","Le Grand","Reitz R; Klein RM",NA,"1954","11","04","Southern America","Brazil","Santa Catarina",NA,"Braço Joaquim, Luis Alves.",NA,NA,NA,NA,"Mata.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200009539 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0009539","NL-L0009539","isotype","Legrand CMDE",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","961290618",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:07:35-03","NBC","NL-BOTANY","L.2519308","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","Le Grand","Reitz R; Klein RM",NA,"1958","01","28","Southern America","Brazil",NA,NA,"Santa Catarina, Sabiá, Vidal Ramos.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2519308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2519308","NL-L2519308",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:24-03","JBP","HPL","10415","S","Plantae",NA,NA,"Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum",NA,"R. Tsuji & A. Campos-Rocha","2296","2007","10","19",NA,"Brasil","PR","São Mateus do Sul","Coletado nas proximidades do município de São Mateus do Sul, sentido Curitiba.","-50.3828","-25.8742",NA,NA,NA,NA,NA,NA,"R. Tsuji","31353","auto","2007",NA,NA,NA,NA,NA,"10","19",NA,NA,NA,NA
"9","2015-07-02 14:03:24-03","JBP","HPL","9533","S","Plantae",NA,NA,"Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum",NA,"R. Tsuji","2304","2007","11","15",NA,"Brasil","PR","São Mateus do Sul","Coletado nas proximidades do município de São Mateus do Sul.","-50.3828","-25.8742",NA,NA,NA,NA,NA,NA,"R. Tsuji","31353","auto","2007",NA,NA,NA,NA,NA,"11","15",NA,NA,NA,NA
"10","2016-02-02 14:38:41-02","BGBM","B","B 10 0279302","S","Plantae",NA,NA,"Myrtaceae","Psidium","longipetiolatum","Psidium longipetiolatum","D.Legrand","Reitz & Klein","2255","1954","11","04","Middle and South America","Brazil",NA,NA,"Branco Joaquim, Luis Alves.",NA,NA,"350",NA,"<a href=http://herbarium.bgbm.org/object/B100279302 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100279302","B100279302","isotype",NA,NA,NA,NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA
