"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","locality","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:41:41-03","E","E","373436","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri","isotype","Gardner, George","5596","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:431398","<a href=http://data.rbge.org.uk/herb/E00373436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00373436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","66853","PreservedSpecimen","Plantae","Myristicaceae","Myristica","gardneri","Myristica gardneri","type","G. Gardner","5596","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00066853","Magnoliophyta","Magnoliales","A.DC.","Unspecified Determiner","1836","Brasilia","NY00066853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","533332","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"L. Riedel",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533332","Magnoliophyta","Magnoliales","(A.DC.) Warb.","A. C. Smith",NA,"{From protologue: Ad Serra da Piedade]","NY00533332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533327","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"L. A. Mattos Silva","3354","South America","Brazil","sheet",NA,"Coleta de sementes para o Projeto Horto, Lote no. 92. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533327","Magnoliophyta","Magnoliales","(A.DC.) Warb.",NA,"1996","Distrito de Castelo Novo. Fazenda Almada. Coletas no Km 4 na estrada para a Estaçao Experimental do Almada e o Povoado de Ribeira das Pedras. Entrada no Km 20 da Rod. Ilheús/Uruçuca.",NA,"02","08","Bahia","Ilhéus","-39.0492","-14.7892","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00894015","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"K. B. Strier","726","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894015","Magnoliophyta","Magnoliales","(A.DC.) Warb.","J. A. Kallunki","1983","Atlantic forest, Caratinga, Estaçao Biológica de Caratinga.","NY00894015_01","08","11","Minas Gerais",NA,"-41.83","-19.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2447091","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"J. L. Paixão","170","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2345398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02447091","Magnoliophyta","Magnoliales","(A.DC.) Warb.","J. P. Janovec; T. Franklin","2002","Rod. Jussari/Palmira. Entrada ca. 7,5 km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso.","NY02447091_01","03","29","Bahia","Jussari","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","533330","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"G. M. Nunes","22534","South America","Brazil","sheet",NA,"27 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409992' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533330","Magnoliophyta","Magnoliales","(A.DC.) Warb.","A. C. Smith","1928","Posse, Avellar","NY00533330_01","03",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","533326","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"W. W. Thomas","7388","South America","Brazil","sheet",NA,"Parcel: 13. Tree #494. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533326","Magnoliophyta","Magnoliales","(A.DC.) Warb.","W. W. Thomas","1991","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","NY00533326_01","07","01","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00533333","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"K. B. Strier","726","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533333","Magnoliophyta","Magnoliales","(A.DC.) Warb.","J. A. Kallunki","1983","Atlantic forest, Caratinga, Estaçao Biológica de Caratinga.","NY00533333_01","08","11","Minas Gerais",NA,"-41.83","-19.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2482043","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"S. de V. A. Pessôa","545","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2743551' target='other'> <mi>dwc_moreinfo</mi></a>","NY02482043","Magnoliophyta","Magnoliales","(A.DC.) Warb.",NA,"1991","Reserva Ecológica Municipal de Macaé de Cima, estrada entre Hotel Fazenda São João.","NY02482043_01","01","16","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","533331","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"W. A. Ducke","25105","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533331","Magnoliophyta","Magnoliales","(A.DC.) Warb.",NA,"1934","Jard. Botanico do Rio de Janeiro.","NY00533331_01","03",NA,"Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02674896","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"D. Piotto","2222","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671208' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674896","Magnoliophyta","Magnoliales","(A.DC.) Warb.","D. Piotto","2010","Parque Est. Serra do Conduru","NY02674896_01","06","10","Bahia","Uruçuca","-39.08","-14.42","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","533325","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"A. M. Amorim","1341","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533325","Magnoliophyta","Magnoliales","(A.DC.) Warb.","W. A. Rodrigues","1993","Reserva Biológica do Mico-leao (Ibama). Entrada no km 46 da Rod. BA-001 Ilheús/Una. Regiao da Mata Higrófila Sul Baiana.","NY00533325_01","09","13","Bahia","Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03066039","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"R. C. Araujo","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287087' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066039","Magnoliophyta","Magnoliales","(A.DC.) Warb.",NA,"2013","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.","NY03066039_01","04","04","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1039064","PreservedSpecimen","Plantae","Myristicaceae","Virola","gardneri","Virola gardneri",NA,"C. M. B. Correia","316","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481243' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039064","Magnoliophyta","Magnoliales","(A.DC.) Warb.","C. M. B. Correia; H. C. de Lima","1992","Estação Ecológica Estadual de Paraíso. Área próxima parc. 15-D. Área FP43.","NY01039064_01","03","21","Rio de Janeiro","Guapimirim","-42.883","-22.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
