"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","132850","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","trichoneura","Psychotria trichoneura","Müll.Arg.","type","G. Gardner","4732","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","Shuttl. 1842. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132850","NY00132850_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","132851","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","trichoneura","Psychotria trichoneura","Müll.Arg.","type","G. Gardner","4732","South America","Brazil","Minas Gerais","Gold District","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135620' target='other'> <mi>dwc_moreinfo</mi></a>","NY00132851","NY00132851_01","1836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-30 18:32:51-03","UFJF","CESJ","23210","PreservedSpecimen","Plantae","Angiosperma",NA,"Rubiaceae","Psychotria","trichoclada","Psychotria trichoclada","Müll.Arg.",NA,"L. Krieger; et al.","FPNC542","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Vale Verde",NA,"Arbusto, à beira do ribeirão. Inflorescências capitadas, com brácteas creme.","CESJ023210",NA,"1988","D. Zappi","2001","09","03","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-06 10:17:17-03","UFOP","OUPR","30697","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pira, J.C.; Echternacht, L.; Pedrosa, L.G. & Dias, J.V.","18",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Estrada entre portaria e Fazenda do Manso, em frente a bifurcação das estradas.",NA,"Arbusto, 1,2 - 1,7 m. Brácteas escarlate.; Borda de mata bem preservada. Sub-bosque de floresta estacional.",NA,NA,"2018","Echternacht, L.","2018","10","02","10","02","Ouro Preto","-43.514572","-20.427156","-43.514572","-20.427156","1378","1378",NA,NA,NA,NA,NA,NA
"5","2020-03-12 10:29:33-03","UFOP","OUPR","33491","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Araújo-Silva, V.; Echternacht, L. & Souto, D.A.","1",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Fazenda do Manso, na beira da estrada que leva a Trilha do Forno, após o ponto de acesso das escadas.",NA,"Arbusto ca. 1,5 m. Brácteas avermelhadas, flores jovens com pétalas brancas, as maduras bege. Floresta Atlântica Semidecidual, solo amarelado.",NA,NA,"2019","Araújo-Silva, V.","2019","12","12","10","09","Ouro Preto","-43.506944","-20.428611","-43.506944","-20.428611","1342","1342",NA,NA,NA,NA,NA,NA
"6","2020-03-12 10:29:33-03","UFOP","OUPR","33986","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Veliz, C.D.B.; Pedrosa, L.G. & Cota, A.A.B.","8",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Pelo sumidouro da Trilha do Forno.",NA,"Rasteira, 50cm. Brácteas de cor vermelha. Floresta úmida atlântica",NA,NA,"2018","Pedrosa, L.G.","2018","11","15","11","15","Ouro Preto","-43.506111","-20.425833","-43.506111","-20.425833","1355","1355",NA,NA,NA,NA,NA,NA
"7","2020-03-12 10:29:33-03","UFOP","OUPR","35083","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","39",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Entrada da Trilha para o Pico Itacolomi.",NA,"Arbusto com ca de 1,5 - 2m, com cálice escarlate e flores brancas. Folhas verdes com venação evidente",NA,NA,"2019","Pira, J.C.","2019","03","07","03","07","Ouro Preto","-43.498056","-20.425","-43.498056","-20.425","1493","1493",NA,NA,NA,NA,NA,NA
"8","2020-03-12 10:29:33-03","UFOP","OUPR","35095","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pira, J.C.; Rosa, R.M.S.","51",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha do Pico Itacolomi próxima a Pedra do Porco.",NA,"Arbusto com ca 1-1,5 com folhas verdes e venação evidente. Em afloramentos rochoso entre fenda, cercado por herbáceas, rupícolas e arvoretas.",NA,NA,"2019","Pira, J.C.","2019","04","12","04","12","Ouro Preto","-43.489722","-20.4325","-43.489722","-20.4325","1616","1616",NA,NA,NA,NA,NA,NA
"9","2019-11-06 09:57:30-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Badini, J.","s.n.",NA,"Brasil","Minas Gerais","Serra do Itacolomi",NA,"Subarbusto, flores brancas. Mata.",NA,NA,"1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-12 10:29:33-03","UFOP","OUPR","35109","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pira, J.C.; Echternacht, L. & Rosa, R.M.S.","65",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Trilha para Sertão.",NA,"Arbusto ca de 80 cm, com flores alvas e escarlates. Em fenda com solo húmido sob paredões.",NA,NA,"2019","Pira, J.C.","2019","05","03","05","03","Ouro Preto","-43.455278","-20.428056","-43.455278","-20.428056","1383","1383",NA,NA,NA,NA,NA,NA
"11","2019-11-06 09:57:30-03","UFOP","OUPR","31907","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pedrosa, L.G.","776",NA,"Brasil","Minas Gerais","Água Fria",NA,"Subarbusto, ca. 1,5m. Flores alvas, brácteas vermelhas. Capão de mata.",NA,NA,"2018","Pedrosa, L.G.","2018","09","12","09","12","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"12","2019-11-06 09:57:30-03","UFOP","OUPR","16457","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Rochelle, A.L.C.","122",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas, Camarinhas.",NA,"Erva. Mata.",NA,NA,"2003","Veliz, C.D.B.","2019","06",NA,"04","14","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"13","2019-11-06 09:57:30-03","UFOP","OUPR","9539","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Santos, V.R.L.","19",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas, Topo do Véu da Noiva.",NA,"Arbusto, 3m, umbrófila, rupícola. Campo sujo.",NA,NA,"1999",NA,NA,NA,NA,"10","17","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"14","2019-11-06 09:57:30-03","UFOP","OUPR","9551","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Nogueira, R.E.","51",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas, Trilha que desce para Cachoeira do Véu da Noiva.",NA,"Erva. Barranco úmido (mata umbrófila).",NA,NA,"1999",NA,NA,NA,NA,"09","05","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"15","2019-11-06 09:57:30-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Lisboa, M.A.","s.n.",NA,"Brasil","Minas Gerais","Campo Grande",NA,"Ex Herb. Escola de Minas n. 2714.",NA,NA,"1972",NA,NA,NA,NA,"05","02","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"16","2019-11-06 09:57:30-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Badini, J.","s.n.",NA,"Brasil","Minas Gerais","Campo Grande",NA,"Subarbusto, flores brancas. Campo.",NA,NA,"1972",NA,NA,NA,NA,"05","01","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"17","2019-11-06 09:57:30-03","UFOP","OUPR","7395","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Silva, J.L.","s.n.",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi",NA,"Subarbusto 60cm, brácteas róseas. Campo.",NA,NA,"1998",NA,NA,NA,NA,"08","28","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"18","2020-03-12 10:29:33-03","UFOP","OUPR","34540","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Pedrosa, L.G.","2008",NA,"Brasil","Minas Gerais","Ravina do S",NA,"Subarbusto. Flores alvas. Capão de mata alterado.",NA,NA,"2019","Pedrosa, L.G.",NA,NA,NA,"09","22","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"19","2019-11-06 09:57:30-03","UFOP","OUPR","9550","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Maia, F.V.","11",NA,"Brasil","Minas Gerais","São Bartolomeu, Próximo à Cachoeira.",NA,"Erva, 50cm, flores brancas, brácteas roxas. Mata ripária.",NA,NA,"1999","Veliz, C.D.B.","2019","06",NA,"10","04","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"20","2019-11-06 09:57:30-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Badini, J.","s.n.",NA,"Brasil","Minas Gerais","Serra de Ouro Preto",NA,"Subarbusto, flores brancas. Campo.",NA,NA,"1940",NA,NA,NA,NA,"10","25","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"21","2019-11-06 09:57:30-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Badini, J.","s.n.",NA,"Brasil","Minas Gerais",NA,NA,"Subarbusto, flor roxa. Mata.",NA,NA,"1938","Badini, J.","1938",NA,NA,NA,NA,"Ponte Nova","-42.9085998535156","-20.4164009094238",NA,NA,NA,NA,"16921","auto",NA,NA,NA,NA
"22","2021-02-12 18:12:30-03","UFES","VIES","946","S","Plantae",NA,NA,"Rubiaceae","Psychotria","paludosa","Psychotria paludosa","Müll.Arg.",NA,"Santos, G.F.","s.n.",NA,"Brasil","Espírito Santo","Reserva Biológica de Nova Lombardia.",NA,NA,"VIES000946","VIES000946","1985","F. Torres-Leite","2019","05","16","12","27","Santa Teresa","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA
"23","2013-12-03 19:00:38-02","MNHN","RECOLNAT_MNHN_P","P02428012","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Psychotria","trichoclada","Psychotria trichoclada","Müll.Arg.","syntype","Vauthier, A.-C.",NA,NA,"Brésil",NA,"Minas Geraes, Villa Rico","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428012' target='other'> <mi>dwc_moreinfo</mi></a>","P02428012","P02428012_01","1833","Müller Argoviensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221",NA,NA,NA
"24","2003-03-18 13:29:03-03","MNHN","RECOLNAT_MNHN_P","P02428013","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Psychotria","trichoclada","Psychotria trichoclada","Müll.Arg.","syntype","Vauthier, A.-C.",NA,NA,"Brésil",NA,"Minas Geraes, Villa Rico","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02428013' target='other'> <mi>dwc_moreinfo</mi></a>","P02428013","P02428013_01","1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"221",NA,NA,NA
