"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordedBy","recordNumber","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:43:19-03","E","E","277503","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:326291","<a href=http://data.rbge.org.uk/herb/E00277503 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00277503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:19-03","E","E","259472","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:270869","<a href=http://data.rbge.org.uk/herb/E00259472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259472","isotype","Martius","102","Minas Gerais","[In acumine montis Corcovado. - On peak of mount Corcovado].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","374819","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374819",NA,"B. Rambo","45903","Rio Grande do Sul","Lagoa dos Quadros p. Torres","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1950","11","21","Torres","-49.7267","-29.3356","NY00374819_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","374811","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374811",NA,"G. Martinelli","10284","Rio de Janeiro","III Distrito, Paraiso, Centro de Primatologia do RJ","Magnoliophyta","Ericales","Mart.",NA,"1984","11","08","Magé","-43.0406","-22.6531","NY00374811_01","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","374824","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374824",NA,"R. M. Harley","17559","Bahia","Near the mouth of the Rio de Contas.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1974","03","31","Itacaré","-38.991009","-14.275193","NY00374824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886494","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886494",NA,"P. Fiaschi","2542","Bahia","RPPN Salto Apepique. Rodovia Ilhéus-Itacaré, na altura do km 20 (Ponta do Tulha), entrada à esq., rumo ao Retiro. Estrada de acesso à RPPN.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","2004","09",NA,"Ilhéus","-39.0769261","-14.589398","NY00886494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374807","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374807",NA,"B. D. Sucre","4352","Rio de Janeiro","Morro da Agualhinha de Inhangá, Copacabana","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1969","01","11","Rio de Janeiro","-43.2075","-22.9031","NY00374807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374812","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374812",NA,"L. Riedel","1223","Rio de Janeiro",NA,"Magnoliophyta","Ericales","Mart.","A. Cronquist","1832",NA,NA,NA,NA,NA,"NY00374812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00374820","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374820",NA,"Y. E. J. Mexia","5427","Minas Gerais","Fazenda de Engenho; off Viçosa road.","Magnoliophyta","Ericales","Mart.","A. Cronquist","1930","12","19","Viçosa","-42.8817","-20.7542","NY00374820_01","730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","719858","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719858",NA,"L. C. Santos","13","São Paulo","Subprefeitura de Paranapiacaba e Parque Andreense, Pq. Nascentes de Paranpiacaba, trilha da Comunidade","Magnoliophyta","Ericales","Mart.",NA,"2008","03","06","Santo André","-46.287717","-23.769525","NY00719858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","374805","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374805",NA,"J. P. P. Carauta","2344","Rio de Janeiro","Pedra da Gávea, Chaminé dos Porcos, cerca de 750 M/s.m.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1977","11","26","Rio de Janeiro","-43.28","-22.98","NY00374805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","273423","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273423","isotype","Martii Herbar. Florae Brasil.","102","Rio de Janeiro","In acumine montis Corcovado prope Rio de Janeiro","Magnoliophyta","Ericales","Mart.",NA,NA,NA,NA,"Rio de Janeiro","-43.212143","-22.951524","NY00273423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","374810","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374810",NA,"M. A. Nadruz Coelho","7","Rio de Janeiro","Paraiso, Centro de Primatologia. Quadrat IV","Magnoliophyta","Ericales","Mart.",NA,"1984","12","18","Magé","-43.0406","-22.6531","NY00374810_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","374825","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374825",NA,"R. M. Harley","175530","Bahia","Ca. 6 km. S.W. of Itacaré, on side road, by small dam and hydroelectric generator by river. South of the mouth of the Rio de Contas","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1974","03","30",NA,"-39.05","-14.32","NY00374825_01",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","374815","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374815",NA,"L. Riedel","503",NA,"Brasilia","Magnoliophyta","Ericales","Mart.","A. Cronquist",NA,NA,NA,NA,NA,NA,"NY00374815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
