"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","barcode","imagecode","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","previousCatalogNumber"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3872","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","4235","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta","254","Carlos Alberto Ferreira Júnior","2017","11","29","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","4239","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta","254","Carlos Alberto Ferreira Júnior","2017","11","29","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547346","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334603' target='other'> <mi>dwc_moreinfo</mi></a>","E. A. Christenson",NA,NA,NA,NA,"Rchb.f.","Martii Herbar. Florae Brasil.","563","1839","South America","Brazil","Brasilia","sheet","NY00547346","NY00547346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547345","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334604' target='other'> <mi>dwc_moreinfo</mi></a>","F. W. L. Kraenzlin",NA,NA,NA,NA,"Rchb.f.","P. K. H. Dusén","9244","1910","South America","Brazil","Alexandra","sheet","NY00547345","NY00547345_01","01","08","Paraná","Paranaguá","-48.631716","-25.548936",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:38-03","PUCPR","HUCP","20502","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta",NA,"Kersten, RA",NA,NA,NA,NA,"Rchb. f.","Kersten, RA","1372","2009",NA,"Brasil",NA,NA,"HUCP00006639","HUCP00006639","09","29","Paraná","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:39-03","ESALQ","ESA","76856","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta",NA,"Forster, W.",NA,NA,NA,NA,NA,"Sztutman, M. et al.","89.0","1999",NA,"Brasil",NA,NA,"ESA076856","ESA076856","01","05","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-04 12:17:39-03","ESALQ","ESA","62069","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta",NA,"Forster, W.",NA,NA,NA,NA,"Rchb.f.","Gorenstein, M.R. et al.","27.0","1999",NA,"Brasil",NA,NA,"ESA062069",NA,"01","06","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-04 12:17:39-03","ESALQ","ESA","29552","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta",NA,"van den Berg, C.",NA,NA,NA,NA,"Rchb.f.","Ivanauskas, N.M. et al.","24.0",NA,NA,"Brasil",NA,NA,"ESA029552",NA,NA,NA,"São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 12:17:39-03","ESALQ","ESA","76866","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Rodriguezia","venusta","Rodriguezia venusta",NA,"Forster, W.",NA,NA,NA,NA,"Rchb.f.","Godoy, J.R.L. et al.","93.0","1999",NA,"Brasil",NA,NA,"ESA076866","ESA076866","01","11","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto",NA,NA,NA,NA,NA,NA
