"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","class","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12952","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","Alexandre Medeiros","2018","01","19","Alexandre Medeiros","2018","01","19","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 842. Flores verdes. Habitat: Terrestre Habito: Herbácea","CRI011560","CRI011560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557650","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","A. D. Hawkes",NA,NA,NA,"A. E. Lawrence","1932","05","26","Colombia","Boyacá",NA,"Region of Mt. Chapon, extreme western part of Dept. Boyaca, north of Bogota",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557650","NY00557650_01","Magnoliophyta","Asparagales","121","South America","1066.8","1066.8","sheet",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","547547","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","A. Gehrt",NA,NA,NA,"M. Kuhlmann","1926","02","02","Brazil","São Paulo","Sao Paulo","Parque Jabaquara","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547547","NY00547547_01","Magnoliophyta","Asparagales","27068","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557651","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","G. A. Romero",NA,NA,NA,"R. S. Williams","1902","03","08","Bolivia",NA,NA,"Apolo","-68.41692","-14.720389",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557651","NY00557651_01","Magnoliophyta","Asparagales","49","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547550","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","G. A. Romero",NA,NA,NA,"T. C. Plowman","1980","02","10","Brazil","Pará","Conceição do Araguaia","Range of low hills ca. 20 km west of Redencao, near Corrego Sao Joao and Troncamento Santa Teresa.","-50.17","-8.05",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547550","NY00547550_02","Magnoliophyta","Asparagales","8641","South America","350","620","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","547548","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1970","01","18","Brazil","Paraná","Mandirituba","Rio do Mauricio","-49.3258","-25.7792",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547548","NY00547548_01","Magnoliophyta","Asparagales","25981","South America","900","900","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","547549","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"G. G. Hatschbach","1974","01","25","Brazil","Paraná","Cerro Azul","Morro Grande","-49.2608","-24.8236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547549","NY00547549_01","Magnoliophyta","Asparagales","33761","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","04088637","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.",NA,NA,NA,NA,"R. S. Williams","1902","03","11","Bolivia","La Paz","Franz Tamayo",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4406090' target='other'> <mi>dwc_moreinfo</mi></a>","NY04088637",NA,"Magnoliophyta","Asparagales","49","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557652","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"A. L. Woolston","1960","01","17","Paraguay","San Pedro",NA,"Alto Paraguay: Primavera",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557652","NY00557652_01","Magnoliophyta","Asparagales","1167","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","30824","PreservedSpecimen","Plantae","Orchidaceae","Galeandra","beyrichii","Galeandra beyrichii","Rchb.f.",NA,NA,NA,NA,"Amaral Jr., A.","1972","01","21",NA,NA,NA,NA,NA,NA,"9999","9999",NA,"BOTU030824",NA,NA,NA,"1388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
