"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","467956","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","estrellense","organense","Stephanopodium estrellense organense","Rizzini","isotype","A. Barbosa","62","1949","03","15","South America","Brazil","Rio de Janeiro","Matas do Rio Jacó, na Serra dos Orgaos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=293711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00467956","NY00467956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018091","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"S. J. da Silva Neto","585","1995","11","18","South America","Brazil","Rio de Janeiro","Proximo ao riacho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018091","NY01018091_01","Nova Iguaçú","-43.4508","-22.7594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","467959","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","sessiliflorum",NA,"Stephanopodium sessiliflorum","Rizzini","isotype","J. G. Kuhlmann","Herb. No.73047","1948",NA,NA,"South America","Brazil","Rio de Janeiro","GB. Rio de Janeiro, Horto Florestal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=448761' target='other'> <mi>dwc_moreinfo</mi></a>","NY00467959","NY00467959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:05:58-03","ESALQ","ESA","114833","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense",NA,NA,"Campos, M.C.R.","859.0","2006","07","17",NA,"Brasil","São Paulo",NA,NA,NA,"ESA114833","ESA114833","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:34:05-03","UFJF","CESJ","56234","PreservedSpecimen","Plantae","Angiosperma",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baillon",NA,"G. Martinelli; E.Dacin; J.Hatton","10006","1984","10","11","América do Sul","Brasil","Rio de Janeiro","Centro de Primatologia do Rio de Janeiro - FEEMA, 3º Distrito, Paraiso. Elev.: 200m.",NA,"N.v.: Canela. Mata pluvial costeira. Árvore com 8 cm de diâmentro de tronco, 8 m alt., folhas discolores, flores e botões verde-amarelados. Quadrt II, árvore 184.","CESJ056234",NA,"Magé","-43.040599822998","-22.6527996063232","20531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:28:51-03","UNICAMP","UEC","200670","S","Plantae","Magnoliopsida",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"Pereira, LS; Belinello, R; Padgurschi, MCG","N217","2009","10","27",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar",NA,"Parcela N - Projeto Biota-FAPESP. Árvore com 9 metros de altura. Frequência da espécie na parcela: n=6; Mata Atlântica","UEC158021","UEC158021","São Luiz do Paraitinga","-45.183333","-23.4",NA,NA,"Tamashiro, JY; Pereira, LS","-45.183333","-23.4","990","1045",NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:10:29-03","UNICAMP","UEC","147786","S","Plantae","Magnoliopsida",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"Campos, MCR; Belinello, R","945","2006","07","17",NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar, Parcela E na Trilha do Corisco (Projeto Temático Biota Gradiente Funcional)",NA,"indivíduo E1265, altura 4m","UEC044208","UEC044208","Picinguaba",NA,NA,NA,NA,"Sobral, M",NA,NA,NA,NA,"2007","09",NA,NA,NA,NA
"8","2021-03-01 16:28:51-03","UNICAMP","UEC","175016","S","Plantae","Magnoliopsida",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"Pedroni, F; Sanchez, M; Laps, RR; Bellinelo, R","1423","1996","09","15",NA,"Brazil","São Paulo","Picinguaba. Próximo a trilha do Corisco.",NA,"Árvore 292com 19m de altura, com botões.; Mata Atlântica de Encosta.","UEC029628","UEC029628","Ubatuba","-44.835","-23.336667",NA,NA,"Sanchez, M","-44.835","-23.336667","120","120",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:28:51-03","UNICAMP","UEC","175046","S","Plantae","Magnoliopsida",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"Pedroni, F; Belinello, R; Sanchez, M; Laps, RR","1477","1997","02","04",NA,"Brazil","São Paulo","Bairro Picinguaba.",NA,"Árvore 57 com 7m de altura, vegetativo.; Mata Atlântica de Encosta, Mroro do Corisco.","UEC029655","UEC029655","Ubatuba","-44.812222","-23.311111",NA,NA,"Sanchez, M","-44.812222","-23.311111",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:28:51-03","UNICAMP","UEC","200121","S","Plantae","Magnoliopsida",NA,"Dichapetalaceae","Stephanopodium","estrellense",NA,"Stephanopodium estrellense","Baill.",NA,"Padgurschi, MCG; Belinello, R","M1880","2009",NA,NA,NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar",NA,"Parcela M - Projeto Biota-FAPESP. Árvore com 7 metros de altura. Frequência da espécie na parcela: n=10","UEC177669","UEC177669","São Luiz do Paraitinga","-45.183333","-23.4",NA,NA,NA,"-45.183333","-23.4","990","1045",NA,NA,NA,NA,NA,NA
