"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","typeStatus","fieldNumber","relatedCatalogItem","sex"
"1","2021-04-05 14:25:26-03","UNESC","CRI","12613","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","Aline Votri Guislon & Renato colares","2017","09","18","Alexandre Medeiros","2017","06","20","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleirinho.","-48.592778","-27.0525","48º35'34''W","27º3'9''S","Coleta 461. Fruto verde.","CRI010827","CRI010827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:10-03","E","E","202840","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,NA,NA,NA,NA,"Lewis, G.P.; Klitgaard, M.B.","1996","07","05","EC",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00202840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202840",NA,"2408","W. Tropical South America","herbarium specimen of unspecif","BGBASE:217328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","305951","PreservedSpecimen","Plantae","Loranthaceae","Struthanthus","acutifolius","Struthanthus acutifolius","(Ruiz & Pav.) Blume","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","03","13","Bolivia","Santa Cruz","Florida","Along pipeline and dirt road between Bermejo and the antennas on Cerro Herradura, 4.7 km from turnoff from highway from Santa Cruz to Samaipata, 2.5 km (by air) NE of Bermejo.","-63.62","-18.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00305951",NA,"48651","South America","sheet",NA,"Magnoliophyta","Santalales","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01022177","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"H. S. Irwin","1969","01","15","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 27 km S.W. of Diamantina on road to Gouveia","-43.69275","-18.4205",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137868' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022177","NY01022177_01","22035","South America","sheet",NA,"Magnoliophyta","Santalales","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 13:56:00-03","NY","NYBG","644651","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"A. Goldberg",NA,NA,NA,"R. Reitz","1957","10","18","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644651","NY00644651_01","5210","South America","sheet",NA,"Magnoliophyta","Santalales","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 23:28:00-03","NY","NYBG","01022198","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"A. Macedo","1948","12","08","Brazil","Goiás","Jataí","Queixada.","-51.7142","-17.8817",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138674' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022198","NY01022198_01","1452","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 23:28:00-03","NY","NYBG","01022185","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"J. Kuijt",NA,NA,NA,"E. P. Heringer","1980","11","27","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137930' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022185","NY01022185_01","5804","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 23:28:00-03","NY","NYBG","01022182","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"J. Kuijt",NA,NA,NA,"E. P. Heringer","1979","11","05","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137910' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022182","NY01022182_01","2700","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01022192","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"P. Clausen","1838",NA,NA,"Brazil","Minas Gerais",NA,"Brésil (Minas Geraes)",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138655' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022192","NY01022192_01","249","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 23:28:00-03","NY","NYBG","01022190","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"A. P. Duarte","1961","10","25","Brazil","Minas Gerais",NA,"Entre Unaí e Chupador",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022190","NY01022190_01","6483","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
