"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","recordNumber","year","month","day","stateProvince","fieldNumber","preparationType","individualCount","phylum","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-02-08 09:32:00-03","NBC","NL-BOTANY","L.2819256","PreservedSpecimen","Plantae","Magnoliopsidae","Lamiales","Gesneriaceae","Sinningia","hirsuta","Sinningia hirsuta","(Lindl.) G.Nicholson","Unknown","Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2819256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2819256","NL-L2819256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:31:10-03","MN","R","11059","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hirsuta","Sinningia hirsuta","(Lindl.) G. Nicholson","Glaziou, A.F.M.",NA,"Brasil",NA,"Plantas do Brasil Central","R000011059","R000011059_001","Chautems, A.","1992","2636","1865","02","16","Rio de Janeiro",NA,NA,NA,NA,NA,NA
"3","2015-09-04 12:13:03-03","MNHN","RECOLNAT_MNHN_P","P03511915","PreservedSpecimen",NA,NA,NA,"Gesneriaceae","Sinningia","hirsuta","Sinningia hirsuta","(Lindl.) G.Nicholson","Glaziou, A.",NA,"Brasil","Brésil (Rio Jan.) Serra de Jerecino [Maciço do Gericinó].","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03511915' target='other'> <mi>dwc_moreinfo</mi></a>","P03511915","P03511915_01",NA,NA,NA,"1865","2","18","Rio de Janeiro","2636","hb",NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2901945","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Gesneriaceae","Sinningia","hirsuta","Sinningia hirsuta","(Lindl.) G. Nicholson","L. E. Skog & S. Hodapp","South America - Neotropics","Brazil","U.S.A, District of Columbia, greenhouse at US",NA,"US00320747","US00320747_01",NA,NA,"5466","1980","5","14",NA,NA,NA,"1",NA,NA,NA
"5","2019-11-01 15:01:23-03","UnB","UB","13558","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Gloxinia","hirsuta","Gloxinia hirsuta","(DC.) Wiehler","Irwin, HS; Maxwell, H; Wasshausen, DC","Southern America","Brasil","75km N. of Corumbá de Goiás on road to Niquelândia. In valley of Rio Maranhão","Corolla violet.; .",NA,NA,"Wiehler, H",NA,"19199","1968","01","25","Goiás",NA,NA,NA,"Dicotyledoneae","700","700"
"6","2017-09-11 17:10:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Gesneriaceae","Ligeria","hirsuta","Ligeria hirsuta","(Lindl.) Decne. ex Hanst.","?","Southern America","Brazil","Habitat in Brasilia, loco ignoto","Dryas. ?",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
