"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:20-03","UNESC","CRI","14368","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia","(Clos) Taub.","Schwirkowski, P.","2017","07","15","Schwirkowski, P.","2286","2017","07","15","Brasil","Santa Catarina","Joinville","Serra Dona Francisca. Serra Dona Francisca. Trilha do Castelo dos Bugres.","-49.055","-26.224722","49º3'18''W","26º13'29''S","700","700","CRI013527","CRI013527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:48-03","E","E","71379","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Fonk",NA,NA,NA,NA,"CL","Región X [Los Lagos]","Prov. de Llanquihue","Puerto Montt.",NA,NA,NA,NA,NA,NA,"E00071379",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:78595","<a href=http://data.rbge.org.uk/herb/E00071379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:48-03","E","E","71376","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Craig-Christie, E.J.",NA,NA,NA,NA,"CL","Región XII [Magallanes y de la Antártica Chilena]","Prov. Ultima Esperanza","Eden Harbour.",NA,NA,NA,NA,NA,NA,"E00071376",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:78597","<a href=http://data.rbge.org.uk/herb/E00071376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:48-03","E","E","89619","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Beavis, Derek S.","26","1996","02","26","CL","Región XI [Aisén Del Gral. Carlos Ibáñez del Campo","Prov. de Aisén","Huemules valley (Camp 1)","-73.55","-45.866667","-73.550000","-45.866667","5","5","E00089619",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:93349","<a href=http://data.rbge.org.uk/herb/E00089619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:48-03","E","E","71375","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Ball, John",NA,NA,NA,NA,"CL","Región XII [Magallanes y de la Antártica Chilena]","Prov. Ultima Esperanza","Eden Harbour.",NA,NA,NA,NA,NA,NA,"E00071375",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:78596","<a href=http://data.rbge.org.uk/herb/E00071375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:39:48-03","E","E","71378","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Comber, Harold F.","1126","1927","05","17","CL",NA,NA,"Pilmarquin Pirihuaico.",NA,NA,NA,NA,"610","610","E00071378",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:78599","No flowers on this specimen.<a href=http://data.rbge.org.uk/herb/E00071378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:39:48-03","E","E","71377","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Craig-Christie, E.J.",NA,NA,NA,NA,"CL","Región XII [Magallanes y de la Antártica Chilena]","Prov. Ultima Esperanza","Eden Harbour.",NA,NA,NA,NA,NA,NA,"E00071377",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:78598","<a href=http://data.rbge.org.uk/herb/E00071377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:39:48-03","E","E","89339","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Beavis, Derek S.","37","1992","03","03","CL","Región XI [Aisén Del Gral. Carlos Ibáñez del Campo","Prov. de Aisén","Huemules valley (Camp 2)","-73.366667","-45.9","-73.366667","-45.900000","40","40","E00089339",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:103082","<a href=http://data.rbge.org.uk/herb/E00089339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:39:48-03","E","E","23378","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia",NA,NA,NA,NA,NA,"Gardner, Martin F. & Knees, Sabina G.","3963","1988","01","27","CL","Región X [Los Lagos]","Prov. de Osorno","Parque Nacional Puyehue; margin of Lago de Toros.","-72.25","-40.766667","-72.250000","-40.766667","750","750","E00023378",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:29248","<a href=http://data.rbge.org.uk/herb/E00023378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","423983","PreservedSpecimen","Plantae","Griseliniaceae","Griselinia","ruscifolia","Griselinia ruscifolia itatiaiae","(Wawra) Taub.","M. O. Dillon",NA,NA,NA,"G. G. Hatschbach","24948","1970","10","14","Brazil","Paraná","Piraquara","Serra do Emboque","-49.0631","-25.4419",NA,NA,"1200","1200","NY00423983","NY00423983_01","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561810' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Apiales","itatiaiae",NA,NA,NA,NA,NA,NA,NA,NA
